Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Примечания
A,,,,,Машины и механизмы,,,,,,
,AA,,,,Машины для земляных работ,"Самоходные машины на пневмоколёсном или гусеничном ходу,, предназначенные для профилирования земляных насыпей,, перемещения и разравнивания грунтов,, отделения горной массы от массива и её транспортирования",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),Способ разработки грунта,,91.01,Определение синтезировано
,,AAA,,,Бульдозер,"Самоходная гусеничная или колесная землеройная машина с рабочим оборудованием, имеющая либо бульдозерное оборудование, которое срезает, перемещает и распределяет материал за счет движения машины вперед, либо дополнительное оборудование, используемое для реализации напорного или тягового усилия.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.01.01,Определение синтезировано
,,AAB,,,Грейдер,"Прицепная или самоходная машина для планировки и профилирования площадей и откосов, разравнивания и перемещения грунта, снега или сыпучих строительных материалов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.01.02,Определение синтезировано
,,AAC,,,Скрепер,"Самоходная или прицепная гусеничная или колесная землеройная машина, имеющая ковш с режущей кромкой, расположенный между осями, который срезает, загружает, транспортирует, выгружает и распределяет материал при движении вперед",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.01.03,Определение синтезировано
,,AAD,,,Установка буровая,"Землеройный агрегат, размещаемый на базе тракторов и некоторых других видов спецтехники",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.01.04,Определение синтезировано
,,AAE,,,Экскаватор,"Землеройная машина, оснащенная ковшом",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.01.05,Определение синтезировано
,AB,,,,Машины и агрегаты для свайных и шпунтовых работ,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),Способ погружения конструкций в грунт,,91.02,
,,ABA,,,Вибропогружатель,"Вибрационная машина для погружения в грунт свай, шпунтов, труб и других элементов, а также для их извлечения из грунта вибрацией направленного действия, создаваемой парой дебалансов, работающих синхронно.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.02.01,
,,ABB,,,"Копер, кроме плавучих","Строительная машина, предназначенная для подъёма, установки сваи на точку погружения, корректировки, погружения сваи в грунт (или извлечения) с помощью погружателя (или выдёргивателя)",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.02.02,Определение синтезировано
,,ABC,,,"Агрегат копровый, кроме плавучих","Агрегат, предназначенный для погружения свай в грунт",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.02.02,Определение синтезировано
,,ABD,,,Молот,Устройство для забивки свай в землю,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.02.03,Определение синтезировано
,,,,ABD010,Гидромолот,Устройство для забивки свай в землю,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.92.30.91.02.03-001
28.92.30.91.02.03-011
28.92.30.91.02.03-500
28.92.30.91.02.03-501",Определение синтезировано
,,,,ABD020,Дизель-молот,Устройство для забивки свай в землю,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.92.30.91.02.03-021
28.92.30.91.02.03-022
28.92.30.91.02.03-023
28.92.30.91.02.03-024
28.92.30.91.02.03-025",Определение синтезировано
,,,,ABD030,Установка сваебойная самоходная для устройства барьерных ограждений,Установка сваебойная самоходная для устройства барьерных ограждений,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.02.03-031,Определение синтезировано
,,ABE,,,Установка для устройства буронабивных свай,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.12.91.02.04-021,
,,ABF,,,Оборудование для вытрамбовывания скважин,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.12.91.02.05-001,
