Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
A,,,,,"Комплексы ОКС сельского и лесного хозяйства, охоты, рыболовства и рыбоводства",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,AA,,,,Животноводческие комплексы ОКС,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,AAA,,,Комплекс объектов коневодства (верблюдоводства),,Классификатор ОКС по НФТО,,,
,,AAB,,,Комплекс объектов звероводства (кролиководства),,Классификатор ОКС по НФТО,,,
,,AAC,,,Комплекс объектов овцеводства (козоводства),,Классификатор ОКС по НФТО,,,
,,AAD,,,"Комплекс объектов по выращиванию крупного рогатого скота, производству мяса, молока, выращиванию ремонтного молодняка",,Классификатор ОКС по НФТО,,,
,,AAE,,,Комплекс объектов птицеводства,,Классификатор ОКС по НФТО,,,
,,AAF,,,Комплекс объектов пчеловодства,,Классификатор ОКС по НФТО,,,
,,AAG,,,Комплекс объектов свиноводства,,Классификатор ОКС по НФТО,,,
,,AAH,,,Комплекс объектов шелкового производства,,Классификатор ОКС по НФТО,,,
,AB,,,,Комплексы ОКС ветеринарии и агробиологии,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,ABA,,,Комплекс объектов ветеринарного обслуживания,,Классификатор ОКС по НФТО,,,
,,ABB,,,Агробиологическая станция,Научно-исследовательское и учебное учреждение,Классификатор ОКС по НФТО,,,Синтезированное определение
,AC,,,,Комплексы ОКС лесного хозяйства,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,ACA,,,Комплекс объектов лесоводства,,Классификатор ОКС по НФТО,,,
,,ACB,,,Комплекс объектов лесопромышленных предприятий,,Классификатор ОКС по НФТО,,,
,AD,,,,"Комплексы ОКС производства пушнины, добытой в результате охоты",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,AE,,,,Комплексы ОКС рыбоводного хозяйства,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,AEA,,,Комплекс объектов выращивания морских видов рыб,,Классификатор ОКС по НФТО,,,
,,AEB,,,Комплекс объектов пресноводного рыбоводного хозяйства,,Классификатор ОКС по НФТО,,,
,AF,,,,Мелиоративные комплексы ОКС,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,AFA,,,Комплекс объектов инженерной инфраструктуры в мелиорации,,Классификатор ОКС по НФТО,,,
,,AFB,,,"Система орошения, осушения",,Классификатор ОКС по НФТО,,,
,AG,,,,Растениеводческие комплексы ОКС,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,AGA,,,Комплекс объектов выращивания винограда,,Классификатор ОКС по НФТО,,,
,,AGB,,,Комплекс объектов выращивания хмеля,,Классификатор ОКС по НФТО,,,
,,AGC,,,Комплекс объектов обработки и хранения зерна и семян,,Классификатор ОКС по НФТО,,,
,,AGD,,,Комплекс объектов хлопкового растениеводства,,Классификатор ОКС по НФТО,,,
,,AGE,,,Комплекс объектов производства рассады,,Классификатор ОКС по НФТО,,,
,,AGF,,,Тепличный комбинат,,Классификатор ОКС по НФТО,,,
,,AGG,,,Садоводческий комплекс ОКС,,Классификатор ОКС по НФТО,,,
,AH,,,,Комплексы ОКС биопромышленные,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,AHA,,,Комплекс объектов предприятий по производству вакцин,,Классификатор ОКС по НФТО,,,
,,AHB,,,Комплекс объектов предприятий по производству лечебных сывороток,,Классификатор ОКС по НФТО,,,
B,,,,,Комплексы ОКС добывающей промышленности,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,BA,,,,Комплексы ОКС добычи и обогащения железных руд,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,BAA,,,Комплекс объектов добычи железных руд открытым способом,,Классификатор ОКС по НФТО,,,
,,BAB,,,Комплекс объектов добычи железных руд подземным способом,,Классификатор ОКС по НФТО,,,
,,BAC,,,Комплекс объектов обогащения железных руд,,Классификатор ОКС по НФТО,,,
,BB,,,,Комплексы ОКС добычи и обогащения руд цветных металлов,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,BBA,,,Комплекс объектов добычи руд цветных металлов закрытым способом,,Классификатор ОКС по НФТО,,,
,,BBB,,,Комплекс объектов добычи руд цветных металлов открытым способом,,Классификатор ОКС по НФТО,,,
,,BBC,,,Комплекс объектов обогащения руд цветных металлов,,Классификатор ОКС по НФТО,,,
,BC,,,,"Комплексы ОКС добычи полезных ископаемых, кроме топливно-энергетических",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,BCA,,,Комплекс объектов добычи минерального сырья для химической промышленности и производства минеральных удобрений,,Классификатор ОКС по НФТО,,,
,,BCB,,,Комплекс объектов добычи соли,,Классификатор ОКС по НФТО,,,
,,BCC,,,Комплекс объектов добычи инертных материалов для строительства,,Классификатор ОКС по НФТО,,,
,BD,,,,Комплексы ОКС добычи природного газа,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,BDA,,,Комплекс объектов добычи природного газа и конденсата,,Классификатор ОКС по НФТО,,,
