Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Примечания
A,,,,,"Объекты сельского и лесного хозяйства, охоты, рыболовства и рыбоводства",,Классификатор ОКС по НФТО,По виду ОКС,,1,
,AA,,,,Объекты животноводства,,Классификатор ОКС по НФТО,По виду ОКС,,1.3,
,,AAA,,,Объекты коневодства и верблюдоводства,,Классификатор ОКС по НФТО,По виду ОКС,,1.3.1,
,,,AAAA,,Здание (сооружение) объектов содержания лошадей (верблюдов),"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма).","Классификатор ОКС по НФТО
СП 374.1325800.2018",,"Здание фермы мясного направления табунного содержания лошадей
Сооружение племенной фермы конюшенного содержания лошадей
Здание содержания маток с верблюжатами
Здание конюшни выжеребки кобыл",1.3.1,
,,,AAAB,,Здание (сооружение) манежа,Специальное помещение для занятия конным спортом или производственных работ по коневодству в конном заводе. Вся площадь манежа не имеет колонн и перегородок.,"Классификатор ОКС по НФТО
СП 106.13330.2012",,Сооружение манежа для тренинга лошадей,,
,,,AAAC,,Здание (сооружение) вспомогательных объектов коневодства и верблюдоводства,,Классификатор ОКС по НФТО,,"Сооружение шорной мастерской
Здание цеха приготовления шубата
Здание кумысного цеха",1.3.1,
,,AAB,,,Объекты звероводства и кролиководства,,Классификатор ОКС по НФТО,По виду ОКС,,1.3.2,
,,,AABA,,Здание (сооружение) для содержания зверей (кроликов),"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма).","Классификатор ОКС по НФТО
СП 374.1325800.2018",,"Сооружение нутриеводческой фермы
Сооружение норковой фермы
Здание содержания основного стада нутрий и кроликов",1.3.2,
,,,AABB,,Здание (сооружение) вспомогательных объектов звероводства и кролиководства,,Классификатор ОКС по НФТО,,"Здание кормового цеха
Здание цеха убоя зверей
Сооружение шеда содержания основного стада и молодняка",1.3.2,
,,AAC,,,Объекты овцеводства и козоводства,,Классификатор ОКС по НФТО,По виду ОКС,,1.3.2,
,,,AACA,,Здание (сооружение) объекта содержания овец и коз,"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма).","Классификатор ОКС по НФТО
СП 374.1325800.2018",,"Здание фермы откорма каракульских маток (стойловое содержание)
Сооружение козоводческой фермы шерстного направления
Сооружение овчарни для ягнения",1.3.4,
,,,AACB,,Здание (сооружение) вспомогательных объектов овцеводства и козоводства,"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма).","Классификатор ОКС по НФТО
СП 374.1325800.2018",,Здание цеха переработки козьего/овечьего молока на брынзу и сыр,1.3.4,
