Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
A,,,,,"Работы по организации инженерных изысканий, включая экспертизу результатов",,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",По виду работ,,
,AA,,,,Разработка программы инженерных изысканий,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,AB,,,,Утверждение программы инженерных изысканий,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,AC,,,,Экспертиза результатов инженерных изысканий,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
B,,,,,Камеральные работы,"Технологические процессы производства, осуществляемые в производственных помещениях",СП 47.13330-2016,По виду работ,,
,BA,,,,Сбор и изучение данных архивов и аэрофотосъемки,,СП 47.13330-2016,По виду работ,,
,,BAA,,,Сбор материалов инженерных изысканий прошлых лет,,СП 47.13330-2016,,,
,,BAB,,,Обработка материалов инженерных изысканий прошлых лет,,СП 47.13330-2016,,,
,,BAC,,,Сбор топографо-геодезических материалов,,СП 47.13330-2016,,,
,,BAD,,,Обработка топографо-геодезических материалов,,СП 47.13330-2016,,,
,,BAE,,,Сбор аэрофотосъемочных материалов,,СП 47.13330-2016,,,
,,BAF,,,Обработка аэрофотосъемочных материалов,,СП 47.13330-2016,,,
,,BAG,,,Дешифрирование аэрокосмических материалов,,СП 47.13330-2016,,,
,BB,,,,Картографические работы,"Категория работ, основным назначением которых является создание картографической продукции по результатам съемки или по исходным картографическим материалам. К картографическим работам относятся также создание цифровых и электронных карт и цифровые технологические процессы сбора, обработки и представления цифровой картографической информации, связанной географически и используемой в ГИС","СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",По виду работ,,
,,BBA,,,Изготовление растровой копии цифровых топографических карт территории объекта,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,,BBB,,,Изготовление растровой копии цифровых топографических планов территории объекта,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,,BBC,,,Экологическое дешифрирование аэрокосмических материалов,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,,BBD,,,Перенесение проекта в натуру,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,,BBE,,,Составление акта о перенесении проекта в натуру,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,,BBF,,,Обновление топографических (инженерно-топографических) планов,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,,BBG,,,"Обновление кадастровых планов (в графической, цифровой, фотографической и иных формах)",,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,,BBH,,,Перенос в натуру точек инженерных изысканий,,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,,BBJ,,,"Создание (составление) кадастровых планов (в графической, цифровой и иных формах)",,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,,BBK,,,"Создание (составление) атласов специального назначения (в графической, цифровой и иных формах)",,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,,BBL,,,"Издание (размножение) инженерно-топографических планов (в графической, цифровой и иных формах)",,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
,,BBM,,,"Издание (размножение) кадастровых и тематических карт (в графической, цифровой и иных формах)",,"СП 47.13330-2016
СП 305.1325800-2017
ГОСТ 31937-2011",,,
