Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания
A,,,,,Усиление конструкций,"Комплекс конструктивных мероприятий и технологических работ, направленных на повышение несущей способности и эксплуатационных свойств конструкции",ГЭСН 81-02-46-2020 ,По виду работ,,,
,AA,,,,Усиление конструкций монолитным железобетоном,,ГЭСН 81-02-46-2020 ,По виду работ,,"ГЭСН 46-01-001
",
,,AAA,,,Устройство ограждения деревянными щитами при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2020,,,,
,,AAB,,,Заготовка временных креплений при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2020,,,,
,,AAC,,,Установка временных креплений при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2020,,,,
,,AAD,,,Очистка поверхности усиливаемых конструкций при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2020,,,,
,,AAE,,,Подготовка поверхности усиливаемых конструкций при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2020,,,,
,,AAF,,,Установка опалубки при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2020,,,,
,,AAG,,,Разборка опалубки при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2020,,,,
,,AAH,,,Установка арматуры при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2020,,,,
,,AAJ,,,Укладка бетона при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2020,,,,
,AB,,,,Усиление существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2020,По виду работ,,"ГЭСН 46-01-002
",
,,ABA,,,Установка инвентарных лесов и подмостей для усиления существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2020,,,,
,,ABB,,,Установка защитного металлического листа при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2020,,,,
,,ABC,,,Очистка поверхности балки от пыли и грязи при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2020,,,,
,,ABD,,,Расчистка дефектных участков бетона при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2020,,,,
,,ABE,,,Удаление дефектных участков бетона при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2020,,,,
,,ABF,,,Очистка и промывка водой усиляемых поверхностей балки при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2020,,,,
,,ABG,,,Насечка бетона при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,"Обработка каменных бетонных и штукатурных поверхностей специальными инструментами - бучардами, скарпелями и т.д. - для получения рельефной фактуры",ГЭСН 81-02-46-2020,,,,
,,ABH,,,Установка арматуры при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2020,,,,
,,ABJ,,,Усиление балки цементно-песчаным раствором при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2020,,,,
,,ABK,,,Разборка лесов и подмостей после усиления существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2020,,,,
,AC,,,,Усиление существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2020,По виду работ,,"ГЭСН 46-01-003
",
,,ACA,,,Установка инвентарных лесов для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2020,,,,
,,ACB,,,Установка тупиков на подкрановых балках для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2020,,,,
,,ACC,,,Очистка балки от пыли и грязи при усилении существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2020,,,,
,,ACD,,,Изготовление металлоконструкций для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2020,,,,
,,ACE,,,Подъем металлоконструкций для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2020,,,,
,,ACF,,,Установка металлоконструкций для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2020,,,,
,,ACG,,,Разборка лесов после усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2020,,,,
,,ACH,,,Очистка рабочей площадки после усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2020,,,,
,AD,,,,Усиление конструктивных элементов,,ГЭСН 81-02-46-2020,По виду работ,,"ГЭСН 46-01-004
",
,,ADA,,,"Пробивка гнезд, борозд, отверстий для усиления конструктивных элементов",,ГЭСН 81-02-46-2020,,,,
,,ADB,,,Заготовка для усиления конструктивных элементов,,ГЭСН 81-02-46-2020,,,,
,,ADC,,,Установка металлических элементов для усиления конструктивных элементов,,ГЭСН 81-02-46-2020,,,,
,,ADD,,,Резка металлических элементов для усиления конструктивных элементов,,ГЭСН 81-02-46-2020,,,,
,,ADE,,,Сварка металлических элементов для усиления конструктивных элементов,,ГЭСН 81-02-46-2020,,,,
,,ADF,,,Заделка гнезд и борозд после усиления конструктивных элементов,,ГЭСН 81-02-46-2020,,,,
,AE,,,,Наращивание железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2020,По виду работ,,"ГЭСН 46-01-005
",
,,AEA,,,Очистка поверхностей в местах наращивания для наращивания железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2020,,,,
,,AEB,,,Установка опалубки для наращивания железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2020,,,,
,,AEC,,,Разборка опалубки после наращивания железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2020,,,,
,,AED,,,Установка арматуры для наращивания железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2020,,,,
,,AEE,,,Укладка бетона для наращивания железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2020,,,,
,AF,,,,Усиление конструкций в проходных тоннелях,,ГЭСН 81-02-46-2020,По виду работ,,"ГЭСН 46-01-006
",
,,AFA,,,"Укладка дренажной трубы с установкой распорок, пробивка проемов в железобетонном перекрытии для подачи бетона",,ГЭСН 81-02-46-2020,,,,
,,AFB,,,Замоноличивание при усилении конструкций в проходных туннелях,,ГЭСН 81-02-46-2020,,,,
,,AFC,,,Устройство временных глиняных перемычек,,ГЭСН 81-02-46-2020,,,,
,,AFD,,,Разборка временных глиняных перемычек,,ГЭСН 81-02-46-2020,,,,
,,AFE,,,Установка арматуры для усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2020,,,,
,,AFF,,,Устройство набетонок для усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2020,,,,
,,AFG,,,Насечка бетонных поверхностей в местах укладки бетонной смеси с очисткой поверхности для усиления конструкций в проходных тоннелях,"Обработка каменных бетонных и штукатурных поверхностей специальными инструментами - бучардами, скарпелями и т.д. - для получения рельефной фактуры",ГЭСН 81-02-46-2020,,,,
,,AFH,,,Установка опалубки для усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2020,,,,
,,AFJ,,,Разборка опалубки после усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2020,,,,
,,AFK,,,Укладка бетона для усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2020,,,,
,AG,,,,Усиление железобетонных колонн эстакад стальными обоймами,,ГЭСН 81-02-46-2020,По виду работ,,"ГЭСН 46-01-007
",
,,AGA,,,Подача конструкций для усиления железобетонных колонн эстакад стальными обоймами к месту производства работ с сортировкой и комплектованием,,ГЭСН 81-02-46-2020,,,,
,,AGB,,,Установка деталей и узлов усиления со сваркой элементов в различных пространственных положениях для усиления железобетонных колонн эстакад стальными обоймами,,ГЭСН 81-02-46-2020,,,,
,AH,,,,"Обетонирование металлических элементов, заполнение бетоном отдельных мест в перекрытиях",,ГЭСН 81-02-46-2020,По виду работ,,"ГЭСН 46-01-008
",
,,AHA,,,"Очистка открытых поверхностей колонн, балок и прогонов для обетонирования металлических элементов, заполнения бетоном отдельных мест в перекрытиях",,ГЭСН 81-02-46-2020,,,,
,,AHB,,,"Устройство опалубки для обетонирования металлических элементов, заполнения бетоном отдельных мест в перекрытиях",,ГЭСН 81-02-46-2020,,,,
