Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
A,,,,Пространство для пребывания людей,"Пространство, предназначенное для проживания человека и связанной с этим деятельности",IEC 81346-2:2019,По функциональному назначению,,Определение синтезировано
,AA,,,"Пространство для проживания, отдыха и ожидания","Пространство, предназначенное для проживания человека, отдыха и ожидания",,По функциональному назначению,,Определение синтезировано
,,AAA,,Жилая комната,"Жилое помещение для постоянного проживания в квартирах, а также временного проживания в гостиницах, пансионатах, домах отдыха, кемпингах и других общественных зданиях временного пребывания.",СП 137.13330.2012,,,
,,,AAA010,Гостиная,"Комната в квартире или гостиничном номере для отдыха, приема гостей, проведения досуга",Терминологический словарь по строительству,,,
,,,AAA020,Детская комната,"Комната, предназначенная для сна, отдыха и занятий детей дошкольного или школьного возраста",СП 54.13330.2016,,,Определение синтезировано
,,,AAA030,Спальня,"Комната в квартире или в другом жилище, место дома для сна и отдыха",СП 54.13330.2016,,,Определение синтезировано
,,,AAA040,Комната в общежитии,Жилая комната в общежитии,СП 379.1325800.2018,,,Определение синтезировано
,,,AAA050,Спальное помещение,"Помещение, предназначенное для размещения и обеспечения режима пребывания детей в группах детского сада, школы, интерната и т.д.",СП 252.1325800.2016,,,
,,,AAA060,Комната временного приема,"Помещения временного приема для людей, оказавшихся в тяжелой жизненной ситуации",СП 142.13330.2012,,,
,,,AAA070,Гостиничный номер,Помещение для размещения отдыхающих в здании гостиницы,СП 257.1325800.2016,,,
,,,AAA080,Келья,Отдельная комната монаха в монастыре,СП 391.1325800.2017,,,Определение синтезировано
,,AAB,,Пространство для отдыха,"Пространство, предназначенное для отдыха человека",,,,Определение синтезировано
,,,AAB010,Комната отдыха,"Помещение, предназначенное для отдыха посетителей учреждения",Трудовой кодекс РФ,,,Определение синтезировано
,,,AAB020,Помещение для отдыха персонала,"Помещение, предназначенное для отдыха сотрудников предприятия",Трудовой кодекс РФ,,"Комната отдыха дежурной смены 
Помещение для отдыха личного состава конвоя
Комната отдыха поста ",
,,,AAB030,Комната психологической разгрузки,"Помещение, предназначенное для отдыха в рабочее время и психологической разгрузки работников ",Трудовой кодекс РФ,,,
,,,AAB040,Помещение для настольных игр и тихого отдыха,"Помещение, предназначенное для удовлетворения потребностей людей в общении и проведении свободного времени",СП 35-115-2004,,Помещение для любительских занятий,
,,,AAB050,Помещение для фитопроцедур,"Помещение, предназначенное для процедур, основанных на целебном воздействии паров трав и эфирных масел на организм человека",СП 44.13330.2011,,,
,,,AAB060,Помещение для отдыха и обогрева,"Помещение, предназначенное для работников, работающих в холодное время года на открытом воздухе или в закрытых необогреваемых помещениях, а также грузчикам, занятым на погрузочно-разгрузочных работах, и другим работникам в необходимых случаях для отдыха и обогрева",Трудовой кодекс РФ,,,
,,,AAB070,Помещение для отдыха и охлаждения,"Помещение, предназначенное для работников, работающих при повышенных температурах окружающей среды, для отдыха и охлаждения",Трудовой кодекс РФ,,,
,,,AAB080,Комната длительного отдыха на вокзале,"Помещение, предназначенное для отдыха транзитных пассажиров",СП 417.1325800.2018,,,
,,,AAB090,Депутатская комната,"Помещение для представительских целей, приема и отдыха официальных делегаций на вокзале",СП 417.1325800.2018,,,
,,,AAB100,Капсула для краткосрочного отдыха,"Жилое помещение длиной 2,0, шириной 1,0 и высотой 1,25 м, рассчитанное на одного человека","Методическое пособие Термины и определения в нормативных технических документах по проектированию жилых, общественных и производственных зданий",,,
,,,AAB110,Рекреационное пространство,"Помещение для отдыха в школьном здании, обычно зального типа",СП 251.1325800.2016,,,
,,,AAB120,"Сектор для отдыха физически ослабленных лиц, инвалидов","Сектор для отдыха физически ослабленных лиц, инвалидов", СП 140.13330.2012,,,
,,,AAB130,Площадка тихого отдыха,"Площадка для настольных игр, чтения, созерцания природы, оборудованная скамейками, цветниками, фонтанами, столами для настольных игр",СП 251.1325800.2016,,Зона отдыха,
,,AAC,,Пространство для ожидания,"Пространство, предназначенное для ожидания человеком",,,,Определение синтезировано
,,,AAC010,Холл,"Просторное помещение в жилых и общественных зданиях для отдыха, ожидания",ГОСТ Р 58033-2017,,"Холл-вестибюль
Холл-приемная",
,,,AAC020,Фойе,"Помещение, предназначенное для пребывания зрителей в ожидании сеанса, спектакля, концерта, а также для отдыха во время антракта.",СП 309.1325800.2017,,Фойе оркестра,
,,,AAC030,Зал ожидания,Обустроенное и оборудованное пространство для ожидающих людей,СП 138.13330.2012,,Зал вылета,
,,,AAC040,Лифтовый холл,Помещение перед входом в лифт (лифты),СП 118.13330.2012,,,
,,,AAC050,Помещение ожидания для посетителей,Обустроенное и оборудованное пространство для ожидающих людей,СП 400.1325800.2018,,"Ожидальная
Помещение для свидетелей",
,,,AAC060,Курительная комната,"Помещение, специально отведённое для курения табака",СП 376.1325800.2017,,,
,,,AAC070,Зона ожидания,Обустроенная и оборудованная площадка для ожидания,,,"Зона ожидания транспорта
Зона замены игроков
Зона очереди",
,,AAD,,Двор,Благоустроенная ограниченная территория при здании или группе зданий,Терминологический словарь по строительству,,,
,,,AAD010,Внешний двор,"Пространство перед входом в здание, к которому с трех сторон могут примыкать наружные стены здания (или зданий), имеющее въезд или проход",ГОСТ Р 58033-2017 ,,,
,,,AAD020,Внутренний двор,"Замкнутое по периметру неотапливаемое пространство, в которое обращены наружные стены здания (или зданий), имеющее въезд или проход, также может иметь покрытие для защиты от осадков",ГОСТ Р 58033-2017 ,,,
,,,AAD030,Участок приквартирный,"Земельный участок, примыкающий к жилому зданию (квартире) с непосредственным выходом на него",СП 54.13330.2016,,,
,AB,,,Пространство для личной гигиены и переодевания,Пространство для использования человеком в целях гигиены и переодевания,,По функциональному назначению,,Определение синтезировано
,,ABA,,Пространство для личной гигиены,Пространство для гигиенического ухода за телом,IEC 81346-2:2019,,,Определение синтезировано
,,,ABA010,Ванная комната,"Помещение, предназначенное для купания или мытья",СП 54.13330.2016,,"Ванный зал
Ванная для МГН",Определение синтезировано
,,,ABA020,Душевая,"Помещение, предназначенное для принятия душа",СП 44.13330.2011,,,Определение синтезировано
,,,ABA030,Умывальная,"Помещение, в котором устанавливаются одна или несколько раковин",ГОСТ Р 58033-2017,,Умывальная при уборных,
,,,ABA040,Санузел,"Санитарно-гигиеническое помещение, оборудованное унитазом, а также другими приборами",СП 118.13330.2012,,,
,,,ABA050,Туалет,"Помещение, предназначенное для санитарно-гигиенических целей, оборудованное необходимыми приспособлениями и санитарно-техническими приборами в виде унитаза, писсуара и т.п.",ГОСТ Р 58033-2017 ,,,
,,,ABA060,Люфт-клозет,"Внутридомовая теплая уборная с подземным выгребом, в который фекалии поступают через сточную (фановую) трубу",СП 53.13330.2019,,,
,,,ABA070,Санитарный пропускник,"Помещение, предназначенное для смены одежды, санитарной обработки персонала и контроля радиоактивного загрязнения кожных покровов и спецодежды",СП 263.1325800.2016,,Санитарно-контрольный пункт,
