Класс,Подкласс,"Тип 
(%%)",Наименование системы,Определение системы,Критерии определения подклассов,Источник,Примеры системы,IFC,МССК,ПСК,Примечание
A_,,,Многосоставная (многокомпонентная) система,"Техническая система, представляющая собой составную (многокомпонентную) конструкцию",,ГОСТ 16504-81,,,СС 10,,
,AA,,Дорожные одежды,"Многосоставная система, формирующая поверхность(-и) для транспортирования чего-либо.

Конструктивный элемент автомобильной дороги, воспринимающий нагрузку от транспортных средств и передающий ее на земляное полотно.",По типу покрытия,ГОСТ 16504-81,Дорожное покрытие,IfcSystem,,,
,,AA10,Дорожные одежды капитальные,"Дорожные одежды, обладающие наиболее высокой работоспособностью, соответствующей условиям движения и срокам службы дорог высоких категорий",,ГОСТ 16504-81,,,,,
,,AA20,Дорожные одежды облегченные,"Дорожные одежды с усовершенствованным покрытием (асфальтобетонным, дегтебетонным, из черного щебня, из щебня, обработанного вяжущими по способу пропитки, из крупнообломочных материалов, из песчаных или супесчаных грунтов, обработанных в установке битумной эмульсией совместно с цементом)",,ГОСТ 16504-81,,,,,
,,AA30,Дорожные одежды переходные,"Дорожные одежды, устраиваемые из щебня прочных пород по способу заклинки без применения вяжущих; из грунтов и малопрочных каменных материалов, обработанных вяжущими; из булыжного и колотого камня, а также из щебеночно-гравийных смесей оптимального гранулометрического состава",,ГОСТ 16504-81,,,,,
,,AA40,Дорожные одежды низшие,"Дорожные одежды из щебеночно-гравийно-песчаных смесей; малопрочных каменных материалов и шлаков; грунтов, укрепленных или улучшенных различными местными материалами; древесных материалов и др.",,ГОСТ 16504-81,,,,,
,AB,,Фундаментные конструкции,"Многосоставная система, отделяющая строительный объект от грунтового основания",По типу устройства,ГОСТ 16504-81,,IfcBuildingSystem,СС 10 10,,
,,AB10,Конструкции ленточных фундаментов,"Протяженные, узкие, обычно горизонтальные фундаменты",,ГОСТ 16504-81,Ленточный фундамент,,СС 10 10 10,,
,,AB20,Конструкции отдельно стоящих фундаментов,"Фундаменты, передающие нагрузки на основание от одной или группы близко расположенных колонн (стоек)",,,Отдельно стоящий фундамент,,СС 10 10 40,,
,,AB30,Конструкции плитных фундаментов,"Фундаменты в виде сплошной бетонной плиты, который передает нагрузки на основание от всего сооружения",,ГОСТ 16504-81,Плитный фундамент,,СС 10 10 50,,
,,AB40,Конструкции свайных фундаментов,"Фундаменты, включающие в себя одну или более свай",,ГОСТ 16504-81,Свайный фундамент,,СС 10 10 20,,
,,AB50,Конструкции комбинированных фундаментов,Конструкции фундаментов комбинированного типа,,,Плитно-свайный фундамент,,,,
,AС,,Конструкции перекрытия,"Многосоставная система, обеспечивающая разделение строительного объекта по горизонтали",По типу конструктивного исполнения,ГОСТ 16504-81,Перекрытие,IfcBuildingSystem,"СС 10 20
СС 10 30",,
,,AC10,Конструкции безбалочных перекрытий,"Конструкции перекрытий, состоящие из плиты без устройства балок",,,Плита перекрытия с капителями,,,,
,,AC20,Конструкции балочных перекрытий,"Конструкции перекрытий, состоящие из плиты с устройством балок",,,Балочная плита перекрытия,,,,
,,AC30,Конструкции многослойных перекрытий,"Конструкции перекрытий, состоящие из нескольких слоев",,,Сталебетонное перекрытие,,,,
,AD,,Стеновые конструкции,"Многосоставная система, обеспечивающая разделение строительного объекта по вертикали",По типу конструктивного исполнения,ГОСТ 16504-81,,IfcBuildingSystem,СС 10 20,,
,,AD10,Конструкции сплошных стен,Конструкции стен без устройства колонн и балок,,,Плоская стена,,,,
,,AD20,Конструкции стен со стойками,Конструкции стен с устройством колонн (пилястр),,,Стена с пилястрами,,,,
,,AD30,Конструкции стен со стойками и ригелями,Конструкции стен с устройством колонн (пилястр) и горизонтальных балок,,,Стена со стоечно-ригельным каркасом,,,,
,,AD40,Конструкции многослойных стен,"Конструкции стен, состоящая из нескольких слоев",,,Многослойная стена,,,,
,,AD50,Конструкции фасадной системы,Конструкции фасадной системы,,,"Фасадная система
Навесной вентилируемый фасад",,CC 10 50,,
,AE,,Конструкции крыши,"Многосоставная система, ограничивающая объект сверху

Верхняя ограждающая конструкция здания для защиты помещений от внешних климатических факторов и воздействий.",По форме,ГОСТ 16504-81,Крыша,IfcBuildingSystem,CC 10 40,,
,,AE10,Конструкции плоской крыши,"Покрытия, имеющие незначительный уклон не более 15% (10°).",,ГОСТ 16504-81,Покрытие стилобата,,CC 10 40 10,,
,,AE20,Конструкции крыши со скатами,"Крыши, уклон которых больше 10° (больше 15%).",,ГОСТ 16504-81,"Крыша вальмовая, крыша двухскатная, шедовая крыша, односкатная крыша",,"СС 10 40 20
СС 10 40 30
СС 10 40 40
СС 10 40 50
СС 10 40 60
СС 10 40 70
СС 10 40 80",,
,,AE30,Конструкции крыши в виде свода-оболочки,"Покрытия, имеющие поперечное сечение в виде дуги, окружности или иной геометрической кривой.",,ГОСТ 16504-81,Купол,,,,
,AF,,Лестничные конструкции,"Многосоставная система, обеспечивающая ступенчатую связь между двумя или более уровнями (этажами)",,ГОСТ 16504-81,"Лестничный марш
Лестница",IfcBuildingSystem,,,
,AG,,Конструкции рампы,"Многосоставная система, обеспечивающая бесступенчатую связь между двумя или более уровнями (этажами)",,ГОСТ 16504-81,"Рампа
Пандус
Платформа",IfcBuildingSystem,,,
,AH,,Балконные конструкции,"Многосоставная система, создающая смежное внешнее пространство, встроенное в стеновую или кровельную систему",,ГОСТ 16504-81,"Балкон
Веранда
Терраса",IfcBuildingSystem,,,
,AI,,Не применяется,,,,,,,,
,AJ,,Эркерные конструкции,"Многосоставная система, создающая расширение внутреннего пространства, встроенное в стеновую систему",,ГОСТ 16504-81,"Эркер
Лоджия",IfcBuildingSystem,,,
,AK,,Конструкции слухового окна,"Многосоставная система, создающая расширение внутреннего пространства, встроенное в кровельную систему",,ГОСТ 16504-81,Слуховое окно,IfcBuildingSystem,,,
,AL,,Конструкции надстройки,"Многосоставная система, создающая расширение внутреннего пространства, построенное на кровле строительного объекта",,ГОСТ 16504-81,"Барабан
Четверик
Зенитный фонарь",IfcBuildingSystem,,,
,AM,,Световой колодец,"Многосоставная система, создающая расширение внутреннего пространства, предназначенное для освещения
-
Пространство без крыши, ограниченное со всех сторон, которое обеспечивает дневной свет более чем на один этаж здания и может обеспечивать вентиляцию",,ГОСТ 16504-81,Световой колодец,IfcBuildingSystem,,,
,AN... AZ,,Зарезервировано,,,,,,,,
B_,,,Конструктивная система,"Техническая система, представляющая собой инженерную конструкцию",,ГОСТ 16504-81,,,,,
,BA,,Основание здания или сооружения,"Конструктивная система, формирующая регулируемый объем грунта

Массив грунта, воспринимающий нагрузки и воздействия от здания или сооружения и передающий на здание или сооружение воздействия от природных и техногенных процессов, происходящих в массиве грунта",По состоянию основания,ГОСТ 16504-81,"Грунтовое основание
Основание",IfcSystem,,,
,,BA10,Естественное основание,"Грунты в природном состоянии, воспринимающие нагрузку от здания или сооружения",,ГОСТ 16504-81,,,,,
,,BA20,Искусственное основание,"Грунты с искусственно измененными свойствами за счет уплотнения, укрепления (закрепления) химическим, электрохимическим, термическим или другим способом, воспринимающие нагрузку от здания (сооружения)",,ГОСТ 16504-81,,,,,
,BB,,Несущие конструкции фундамента,"Система несущих конструкций, соединяющих объект строительства с основанием",По типу устройства,ГОСТ 16504-81,,IfcBuildingSystem,СС 10 10,,
,,BB10,Ленточные фундаменты,"Протяженные, узкие, обычно горизонтальные фундаменты",,ГОСТ 16504-81,Ленточный фундамент,,СС 10 10 10,,
,,BB20,Отдельно стоящие фундаменты,"Фундаменты, передающие нагрузки на основание от одной или группы близко расположенных колонн (стоек)",,,Отдельно стоящий фундамент,,СС 10 10 40,,
,,BB30,Плитные фундаменты,"Фундаменты в виде сплошной бетонной плиты, которые передают нагрузки на основание от всего сооружения",,ГОСТ 16504-81,Плитный фундамент,,СС 10 10 50,,
,,BB40,Свайные фундаменты,"Фундаменты, включающие в себя одну или более свай",,ГОСТ 16504-81,"Свайный фундамент
Куст свай
Свайное поле",,СС 10 10 20,,
,,BB50,Комбинированные фундаменты,Конструкции фундаментов комбинированного типа,,,Плитно-свайный фундамент,,,,
,,BB60,Фундаменты оборудования,Конструкции для размещения и передачи нагрузок от оборудования на основание,,,Фундамент дизель-генераторной установки,,,,
,BC,,Несущие конструкции перекрытия,"Система несущих конструкций, расположенных в горизонтальной плоскости перекрытия",По типу конструкции,ГОСТ 16504-81,,IfcBuildingSystem,"СС 10 20
СС 10 30",,
,,BC10,Сборные перекрытия,"Конструкции перекрытий, собираемые на строительном объекте из изделий заводского изготовления",,,Деревянное перекрытие,,,,
,,BC20,Монолитные перекрытия,"Конструкции перекрытий, выполняемые непосредственно на строительном объекте в виде единого целого (монолита)",,,Монолитное железобетонное перекрытие,,,,
,,BC30,Сборно-монолитные перекрытия,"Составные конструкции перекрытий, содержащие в себе сборные и монолитные элементы",,,Сталежелезобетонное перекрытие по металлическим балкам,,,,
,BD,,Несущие конструкции стены,"Система несущих конструкций, расположенных в вертикальной плоскости стены",По типу исполнения,ГОСТ 16504-81,,IfcBuildingSystem,"СС 10 20
СС 10 30",,
,,BD10,Стены из кладки,"Конструкции стен, выполненные из кирпичной, блочной или каменной кладки",,,Стена из крупных блоков,,,,
,,BD20,Стены из панелей,"Конструкции стен, выполненные из крупноразмерных плоских элементов заводского изготовления",,,Стена из железобетонных панелей,,,,
,,BD30,Монолитные стены,"Конструкции стен, выполненные непосредственно на строительном объекте в виде единого целого (монолита)",,,Монолитная железобетонная стена,,,,
,,BD40,Каркасные стены,"Конструкции стен, выполненные с устройством несущего каркаса с применением стоек, ригелей, связей, обшивки",,,Каркасная стена,,,,
,,BD50,Стены из брусьев или бревен,"Конструкции стен, выполненные из брусьев или бревен",,,Стена из клееного бруса,,,,
,BE,,Несущие конструкции крыши,"Система несущих конструкций, ограничивающих объект строительства сверху

Часть крыши, которая несет нагрузку и распределяет ее на нижележащие конструкции здания",По типу несущих конструкций,ГОСТ 16504-81,,IfcBuildingSystem,CC 10 40,,
,,BE10,Стропильные конструкции крыши,"Несущие элементы зданий, воспринимающие нагрузку от покрытия кровли",,ГОСТ 16504-81,"Стропильная ферма
Стропила",,,,
,,BE20,Балочные конструкции крыши,Конструкции крыши с применением балок в качестве несущих конструкций,,,Пространственная решетчатая конструкция покрытия,,,,
,,BE30,Плитные конструкции крыши,Конструкции крыши с применением плит в качестве несущих конструкций,,,Плита покрытия,,,,
,,BE40,Оболочечные конструкции крыши,Конструкции крыши с применением оболочечных конструкций в качестве несущих,,,"Конструкции купола, конструкции свода",,,,
,BF,,Конструкции пола,"Система конструкций, ограничивающих пространство снизу

Конструкция, включающая конструктивные слои различного функционального назначения, выполненные из различных строительных материалов по грунтовому основанию или плите перекрытия, Основными конструктивными слоями пола являются: покрытие, прослойка, гидро-, паро- и теплозвукоизоляционный слои, стяжка, подстилающий слой и грунтовое основание",По типу конструкции покрытия,ГОСТ 16504-81,,IfcBuildingSystem,,,
,,BF10,Сплошные полы,Конструкции пола с покрытием в виде единого целого (монолита),,,Наливной пол,,,,
,,BF20,Штучные полы,Конструкции пола с покрытием из штучных материалов,,,Паркетный пол,,,,
,,BF30,Рулонные полы,Конструкции пола с покрытием из рулонных материалов,,,Пол с линолеумным покрытием,,,,
,BG,,Потолочные конструкции,"Система конструкций, ограничивающих пространство сверху

Верхняя ограничивающая поверхность помещения, которая может являться нижней частью несущих конструкций, например перекрытия, а также подвесной, подшивной или натяжной конструкцией",По типу устройства,ГОСТ 16504-81,,IfcBuildingSystem,,,
,,BG10,Подшивные потолки,"Горизонтальные конструкции, которые крепятся непосредственно к нижней стороне перекрытия или покрытия",,,Подшивной потолок,,,,
,,BG20,Подвесные потолки,"Горизонтальные конструкции, которые крепятся с нижней стороны перекрытия или покрытия на расстоянии не менее 5 мм от него",,ГОСТ 16504-81,Подвесной потолок,,,,
,,BG30,Натяжные потолки,"Горизонтальные конструкции из полотнища, которые крепятся с нижней стороны перекрытия на расстоянии от него на специальный профиль",,,Натяжной потолок,,,,
,,BG40,Комбинированные потолки,"Конструкции, состоящие из потолков разных типов устройства",,,,,,,
,BH,,Направляющие и опорные конструкции,"Конструктивная система, поддерживающая и направляющая компоненты систем инженерно-технического обеспечения","По размещению, типу монтажа",ГОСТ 16504-81,,IfcBuildingSystem,,,
,,BH10,Внутренние направляющие и опорные конструкции открытой установки,"Конструкции, устанавливаемые внутри зданий и сооружений открытым способом и предназначенные для восприятия нагрузок и воздействий со стороны опираемых элементов и передачи их на строительные конструкции",,,"Подвесная опора
Система кабельных каналов
Система кабельных коробов
Система кабельных лотков; система кабельных лестничных лотков",,,,
,,BH20,Внутренние направляющие и опорные конструкции скрытой установки,"Конструкции, устанавливаемые внутри зданий и сооружений непосредственно в строительных конструкциях и предназначенные для восприятия нагрузок и воздействий со стороны опираемых элементов и передачи их на строительные конструкции",,,"Система кабельных коробов или специальных кабельных коробов, предназначенная для установки под полом
Проходка",,,,
,,BH30,Наружные надземные направляющие и опорные конструкции,"Конструкции, устанавливаемые снаружи зданий и сооружений над землей и предназначенные для восприятия нагрузок и воздействий со стороны опираемых элементов и передачи их на основание",,,Опора (железнодорожной) контактной сети,,,,
,,BH40,Наружные подземные направляющие и опорные конструкции,"Конструкции, устанавливаемые снаружи зданий и сооружений под землей и предназначенные для восприятия нагрузок и воздействий со стороны опираемых элементов и передачи их на основание",,,Коммуникационный тоннель,,,,
,BI,,Не применяется,,,,,,,,
,BJ,,Стоечно-ригельные конструкции,"Конструктивная система, состоящая из стоек и ригелей",По типу конструктивного исполнения,ГОСТ 16504-81,"Каркас
Этажерка",IfcBuildingSystem,,,
,,BJ10,Рамные конструкции,"Конструкции, несущую систему которых составляют рамы разных конструктивных схем",,,Рама,,,,
,,BJ20,Рамно-связевые конструкции,"Конструкции, состоящие из рам (каркаса) и вертикальных диафрагм, стен или ядер жесткости и воспринимающие горизонтальные и вертикальные нагрузки",,ГОСТ 16504-81,Связи жесткости,,,,
,,BJ30,Связевые конструкции,"Конструкции, состоящие из рам (каркаса) и вертикальных диафрагм, стен и (или) ядер жесткости; при этом расчетная горизонтальная нагрузка полностью воспринимается диафрагмами, стенами и (или) ядрами жесткости",,ГОСТ 16504-81,Связи жесткости,,,,
,BL,,Конструкции мостовых опор,"Несущий элемент мостового сооружения, поддерживающий пролетные строения и передающий нагрузки от них на фундамент",По расположению,ГОСТ 16504-81,,IfcBuildingSystem,,,
,,BL10,Конструкции промежуточных опор,"Конструкции опор моста, воспринимающая нагрузку от двух пролетных строений и имеющая обтекаемую в плане форму и водорез или ледорез со стороны верховой части водотока",,ГОСТ 16504-81,Бык моста,,,,
,,BJ20,Конструкции береговых опор,"Конструкции крайних опор моста в сопряжении его с геомассивом берегового склона и подходной насыпи, воспринимающие нагрузки от пролетного строения и переходной плиты и давления грунта геомассива берегового склона и насыпи",,ГОСТ 16504-81,Устой,,,,
,BM,,Конструкции обделки тоннелей,"Постоянная несущая конструкция, воспринимающая внешние нагрузки, ограждающая тоннель и образующая его внутреннюю поверхность",По типу исполнения,ГОСТ 16504-81,,IfcBuildingSystem,,,
,,BM10,Конструкции обделки тоннелей из набрызг бетона,"Конструкции обделки тоннелей, выполненные из набрызг бетона",,ГОСТ 16504-81,,,,,
,,BM20,Конструкции обделки тоннелей из монолитного железобетона,"Конструкции обделки тоннелей, выполненные из монолитного железобетона",,ГОСТ 16504-81,,,,,
,,BM30,Конструкции обделки тоннелей из сборного железобетона,"Конструкции обделки тоннелей, выполненные из сборного железобетона",,ГОСТ 16504-81,,,,,
,,BM40,Конструкции обделки тоннелей с комбинированной обделкой,Конструкции обделки тоннелей с комбинированной обделкой,,ГОСТ 16504-81,,,,,
,BN,,Специальная конструктивная система,"Конструктивная система, выполняющая конкретную специальную функцию",По типу системы,ГОСТ 16504-81,,IfcBuildingSystem,,,
,,BN10,Система преднапряжения,"Конструктивная система, обеспечивающая постоянное воздействие на строительные конструкции, вызванного регулируемыми силами и/или контролируемой деформацией конструкций",,,Система преднапряжения защитной оболочки,,,,
