Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,Примечания
A,,,,,"Объекты сельского и лесного хозяйства, охоты, рыболовства и рыбоводства",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,1,,
,AA,,,,Объекты животноводства,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",По виду ОКС,,1.3,ВН ПН 10 40,
,,AAA,,,Объекты коневодства и верблюдоводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,1.3.1,,
,,,AAAA,,Здание (сооружение) объектов содержания лошадей (верблюдов),"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма).","Приказ Минстроя России от 10.07.2020 N 374/пр
СП 374.1325800.2018",,"Здание фермы мясного направления табунного содержания лошадей
Сооружение племенной фермы конюшенного содержания лошадей
Здание содержания маток с верблюжатами
Здание конюшни выжеребки кобыл",1.3.1,,
,,,AAAB,,Здание (сооружение) манежа,Специальное помещение для занятия конным спортом или производственных работ по коневодству в конном заводе. Вся площадь манежа не имеет колонн и перегородок.,СП 106.13330.2012,,Сооружение манежа для тренинга лошадей,,,
,,,AAAC,,Здание (сооружение) вспомогательных объектов коневодства и верблюдоводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение шорной мастерской
Здание цеха приготовления шубата
Здание кумысного цеха",1.3.1,,
,,AAB,,,Объекты звероводства и кролиководства,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,1.3.2,,
,,,AABA,,Здание (сооружение) для содержания зверей (кроликов),"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма).","Приказ Минстроя России от 10.07.2020 N 374/пр
СП 374.1325800.2018
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Сооружение нутриеводческой фермы
Сооружение норковой фермы
Здание содержания основного стада нутрий и кроликов",1.3.2,ВН ПН 10 40 35,
,,,AABB,,Здание (сооружение) вспомогательных объектов звероводства и кролиководства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание кормового цеха
Здание цеха убоя зверей
Сооружение шеда содержания основного стада и молодняка",1.3.2,,
,,AAC,,,Объекты овцеводства и козоводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,1.3.2,,
,,,AACA,,Здание (сооружение) объекта содержания овец и коз,"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма).","Приказ Минстроя России от 10.07.2020 N 374/пр
СП 374.1325800.2018",,"Здание фермы откорма каракульских маток (стойловое содержание)
Сооружение козоводческой фермы шерстного направления
Сооружение овчарни для ягнения",1.3.4,,
,,,AACB,,Здание (сооружение) вспомогательных объектов овцеводства и козоводства,"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма).","Приказ Минстроя России от 10.07.2020 N 374/пр
СП 374.1325800.2018",,Здание цеха переработки козьего/овечьего молока на брынзу и сыр,1.3.4,,
,,AAD,,,"Объекты по выращиванию крупного рогатого скота, производству мяса, молока, выращиванию ремонтного молодняка",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,1.3.4,,
,,,AADA,,Здание (сооружение) содержания крупного рогатого скота,"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма).","Приказ Минстроя России от 10.07.2020 N 374/пр
СП 374.1325800.2018",,"Здание для приемки телят
Здание буйволиного молодняка
Здание откорма молодняка крупного рогатого скота",1.3.3,,
,,,AADB,,"Здание (сооружение) вспомогательных объектов по выращиванию крупного рогатого скота, производству мяса, молока",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание карантина
Здание кормоприготовительного цеха
Здание кормосмесительного цеха",1.3.3,,
,,AAE,,,Объекты птицеводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,1.3.3,,
,,,AAEA,,Здание птицефабрики,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание птицефабрики, фермы откорма индюшат-бройлеров
Здание птицефабрики, фермы откорма утят-бройлеров
Здание птицефабрики, фермы откорма цыплят-бройлеров",1.3.5,ВН ПН 10 40 20,
,,,AAEB,,"Сооружение инкубатория, репродуктора, племенного цеха","Здания, предназначенные для размещения инкубаторов и проведения инкубации яиц сельскохозяйственной птицы. Сооружаются в составе птицеводческих ферм, птицефабрик, племенных заводов и инкубаторно-птицеводческих станций","Приказ Минстроя России от 10.07.2020 N 374/пр
Большая советская энциклопедия. — М.: Советская энциклопедия. 1969—1978",,"Сооружение племенного репродуктора
Здание инкубатория
Здание племенного цеха кур мясного и яичного направления",1.3.5,,
,,,AAEC,,Сооружение птичника,Помещение для содержания сельскохозяйственной птицы.,"Приказ Минстроя России от 10.07.2020 N 374/пр
СТО НОСТРОЙ 2.23.138-2013 ",,"Сооружение птичника взрослого поголовья кур клеточного содержания для племенных хозяйств
Сооружение птичника для фазанов родительского стада
Сооружение фазанария",1.3.5,,
,,,AAED,,Здание (сооружение) вспомогательных объектов птицеводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха мойки и дезинфекции тары
Здание цеха переработки отходов птицеводства на мясокостную муку
Здание цеха производства бугорчатых прокладок для упаковки яиц",1.3.5,,
,,AAF,,,Объекты пчеловодства,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,Сооружение пчеловодческой фермы,1.3.7.1,ВН ПН 10 40 40,
,,AAG,,,Объекты свиноводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,1.3.7,,
