Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,Примеры компонентов ISO 81346-2:2019,Примеры компонентов (НТД РФ)(НТД РФ),IFC-entity,КСР,МССК,ПСК,Примечание
B__,,,,объект сбора и представления информации,объект для сбора и представления информации,ISO 81346-2:2019,Вид количества,,,,,,,
,BA_,,,объект для измерения электрического потенциала,объект для измерения электрического потенциала,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,
,,BAA,,измерительный трансформатор напряжения,"объект для измерения электрического потенциала со скалярным выходом
-
Измерительный трансформатор, в котором, при рабочих условиях применения, вторичное напряжение практически пропорционально первичному и отличается от него углом фазового сдвига, который приблизительно равен нулю для соответствующего направления соединений",ГОСТ IEC 61869-3-2012,,"конденсатор связи
измерительный трансформатор напряжения",,IfcTransformer,,,,
,,BAB,,реле напряжения,"объект индикации наличия электрического потенциала
-
Измерительное реле, характеристической величиной которого является напряжение.",ГОСТ IEC 60050-447-2014,,реле измерения напряжения,реле напряжения,"IfcSensor, IfcFlowInstrument",,,,
,BB_,,,объект для измерения сопротивления,объект для измерения удельного сопротивления или электропроводности,ISO 81346-2:2019,Вид потока и выходного сигнала,,,,,,,
,,BBA,,датчик электрического сопротивления,объект для измерения удельного сопротивления электрического тока со скалярным выходом,,,,,IfcSensor,,,,
,,BBB,,детектор электрического сопротивления,объект индикации наличия удельного сопротивления электрического тока ,,,,,IfcSensor,,,,
,,BBC,,датчик термического сопротивления,объект для измерения сопротивления теплового потока со скалярным выходом,,,,,IfcSensor,,,,
,,BBD,,детектор термического сопротивления,объект индикации наличия сопротивления теплового потока,,,,,IfcSensor,,,,
,BC_,,,объект для измерения электрического тока,объект для измерения электрического тока,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,
,,BCA,,трансформатор тока,"объект для измерения электрического тока со скалярным выходом
-
Измерительный трансформатор, в котором при рабочих условиях применения вторичный ток практически пропорционален первичному и отличается от него углом фазового сдвига, который приблизительно равен нулю для соответствующего направления соединений",ГОСТ IEC 60044-1-2013,,измерительный трансформатор тока,трансформатор тока,IfcTransformer,,,,
,,BCB,,реле тока,"объект индикации наличия электрического тока в цепи
-
Измерительное реле, характеристической величиной которого является электрический ток",ГОСТ IEC 60050-447-2014,,"электронное реле перегрузки, реле измерения тока, реле перегрузки",реле тока,IfcFlowInstrument,,,,
,BD_,,,объект для измерения плотности,объект для измерения плотности,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,
,,BDA,,датчик плотности,объект для измерения плотности со скалярным выходом,,,"аэрометр, датчик плотности, гидрометр",,"IfcTransportElement, IfcSensor",,,,
,,BDB,,реле плотности,объект индикации наличия плотности для измеряемой среды,,,датчик плотности,,IfcSensor,,,,
,BE_,,,объект для измерения поля,объект для измерения поля,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,
,,BEA,,датчик электрического поля,"объект для измерения электрического поля со скалярным выходом
-
Устройство, которое под воздействием физического явления создает электрический сигнал, характеризующий физическое явление.",ГОСТ IEC 60050-151-2014,,,датчик электрического тока,IfcSensor,,,,
,,BEB,,детектор электрического поля,объект индикации наличия электрического поля,,,,,IfcSensor,,,,
,,BEC,,датчик магнитного поля,объект для измерения магнитного поля со скалярным выходом,,,датчик Холла,,IfcSensor,,,,
,,BED,,детектор магнитного поля,объект индикации наличия магнитного поля,,,"вибрационное реле, герконовый переключатель",,IfcSensor,,,,
,BF_,,,объект для измерения расхода,объект для измерения потока,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,
