Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания
A,,,,,Служащий,"Работники, которые по характеру своей деятельности действуют в соответствии с принятыми в компании стандартами, правилами и процедурами, регламентами, методиками выполнения того или иного вида работ, обеспечивающие и обслуживающие деятельность руководителей при выработке и реализации ими управленческих решений, выполняющие административно-управленческие функции",Постановление Минтруда России от 21.08.1998 N 37,По группе должностей,,,
,AA,,,,Руководитель,"Человек, в трудовые функции которого входит участие в системе управления и в подчинении которого находятся один или более работников, работающих или иных физических лиц",Постановление Минтруда России от 21.08.1998 N 37,По должности,,,
,,AAA,,,Директор организации,,,,,,
,,,,AAA010,Генеральный директор,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20560,,
,,,,AAA020,Директор,,Постановление Госстандарта РФ от 26.12.1994 N 367,,21447,"Управляющий директор
Финансовый директор
Директор по персоналу
Директор по науке",
,,AAB,,,Главный бухгалтер,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20656,,
,,AAC,,,Главный градостроитель,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,AAC010,"Главный градостроитель (субъекта Российской Федерации, муниципального образования)",,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,AAC020,Главный градостроитель в организации,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,AAC030,Главный градостроитель проекта,, ,,,,
,,AAD,,,Главный архитектор,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20638,,
,,,,AAD010,Главный ландшафтный архитектор проекта,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20798,,
,,,,AAD020,Главный архитектор проекта,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20641,,
,,AAE,,,Заведующий,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,AAE010,Заведующий конструкторским отделом,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,AAE020,Заведующий отделом (бюро) оформления проектных материалов,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,AAE030,Заведующий чертежно-копировальным бюро,,Постановление Госстандарта РФ от 26.12.1994 N 367,,21924,,
,,AAF,,,Начальник,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,AAF010,Начальник отдела,,Постановление Госстандарта РФ от 26.12.1994 N 367,,24681,"Начальник юридического отдела
Начальник отдела кадров
Начальник отдела капитального строительства
Начальник отдела автоматизации и механизации производственных процессов
Начальник отдела комплектации оборудования
Начальник отдела контроля качества
Начальник производственно-технического отдела
Начальник отдела дорожных сооружений
Начальник отдела имущественных отношений
Начальник отдела организации работ по безопасности дорожного движения
Начальник отдела организации работ по содержанию и сохранности автомобильных дорог
Начальник отдела подготовки строительства
Начальник отдела развития и ремонта автомобильных дорог
Начальник отдела размещения государственных заказов
Начальник отдела изысканий (комплексного или по видам изысканий)",
,,,,AAF020,Начальник сектора (лаборатории),,Постановление Госстандарта РФ от 26.12.1994 N 367,,24597,,
,,,,AAF030,Начальник службы,,Постановление Госстандарта РФ от 26.12.1994 N 367,,24923,Начальник службы качества строительной лаборатории,
,,,,AAF040,Начальник участка,,Постановление Госстандарта РФ от 26.12.1994 N 367,,25081,,
,,AAG,,,Руководитель группы специалистов,,Постановление Госстандарта РФ от 26.12.1994 N 367,,26151,,
,,,,AAG010,Руководитель группы по инвентаризации строений и сооружений,,Постановление Госстандарта РФ от 26.12.1994 N 367,,26154,,
,,,,AAG020,Руководитель строительной лаборатории,,Постановление Госстандарта РФ от 26.12.1994 N 367,,44490,,
,,,,AAG030,Руководитель экспертной группы,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,AAG040,Руководитель проектной группы,,Постановление Госстандарта РФ от 26.12.1994 N 367,,44490,,
,,AAH,,,Главный инженер,,Постановление Госстандарта РФ от 26.12.1994 N 367,,40759,,
,,,,AAH010,Главный инженер строительной организации,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,AAH020,Главный инженер проекта,"Первый заместитель управляющего проектом, который осуществляет связь инвестиционного строительного проекта (ИСП) с рынком проектных и инженерных услуг и с органами экспертизы, надзора и контроля хода реализации ИСП",Постановление Минтруда России от 21.08.1998 N 37,,,,Определение синтезировано
,,AAJ,,,BIM-менеджер,"Лицо, ответственное за процесс информационного моделирования в рамках проекта информационного моделирования",ОДМ 218.3.105-2018 ,,,,Определение синтезировано
,,AAK,,,BIM-координатор,"Специалист ведущего отдела, отвечающий за BIM-модель и общую координацию проекта",ОДМ 218.3.105-2018,,,,Определение синтезировано
,,AAL,,,Менеджер строительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,AAM,,,Менеджер проекта,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,AAN,,,Главный технолог строительной организации,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,AAP,,,Главный механик строительной организации,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20818,,
,,AAQ,,,Главный энергетик строительной организации,,Постановление Госстандарта РФ от 26.12.1994 N 367,,21044,,
,,AAR,,,Главный конструктор проекта,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20783,,
,,AAS,,,Главный метролог,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20811,,
,,AAT,,,Заместитель директора по капитальному строительству,,Постановление Госстандарта РФ от 26.12.1994 N 367,,21480,,
,,AAU,,,Производитель работ (прораб),"Руководитель среднего звена, осуществляющий руководство строительством на своем участке, обеспечивающий выполнение заданий по вводу объектов в эксплуатацию в установленные сроки, организующий производство, обеспечивающий соблюдение технологии производства, ведущий учет выполненных работ, оформляющий техническую документацию, участвующий в сдаче объектов в эксплуатацию, устанавливающий производственные задания по объемам строительно-монтажных и пусконаладочных работ, контролирующий их выполнение, в том числе в процессе эксплуатации объектов",Постановление Госстандарта РФ от 26.12.1994 N 367,,25864,,
,,AAV,,,Мастер участка,,Постановление Госстандарта РФ от 26.12.1994 N 367,,23998,,
,AB,,,,Специалист,"Человек, в трудовые функции которого входит участие в системе управления, но не имеющий в подчинении ни одного работника, работающего или иного физического лица",Постановление Минтруда России от 21.08.1998 N 37,По должности,,,
,,ABA,,,Бухгалтер,,Постановление Госстандарта РФ от 26.12.1994 N 367,, 20336,,
,,ABB,,,Юрисконсульт,,Постановление Госстандарта РФ от 26.12.1994 N 367,,27931,,
,,ABC,,,Документовед,,Постановление Госстандарта РФ от 26.12.1994 N 367,,21792,,
,,ABD,,,Специалист по кадрам,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,ABE,,,Специалист инженерного обеспечения территорий,,Постановление Госстандарта РФ от 26.12.1994 N 367,,26583,,
,,ABF,,,Специалист транспортного развития территорий,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,ABG,,,Инженер организации,"Специалист, профессионально занимающийся инженерным делом",Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,ABG010,Инженер по охране труда,,Постановление Госстандарта РФ от 26.12.1994 N 367,,22659,,
,,,,ABG020,Инженер,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,ABG030,Инженер по подготовке кадров,,Постановление Госстандарта РФ от 26.12.1994 N 367,,22675,,
,,,,ABG040,Инженер-технолог строительной организации,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,ABG050,Инженер-конструктор,,Постановление Госстандарта РФ от 26.12.1994 N 367,,22491,,
,,,,ABG060,Инженер-проектировщик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,22827,,
,,,,ABG070,Инженер по качеству,,Постановление Госстандарта РФ от 26.12.1994 N 367,,22583,,
,,,,ABG080,Инженер по строительному контролю,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,ABG090,Инженер строительной лаборатории,,Постановление Госстандарта РФ от 26.12.1994 N 367,,42499,,
,,,,ABG100,Инженер-сметчик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,22696,,
,,ABJ,,,Архитектор,"Специалист в области архитектуры, создающий здания и комплексы зданий, а также города в соответствии с функциональными, конструктивными и эстетическими ",Постановление Госстандарта РФ от 26.12.1994 N 367,,20196,,
,,,,ABJ010,Ландшафтный архитектор,,Постановление Госстандарта РФ от 26.12.1994 N 367,,23705,,
,,,,ABJ020,Архитектор организации,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,ABK,,,Градостроитель проекта,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,ABL,,,Эксперт,,Постановление Госстандарта РФ от 26.12.1994 N 367,,27779,,
,,,,ABL010,Строительный эксперт,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,ABL020,Эксперт-эколог градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,ABL030,Эколог градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,ABL040,Эксперт-социолог градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,ABL050,Эксперт транспортного развития территорий,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,ABL060,Эксперт-экономист градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,ABL070,Эксперт инженерного обеспечения территории,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,ABM,,,Социолог градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,ABN,,,Экономист градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,ABP,,,Механик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,24110,,
,,ABQ,,,Главный специалист,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20889,,
,,,,ABQ010,Главный специалист в отделе (архитектурно-планировочной мастерской),,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,ABQ020,Главный специалист в отделе инженерных изысканий,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,ABR,,,Техник,,Постановление Госстандарта РФ от 26.12.1994 N 367,,26927,,
,,,,ABR010,Техник организации,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,ABR020,Техник-проектировщик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,27102,,
,,ABS,,,Ведущий инженер отдела (комплексного или по видам инженерных изысканий),,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,ABT,,,Лаборант,,Постановление Госстандарта РФ от 26.12.1994 N 367,,23690,,
,,ABU,,,Буровой мастер,,Постановление Госстандарта РФ от 26.12.1994 N 367,,23806,,
,,ABV,,,Топограф,,Постановление Госстандарта РФ от 26.12.1994 N 367,,27159,,
,,ABW,,,Старший топограф,,Постановление Госстандарта РФ от 26.12.1994 N 367,,27159,,
,AC,,,,Технический исполнитель,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,ACA,,,Агент,,Постановление Минтруда России от 21.08.1998 N 37,,,,
,,,,ACA010,Агент по продаже недвижимости,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20026,,
,,,,ACA020,Агент по снабжению,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20031,,
,,ACB,,,Делопроизводитель,,Постановление Госстандарта РФ от 26.12.1994 N 367,,21299,,
,,ACC,,,Секретарь руководителя,,Постановление Госстандарта РФ от 26.12.1994 N 367,,26341,,
,,ACD,,,Чертежник,,Постановление Госстандарта РФ от 26.12.1994 N 367,,27530,,
B,,,,,Рабочий,"Производственный персонал, выполняющий одно или более производственных заданий, обеспечивающих достижение поставленной цели в производственной системе",Единый тарифно-квалификационный справочник работ и профессий рабочих,По специальности,,,
,BA,,,,Рабочий земляных работ,,,По специализации,,,
,,BAA,,,Землекоп,,Постановление Госстандарта РФ от 26.12.1994 N 367,,12266,,
,,BAB,,,Рабочий карты намыва,,Постановление Госстандарта РФ от 26.12.1994 N 367,,17532,,
,,BAC,,,Рабочий зеленого строительства,,Постановление Госстандарта РФ от 26.12.1994 N 367,,17530,,
,,BAD,,,Проходчик на поверхностных работах,,Постановление Госстандарта РФ от 26.12.1994 N 367,,17495,,
,BB,,,,Рабочий по производству и укладке бетонных смесей и растворов,,,По специализации,,,
,,BBA,,,Бетонщик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,11196,,
,,BBB,,,Цементатор,,Постановление Госстандарта РФ от 26.12.1994 N 367,,19526,,
,,BBC,,,Известегасильщик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,12282,,
,BC,,,,Рабочий по устройству каменных конструкций,,,По специализации,,,
,,BCA,,,Каменщик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,12680,,
,,BCB,,,Печник,,Постановление Госстандарта РФ от 26.12.1994 N 367,,16600,,
,BD,,,,Рабочий управляющий машинами и механизмами,,Единый тарифно-квалификационный справочник работ и профессий рабочих,По специализации,,,
,,BDA,,,Копровщик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13121,,
,,BDB,,,Бункеровщик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,11289,,
,,BDC,,,Лебедчик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13361,,
,,BDD,,,Водитель,,Постановление Госстандарта РФ от 26.12.1994 N 367,,11442,,
,,,,BDD010,Водитель вездехода,,Постановление Госстандарта РФ от 26.12.1994 N 367,,11447,,
,,,,BDD020,Водитель погрузчика,,Постановление Госстандарта РФ от 26.12.1994 N 367,,11453,,
,,BDE,,,Машинист,,Единый тарифно-квалификационный справочник работ и профессий рабочих,По виду машины,,,
,,,BDEA,,Машинист землеройной машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13734,,
,,,,BDEA010,Машинист экскаватора,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14388,,
,,,,BDEA020,Машинист дренажной машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13706,,
,,,,BDEA030,Машинист землеройно-фрезерной самоходной машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13734,,
,,,,BDEA040,Машинист автогрейдера,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13509,,
,,,,BDEA050,Машинист автоямобура,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13532,,
,,,,BDEA060,Машинист бульдозера,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13583,,
,,,,BDEA070,Машинист гидромониторно-эжекторного плавучего несамоходного снаряда,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13662,,
,,,,BDEA080,Машинист грейдера прицепного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13681,,
,,,,BDEA090,Машинист грейдер-элеватора,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13683,,
,,,,BDEA100,Машинист землесосного плавучего несамоходного снаряда,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13736,,
,,,,BDEA110,Машинист скрепера,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14184,,
,,,BDEB,,Машинист машины для устройства свайного фундамента,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEB010,Машинист вибровдавливающего погружателя свай самоходного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13620,,
,,,,BDEB020,Машинист вибропогружателя бескопрового,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13622,,
,,,,BDEB030,Машинист копра,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13783,,
,,,,BDEB040,Машинист дизель-молота бескопрового,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13694,,
,,,BDEC,,Машинист подъемной машины,,Постановление Госстандарта РФ от 26.12.1994 N 367,,14021,,
,,,,BDEC010,Машинист автовышки и автогидроподъемника,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13507,,
,,,,BDEC020,Машинист крана автомобильного,,Постановление Госстандарта РФ от 26.12.1994 N 367,,13788,,
,,,,BDEC030,Машинист подъемника строительного,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,
,,,,BDEC040,Машинист крана (крановщик),,Постановление Госстандарта РФ от 26.12.1994 N 367,,13790,,
