Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечание
A,,,,,,,Земляные и горные работы,,ГЭСН 2020,по виду работ,,,Синтезировано путем объединения нескольких таблиц ГЭСН
,AA,,,,,,Земляные работы,,ГЭСН 81-02-01-2020 ,по виду работ,,ГЭСН 81-02-01-2020,
,,AAA,,,,,Механизированная разработка грунтов (в том числе вечномерзлых),,ГЭСН 81-02-01-2020 ,по способу производства работ,,,
,,,AAAA,,,,Разработка грунта механизированным способом,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-001
ГЭСН 01-01-002 
ГЭСН 01-01-003 
ГЭСН 01-01-004 
ГЭСН 01-01-005 
ГЭСН 01-01-006
ГЭСН 01-01-007 
ГЭСН 01-01-008 
ГЭСН 01-01-009 
ГЭСН 01-01-010 
ГЭСН 01-01-011 
ГЭСН 01-01-012 
ГЭСН 01-01-013 
ГЭСН 01-01-014 
ГЭСН 01-01-015 
ГЭСН 01-01-016 
ГЭСН 01-01-017 
ГЭСН 01-01-018 
ГЭСН 01-01-019 
ГЭСН 01-01-020 
ГЭСН 01-01-021 
ГЭСН 01-01-022
ГЭСН 01-01-023
ГЭСН 01-01-024
ГЭСН 01-01-030
ГЭСН 01-01-031
ГЭСН 01-01-032
ГЭСН 01-01-033
ГЭСН 01-01-034
ГЭСН 01-01-035
ГЭСН 01-01-036
ГЭСН 01-01-037 ",
,,,,AAAAA,,,Разработка вечномерзлых грунтов в котлованах,,ГЭСН 81-02-01-2020,,,"ГЭСН 01-03-001 
ГЭСН 01-03-002
ГЭСН 01-03-003
ГЭСН 01-03-004
ГЭСН 01-03-010 
ГЭСН 01-03-011
ГЭСН 01-03-012
ГЭСН 01-03-013
ГЭСН 01-03-021 
ГЭСН 01-03-022
ГЭСН 01-03-028 
ГЭСН 01-03-029
ГЭСН 01-03-030 ",
,,,,AAAAB,,,Разработка вечномерзлых грунтов в траншеях,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-001 
ГЭСН 01-03-002
ГЭСН 01-03-003
ГЭСН 01-03-004
ГЭСН 01-03-010 
ГЭСН 01-03-011
ГЭСН 01-03-012
ГЭСН 01-03-013
ГЭСН 01-03-021 
ГЭСН 01-03-022
ГЭСН 01-03-028 
ГЭСН 01-03-029
ГЭСН 01-03-030",
,,,,AAAAC,,,Разработка вечномерзлых грунтов с разрыхлением грунта,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-078 ,
,,,,AAAAD,,,Разработка предварительно разрыхленного вечномерзлого грунта,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-03-070 ,
,,,,AAAAE,,,Разработка вечномерзлых грунтов в отвал,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-001
ГЭСН 01-03-002
ГЭСН 01-03-003
ГЭСН 01-03-004 ",
,,,,AAAAF,,,Разработка грунта 2 группы,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-144
ГЭСН 01-01-145",
,,,,AAAAG,,,Разработка грунта в каналах,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-148,
,,,,AAAAH,,,Рыхление вечномерзлых грунтов в отвал,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-001
ГЭСН 01-03-002
ГЭСН 01-03-003
ГЭСН 01-03-004 ",
,,,,AAAAJ,,,Бурение отверстий в скальном грунте,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-071 ,
,,,,AAAAK,,,Разборка скального грунта,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-072 ,
,,,,AAAAL,,,Канатная алмазная резка скального грунта,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-073 ,
,,,,AAAAM,,,Рыхление скального грунта,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-094 ,
,,,AAAB,,,,Разработка выемок,,ГЭСН 81-02-01-2020 ,по виду работ,,,
,,,,AAABA,,,Разработка выемок с отсыпкой грунта в кавальеры,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-042
ГЭСН 01-01-043",
,,,,AAABB,,,Устройство сливной призмы и кюветов в выемках,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-047,
,,,,AAABC,,,Срезка недобора грунта в выемках,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-049,
,,,,AAABD,,,Рыхление выемок в вечномерзлых грунтах с отсыпкой грунта в кавальеры,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-03-040 ,
,,,,AAABE,,,Разработка выемок в вечномерзлых грунтах с отсыпкой грунта в кавальеры,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-03-040 ,
,,,AAAC,,,,Отсыпка насыпей,,ГЭСН 81-02-01-2020 ,по виду работ,,,
,,,,AAACA,,,Устройство дорожных насыпей,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-045
ГЭСН 01-01-046",
,,,,AAACB,,,Возведение насыпей из резервов,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-044,
,,,AAAD,,,,Рытье траншей,,ГЭСН 81-02-01-2020 ,по виду работ,,"ГЭСН 01-01-055
ГЭСН 01-01-056
ГЭСН 01-01-057
ГЭСН 01-01-058
ГЭСН 01-01-059
ГЭСН 01-01-060
ГЭСН 01-01-061
ГЭСН 01-01-062
ГЭСН 01-01-063
ГЭСН 01-01-064
ГЭСН 01-01-065
ГЭСН 01-01-066
ГЭСН 01-01-067
ГЭСН 01-01-068
ГЭСН 01-01-069
ГЭСН 01-01-070
ГЭСН 01-01-071
ГЭСН 01-01-072
ГЭСН 01-01-073
ГЭСН 01-01-074
ГЭСН 01-01-075
ГЭСН 01-01-076
ГЭСН 01-01-077
ГЭСН 01-01-078
ГЭСН 01-01-079
ГЭСН 01-01-080
ГЭСН 01-01-081",
,,,,AAADA,,,Рытье траншей в вечномерзлых грунтах,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-053 
ГЭСН 01-03-054
ГЭСН 01-03-055
ГЭСН 01-03-056
ГЭСН 01-03-057
ГЭСН 01-03-058
ГЭСН 01-03-059
ГЭСН 01-03-060
ГЭСН 01-03-061
ГЭСН 01-03-062
ГЭСН 01-03-063
ГЭСН 01-03-064
ГЭСН 01-03-065",
,,,,AAADB,,,Разработка траншей в вечномерзлых грунтах с разравниванием и уплотнением грунта,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-066 
ГЭСН 01-03-0667",
,,,,AAADC,,,Рыхление траншей в вечномерзлых грунтах с разравниванием и уплотнением грунта,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-066 
ГЭСН 01-03-0667",
,,,AAAE,,,,Укрепление откосов,,ГЭСН 81-02-01-2020 ,по виду работ,,"ГЭСН 01-01-050
ГЭСН 01-02-040 
ГЭСН 01-02-042",
,,,,AAAEA,,,Укрепление откосов насыпных сооружений,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-035
ГЭСН 01-02-036
ГЭСН 01-02-037
ГЭСН 01-02-038
ГЭСН 01-01-053 ",
,,,,AAAEB,,,Укрепление откосов путепроводов,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-035
ГЭСН 01-02-036
ГЭСН 01-02-037
ГЭСН 01-02-038
ГЭСН 01-01-053 ",
,,,,AAAEC,,,Укрепление откосов конусов мостов,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-035
ГЭСН 01-02-036
ГЭСН 01-02-037
ГЭСН 01-02-038
ГЭСН 01-01-053 ",
,,,,AAAED,,,Укрепление бровки откосов земляных сооружений,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-039,
,,,,AAAEE,,,Полив посевов трав водой,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-040,
,,,,AAAEF,,,"Мощение откосов насыпи, дна и откосов кюветов",,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-043,
,,,,AAAEG,,,Устройство каменной наброски или призмы,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-044,
,,,,AAAEH,,,Устройство упоров при укреплении откосов,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-047
ГЭСН 01-02-045",
,,,,AAAEJ,,,"Укрепление нагорных и водоотводных канав, кюветов",,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-048,
,,,,AAAEK,,,Устройство оголовков при укреплении откосов,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-049,
,,,AAAF,,,,Устройство полок в вечномерзлых грунтах,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-068
ГЭСН 01-03-0689 ",
