Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания
A,,,,,,Земляные работы при производстве процесса капитального ремонта,,ГЭСНр 81-02-51-2020 ,По виду работ,,,
,AA,,,,,Разработка грунта вручную при производстве процесса капитального ремонта,,ГЭСНр 81-02-51-2020,По виду работ,,"ГЭСНр 51-1 
ГЭСНр 51-2",
,,AAA,,,,Разработка грунта вручную,,ГЭСНр 81-02-51-2020,,,,
,,AAB,,,,Устройство креплений откосов,,ГЭСНр 81-02-51-2020,,,,
,,AAC,,,,Разборка креплений откосов,,ГЭСНр 81-02-51-2020,,,,
,,AAD,,,,Обратная засыпка грунта с трамбованием ручными трамбовками,,ГЭСНр 81-02-51-2020,,,,
,,AAE,,,,Удаление лишнего грунта,,ГЭСНр 81-02-51-2020,,,,
,,AAF,,,,Устройство ходов для ручных тележек,,ГЭСНр 81-02-51-2020,,,,
,,AAG,,,,Обратная засыпка грунта,,ГЭСНр 81-02-51-2020,,,,
,AB,,,,,Изменение уровня пола в здании,,ГЭСНр 81-02-51-2020,По виду работ,,ГЭСНр 51-3,
,,ABA,,,,Перекидка грунта,,ГЭСНр 81-02-51-2020,,,,
,,ABB,,,,Перемещение грунта,,ГЭСНр 81-02-51-2020,,,,
,,ABC,,,,Планировка поверхности,,ГЭСНр 81-02-51-2020,,,,
,,ABD,,,,Трамбование грунта ручными трамбовками,,ГЭСНр 81-02-51-2020,,,,
,,ABE,,,,Устройство ходов для ручных тележек при изменении уровня пола в здании,,ГЭСНр 81-02-51-2020,,,,
,AC,,,,,Рытье ям для установки стоек и столбов,,ГЭСНр 81-02-51-2020,По виду работ,,ГЭСНр 51-4,
,,ACA,,,,Разработка грунта вручную при рытье ям,,ГЭСНр 81-02-51-2020,,,,
,,ACB,,,,Обратная засыпка при рытье ям,,ГЭСНр 81-02-51-2020,,,,
,,ACC,,,,Перекидка излишнего грунта при рытье ям,,ГЭСНр 81-02-51-2020,,,,
,AD,,,,,Механизированная разработка грунта в стесненных условиях,,ГЭСНр 81-02-51-2020,По способу производства работ,,ГЭСНр 51-5,
,,ADA,,,,Механизированная разработка грунта,,ГЭСНр 81-02-51-2020,,,,
,,ADB,,,,Обратная засыпка котлованов при механизированной разработке грунта,,ГЭСНр 81-02-51-2020,,,,
,,ADC,,,,Перекидка излишнего грунта при механизированной разработке грунта,,ГЭСНр 81-02-51-2020,,,,
,,ADD,,,,Погрузка в автомобиль-самосвал излишнего грунта при механизированной разработке грунта,,ГЭСНр 81-02-51-2020,,,,
,AE,,,,,Погрузка грунта вручную в автомобили-самосвалы с выгрузкой,,ГЭСНр 81-02-51-2020,По виду работ,,ГЭСНр 51-6,
,,AEA,,,,Погрузка грунта с выгрузкой и очисткой кузова,,ГЭСНр 81-02-51-2020,,,,
B,,,,,,Капитальный ремонт конструкций ОКС,,ГЭСНр 81-02-51-2020,По виду работ,,,
,BA,,,,,Капитальный ремонт фундаментов,,ГЭСНр 81-02-52-2020,По виду работ,,,
,,BAA,,,,Усиление фундаментов при капитальном ремонте,,ГЭСНр 81-02-52-2020,По виду работ ,,"ГЭСНр 52-1
ГЭСНр 52-2",
,,,BAAA,,,Очистка поверхности фундамента,,ГЭСНр 81-02-52-2020,,,,
,,,BAAB,,,Подготовка поверхности фундамента,,ГЭСНр 81-02-52-2020,,,,
,,,BAAC,,,Торкретирование поверхности фундамента,,ГЭСНр 81-02-52-2020,,,,
,,,BAAD,,,Уход за нанесенным слоем,,ГЭСНр 81-02-52-2020,,,,
,,,BAAE,,,Сверление отверстий в фундаменте с установкой трубок,,ГЭСНр 81-02-52-2020,,,,
,,,BAAF,,,Заделка зазоров между трубками и поверхностью кладки цементным раствором,,ГЭСНр 81-02-52-2020,,,,
,,,BAAG,,,Нагнетание раствора через трубки в кладку фундамента с загрузкой смеси в растворонагнетатель,,ГЭСНр 81-02-52-2020,,,,
,,BAB,,,,Устройство изоляционного слоя в цоколе существующих зданий при капитальном ремонте,,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-3,
,,,BABA,,,Пробивка борозд на половину толщины стены с одной стороны,,ГЭСНр 81-02-52-2020,,,,
,,,BABB,,,Выравнивание поверхности цементным раствором,,ГЭСНр 81-02-52-2020,,,,
,,,BABC,,,Прокладка первого слоя изоляционного материала с отгибанием концов,,ГЭСНр 81-02-52-2020,,,,
,,,BABD,,,Тщательная заделка борозды кирпичом на растворе,,ГЭСНр 81-02-52-2020,,,,
,,,BABE,,,Пробивка борозд с другой стороны стены с выравниванием поверхности раствором,,ГЭСНр 81-02-52-2020,,,,
,,,BABF,,,Отгибание концов первого слоя изоляционного материала,,ГЭСНр 81-02-52-2020,,,,
,,,BABG,,,Укладка второго (внахлестку),,ГЭСНр 81-02-52-2020,,,,
,,BAC,,,,Устройство кирпичного цоколя существующих зданий при капитальном ремонте,,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-4 ,
,,,BACA,,,Копание канавки под цоколь,,ГЭСНр 81-02-52-2020,,,,
,,,BACB,,,Устройство щебеночного основания,,ГЭСНр 81-02-52-2020,,,,
,,,BACC,,,Кладка цоколя с устройством продухов,,ГЭСНр 81-02-52-2020,,,,
,,,BACD,,,Обмазка поверхности цоколя битумной мастикой с одной стороны,,ГЭСНр 81-02-52-2020,,,,
,,,BACE,,,Обратная засыпка канавки,,ГЭСНр 81-02-52-2020,,,,
,,BAD,,,,Устройство кирпичных столбчатых фундаментов при капитальном ремонте,,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-5,
,,,BADA,,,Кладка кирпичных столбчатых фундаментов,,ГЭСНр 81-02-52-2020,,,,
,,BAE,,,,Устройство осадочного шва из просмоленных досок для сопряжения существующих и пристраиваемых фундаментов,,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-6 ,
,,,BAEA,,,Поперечное перепиливание досок,,ГЭСНр 81-02-52-2020,,,,
,,,BAEB,,,Окорка досок,,ГЭСНр 81-02-52-2020,,,,
,,,BAEC,,,Изготовление щитов со сборкой на гвоздях,,ГЭСНр 81-02-52-2020,,,,
,,,BAED,,,Обработка щитов мастикой с обшивкой рубероидом,,ГЭСНр 81-02-52-2020,,,,
,,,BAEE,,,Установка щитов по месту,,ГЭСНр 81-02-52-2020,,,,
,,BAF,,,,"Подводка, смена, ремонт и уширение фундаментов",,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-7,
,,,BAFA,,,Разборка негодной части фундамента,,ГЭСНр 81-02-52-2020,,,,
,,,BAFB,,,Разборка негодной части стены,,ГЭСНр 81-02-52-2020,,,,
,,,BAFC,,,Пробивка отверстий в фундаментах,,ГЭСНр 81-02-52-2020,,,,
,,,BAFD,,,Заделка отверстий кирпичом,,ГЭСНр 81-02-52-2020,,,,
,,,BAFE,,,Заготовка двутавровых балок для усиления фундаментов,,ГЭСНр 81-02-52-2020,,,,
,,,BAFF,,,Установка двутавровых балок для усиления фундаментов,,ГЭСНр 81-02-52-2020,,,,
,,,BAFG,,,Устройство щебеночного основания толщиной 15 см под новые фундаменты,,ГЭСНр 81-02-52-2020,,,,
,,,BAFH,,,Кладка фундаментов из кирпича или камня с перевязкой со старой кладкой,,ГЭСНр 81-02-52-2020,,,,
,,,BAFJ,,,Подъем блоков,,ГЭСНр 81-02-52-2020,,,,
,,,BAFK,,,Установка блоков,,ГЭСНр 81-02-52-2020,,,,
,,,BAFL,,,Заливка швов блоков,,ГЭСНр 81-02-52-2020,,,,
,,,BAFM,,,Заделка стыков,,ГЭСНр 81-02-52-2020,,,,
,,,BAFN,,,Устройство горизонтальной изоляции рулонными материалами в два слоя,,ГЭСНр 81-02-52-2020,,,,
,,BAG,,,,Замена деревянных стульев (свай),,ГЭСНр 81-02-52-2020,По виду работ ,,"ГЭСНр 52-8 
ГЭСНр 52-89",
,,,BAGA,,,Выкапывание стульев (свай) с постановкой временных опор и разгрузочных креплений,,ГЭСНр 81-02-52-2020,,,,
,,,BAGB,,,Устройство песчаного основания для устройства стульев (свай),,ГЭСНр 81-02-52-2020,,,,
