Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по КСР,Код класса по МССК,Примечания,Примечания
A,,,,,,,Изделия для строительных конструкций,,,По виду строительной конструкции,,,,
,AA,,,,,,Элементы конструкций фундаментов,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,05.1.05,ЭЛ 10 10,,
,,AAA,,,,,Элементы ленточных и столбчатых фундаментов,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,"ЭЛ 10 10 15
ЭЛ 10 10 20",,
,,,AAAA,,,,Плита фундаментная прямоугольная плоская и трапецеидальная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,05.1.05.05,ЭЛ 10 10 25,,
,,,AAAB,,,,Плита железобетонная ленточных фундаментов,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,05.1.05.04,ЭЛ 10 10 25,,
,,,AAAC,,,,"Плита фундаментная ребристая, коробчатого сечения",,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,05.1.05.06,ЭЛ 10 10 25,,
,,,AAAD,,,,Блок бетонный для стен подвалов,"Бетонный блок, применяемый для устройства стен подвала или технического подполья здания","ГОСТ 13579-2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,05.2.02.01,,,
,,,,,,AAAD010,Блок бетонный для стен подвала сплошной ФБС,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.61.11.190.05.2.02.01-0006
23.61.11.190.05.2.02.01-0007
23.61.11.190.05.2.02.01-0008
23.61.11.190.05.2.02.01-0009
23.61.11.190.05.2.02.01-0035
23.61.11.190.05.2.02.01-0036
23.61.11.190.05.2.02.01-0037
23.61.11.190.05.2.02.01-0038
23.61.11.190.05.2.02.01-0039
23.61.11.190.05.2.02.01-0040
23.61.11.190.05.2.02.01-0041
23.61.11.190.05.2.02.01-0042
23.61.11.190.05.2.02.01-0043
23.61.11.190.05.2.02.01-0044
23.61.11.190.05.2.02.01-0045
23.61.11.190.05.2.02.01-0046
23.61.11.190.05.2.02.01-0047
23.61.11.190.05.2.02.01-0048
23.61.11.190.05.2.02.01-0049
23.61.11.190.05.2.02.01-0050
23.61.11.190.05.2.02.01-0051
23.61.11.190.05.2.02.01-0052
23.61.11.190.05.2.02.01-0053
23.61.11.190.05.2.02.01-0054
23.61.11.190.05.2.02.01-0055
23.61.11.190.05.2.02.01-0056
23.61.11.190.05.2.02.01-0057
23.61.11.190.05.2.02.01-0058
23.61.11.190.05.2.02.01-0059
23.61.11.190.05.2.02.01-0060
23.61.11.190.05.2.02.01-0061",,,
,,,,,,AAAD020,Блок бетонный для стен подвала с вырезом для укладки перемычек и пропуска коммуникаций под потолками подвалов и технических подпольев ФБВ,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"23.61.11.190.05.2.02.01-0031
23.61.11.190.05.2.02.01-0032
23.61.11.190.05.2.02.01-0033
23.61.11.190.05.2.02.01-0034",ЭЛ 30 16 79,,
,,,,,,AAAD030,Блок бетонный для стен подвала пустотный (с открытыми вниз пустотами) ФБП,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.61.11.190.05.2.02.01-0021
23.61.11.190.05.2.02.01-0022
23.61.11.190.05.2.02.01-0023",,,
,,AAB,,,,,Элементы свайных фундаментов,"Элементы фундамента, в котором используются сваи","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,"05.1.05
",,Определение синтезировано,
,,,AABA,,,,Оголовок свайный,,"ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,05.1.05.03,,,
,,,AABB,,,,Ростверк железобетонный,"Строительная конструкция на оголовке одной или нескольких свай, которая передает усилия от конструкции на одну или несколько свай","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,05.1.05.07,ЭЛ 10 10 55,,
,,,AABC,,,,Свая,"Гибкий конструктивный элемент, большей частью подземный, предназначенный для передачи усилий на несущее основание ниже поверхности грунта","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,ЭЛ 10 10 10,,
,,,,,,AABC010,Свая мостовая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,05.1.05.08,,,
,,,,,,AABC020,Свая составная сплошного квадратного сечения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,05.1.05.09,,,
