Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
A,,,,,Природные минеральные материалы и материалы на их основе,,,По виду материала,,,,
,AA,,,,Горные породы,Устойчивая по составу и строению природная ассоциация одного или нескольких минералов или минеральных агрегатов,ГОСТ Р 50544-93,По виду материала,,,,
,,AAA,,,Мономинеральные горные породы,,ГОСТ 30629-2011,По виду материала,,,,"Термин указан в определении горной породы как ""мономинеральный агрегат"""
,,,AAAA,,Известняк,,"ГОСТ 23671-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,"23.70.12.110.13.2.01.03-0013
23.70.12.110.13.2.01.03-0014",СТ 10 10 50 40,
,,,,AAAA010,Мел,"Разновидность слабоцементированной мажущейся тонкозернистой карбонатной породы, состоящей в основном из карбоната кальция природного происхождения или полученного искусственным путем.","ГОСТ 17498-72
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Мел комовый
Мел молотый",01.7.08.04,"СТ 10 09 20 30
СТ 10 09 20 40",
,,,AAAB,,Мрамор,,"ГОСТ 23259-78
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,Мрамор колотый,23.70.11.140.13.1.01.01-0021,СТ 10 10 50 70,
,,,AAAC,,Гипс,Гидрат сульфата кальция. Используется для изготовления вяжущих веществ,"ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,СТ 10 10 50 20,
,,,AAAD,,Ангидрит,"Безводный сульфат кальция. Обладает разнообразной структурой - зернистой, шерстоватой, волокнистой. Окраска - бесцветная или белая, на плоскостях спайкости - стеклянный блеск, реже - перламутровый. На воздухе в результате поглощения воды переходит в гипс с увеличением объема до 60%","ЕНиР Сборник Е2. Земляные работы
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,СТ 10 10 50 10,
,,,AAAE,,Лабрадорит,,ГОСТ 30629-2011,,,,,
,,,AAAF,,Графит,"Природный или техногенный материал, состоящий из углерода кристаллического слоистого строения","ГОСТ Р 52918-2008
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,01.3.05.10,,
,,,AAAG,,Кварц,,"ГОСТ 9077-82
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,"Кварц искусственный
Кварц молотый пылевидный","20.59.59.900.01.3.05.38-0161
08.99.29.120.01.3.05.38-0221",,
A,AA,,,AAAG010,Кварцит,,СП 43.13330.2012,,,,,
,,,AAAH,,Тальк,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.07.20,,
,,,AAAJ,,Уголь каменный,"Уголь средней стадии метаморфизма с показателем отражения витринита от 0,40% до 2,59% при условии, что высшая теплота сгорания (на влажное беззольное состояние) равна или выше 24 МДж/кг, а выход летучих веществ (на сухое беззольное состояние угля) равен 8% и более
","ГОСТ 17070-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,01.7.07.22,,"В некоторых странах каменные угли, образующие в результате необратимых физико-химических превращений при нагревании без доступа воздуха пластическую массу, называют битуминозными. Угли, имеющие стадию метаморфизма ниже битуминозных, но не образующие при нагревании без доступа воздуха пластическую массу, называют суббитуминозными углями. "
,,AAB,,,Полиминеральные горные породы,,ГОСТ 30629-2011,По виду материала,,,,"Термин указан в определении горной породы как ""полиминеральный агрегат"""
,,,AABA,,Гранит,,"ГОСТ 33031-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Гранит-амфиболит черный, плитняк, необработанный, фракция 20-30 мм",23.70.12.110.13.2.01.03-0012,СТ 10 10 50 30,
,,,AABB,,Сиенит,,,,,,,
,,,AABC,,Диорит,,ГОСТ 33031-2014,,,,,
,,,AABD,,Габбро,,ГОСТ 33031-2014,,,,,
,,,AABE,,Порфир,,ГОСТ 33031-2014,,,,,
,,,AABF,,Гнейс,,,,,,,
,,,AABG,,Базальт,,ГОСТ 33031-2014,,,,,
,,,AABH,,Диабаз,,ГОСТ 33031-2014,,,,,
,,,AABJ,,Алевролит,,ГОСТ 10175-75,,,,,
,,,AABK,,Каолинит,,"ГОСТ 19608-84
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,08.12.21.130.17.4.02.03-1000,,"Упоминается в качестве ""каолина обогащенного"""
,,,AABL,,Пемза,"Пористая, губчато-ноздревая, вулканическая горная порода с малым объемным весом и сравнительно большой твердостью. Цвет - белый, серый, желтый и черный ",ЕНиР Сборник Е2. Земляные работы,,,,,
,,,AABM,,Туф,"Сцементированные рыхлые продукты вулканических извержений и кремнистые или карбонатные породы пористого ячеистого сложения, образующиеся путем отложения материала из минеральных вод",ЕНиР Сборник Е2. Земляные работы,,,,,
,,,AABN,,Песчаник,Сцементированный песок. Прочность зависит главным образом от вида цемента,ЕНиР Сборник Е2. Земляные работы,,,,,
,,,AABP,,Ракушечник,"Известняк, состоящий из сцементированных раковин морских животных. Обладает большой пористостью, средней плотностью в естественном залегании и сравнительно небольшой твердостью","ЕНиР Сборник Е2. Земляные работы
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,Ракушечник молотый,23.70.12.110.13.2.02.01-0031,,
,,,AABQ,,Брекчия,"Осадочная горная порода, состоящая из сцементированного щебня. Чаще других встречаются известковый, кремнистый, железистый и глинистый цементы",ЕНиР Сборник Е2. Земляные работы,,,,,
,,,AABR,,Конгломерат,"Осадочная горная порода, состоящая из сцементированной гальки. Чаще других встречаются известковый, кремнистый, железистый и глинистый цементы",ЕНиР Сборник Е2. Земляные работы,,,,,
,,,AABS,,Бентонит,"Высокопластичная глина, состоящая из минерала монтмориллонита и обладающая высокой сорбционной способностью","ГОСТ Р 52918-2008
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,01.4.03.01,,
A,AA,,AABT,,Дунит,,"СП 43.13330.2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,17.4.05.03,,
A,AA,,AABU,,Хромит,,СП 43.13330.2012,,,,,
,AB,,,,Камень бутовый,"Куски камня (доломита, известняка или песчаника) неправильной формы, размером не более 500 мм по наибольшему измерению и массой до 50 кг","СТО НОСТРОЙ 2.29.107-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",По виду материала,,02.2.03.01,СТ 10 10 50 60,
,,ABA,,,Булыжник,Компонент осадочных пород диаметром от 64 до 256 мм,ГОСТ Р 53389-2009,По виду материала,,,,
,,ABB,,,Валун,Окатанные в различной степени обломки горных пород и минералов размером свыше 70 мм,ГОСТ 23735-2014,По виду материала,,,,
,AC,,,,"Щебень, гравий, галька",Неорганические сыпучие минеральные материалы,,По виду материала,,,"СТ 10 10 40
СТ 10 10 20
СТ 10 10 10",
,,ACA,,,Щебень андезитовый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),По виду материала,,02.2.05.03,,
,,ACB,,,Щебень из плотных горных пород,"Неорганический сыпучий каменный материал в виде зерен крупностью более 4 мм, получаемый дроблением и рассевом продуктов дробления горных пород, гравия и валунов, а также попутно добываемых пород или некондиционных отходов горных предприятий по переработке руд и неметаллических ископаемых других отраслей промышленности","ГОСТ 8267-93
ГОСТ 32703-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",По виду материала,,02.2.05.04,,
,,,,ACB010,Щебень гранитный,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,СТ 10 10 40 30,
,,,,ACB020,Щебень гравийный,"Неорганический зернистый сыпучий строительный материал, получаемый дроблением гравия и валунов и рассевом продуктов дробления ","ГОСТ 25137-82
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,СТ 10 10 40 20,
,,ACC,,,Щебень из пористых горных пород,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),По виду материала,,02.2.05.05,,
,,,,ACC010,Щебень известняковый,,,,,,,
,,ACD,,,Щебень черный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),По виду материала,,02.2.05.08,,
,,ACE,,,Щебень из природного камня декоративный,"Неорганический зернистый сыпучий строительный материал, получаемый дроблением скальных горных пород и рассевом продуктов дробления","ГОСТ 25137-82
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",По виду материала,,02.2.05.06,СТ 10 10 40 60,
,,ACF,,,Гравий из плотных горных пород,"Неорганический зернистый сыпучий строительный материал, получаемый рассевом природных гравийно-песчаных смесей","ГОСТ 25137-82
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",По виду материала,,02.2.01.02,,
,,,,ACF010,Гравий фракционированный,"Гравий, получаемый после обогащения путем разгрохотки карьерного гравийного материала с удалением зерен мельче 5 (3) мм и крупнее 70 (120) мм. Различают гравий по размерам зерен: 70-120 мм - очень крупный (галька); 40-70 мм - крупный; 20-40 мм - средний; 10-20 мм - мелкий",ОДМ 218.8.009-2017,,,,,
