Класс,Подкласс 1,Подкласс 2,"Тип
(%%)",Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,"Примеры компонентов по ISO
по ISO 81346-2:2019","Примеры компонентов (НТД РФ)
(НТД РФ)",IFC-entity,КСР,МССК,ПСК,Примечание,Синонимы
B__,,,,объект сбора и представления информации,объект для сбора и представления информации,ISO 81346-2:2019,Вид количества,,,,,,,,
,BA_,,,объект для измерения электрического потенциала,объект для измерения электрического потенциала,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,
,,BAA,,измерительный трансформатор напряжения,"объект для измерения электрического потенциала со скалярным выходом
-
Измерительный трансформатор, в котором, при рабочих условиях применения, вторичное напряжение практически пропорционально первичному и отличается от него углом фазового сдвига, который приблизительно равен нулю для соответствующего направления соединений",ГОСТ IEC 61869-3-2012,,"конденсатор связи
измерительный трансформатор напряжения",,IfcTransformer,,,,,
,,BAB,,реле напряжения,"объект индикации наличия электрического потенциала
-
Измерительное реле, характеристической величиной которого является напряжение.",ГОСТ IEC 60050-447-2014,,реле измерения напряжения,реле напряжения,"IfcSensor, IfcFlowInstrument","27.12.24.120.62.1.04.05-1000
27.12.24.120.62.1.04.05-1002
27.12.24.120.62.1.04.05-1004
27.12.24.120.62.1.04.05-1006
27.12.24.120.62.1.04.05-1008
27.12.24.120.62.1.04.05-1010
27.12.24.120.62.1.04.05-1012
27.12.24.120.62.1.04.05-1014
27.12.24.120.62.1.04.05-1016
27.12.24.120.62.1.04.05-1018
27.12.24.120.62.1.04.05-1020
27.12.24.120.62.1.04.05-1022",,,,
,BB_,,,объект для измерения сопротивления,объект для измерения удельного сопротивления или электропроводности,ISO 81346-2:2019,Вид потока и выходного сигнала,,,,,,,,
,,BBA,,датчик электрического сопротивления,объект для измерения удельного сопротивления электрического тока со скалярным выходом,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BBB,,детектор электрического сопротивления,объект индикации наличия удельного сопротивления электрического тока ,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,IfcSensor,,ЭЛ 40 55 20 17,,,
,,BBC,,датчик термического сопротивления,объект для измерения сопротивления теплового потока со скалярным выходом,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,IfcSensor,,ЭЛ 40 55 20 10,,,
,,BBD,,детектор термического сопротивления,объект индикации наличия сопротивления теплового потока,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,IfcSensor,,ЭЛ 40 55 20 17,,,
,BC_,,,объект для измерения электрического тока,объект для измерения электрического тока,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,
,,BCA,,трансформатор тока,"объект для измерения электрического тока со скалярным выходом
-
Измерительный трансформатор, в котором при рабочих условиях применения вторичный ток практически пропорционален первичному и отличается от него углом фазового сдвига, который приблизительно равен нулю для соответствующего направления соединений",ГОСТ IEC 60044-1-2013,,измерительный трансформатор тока,трансформатор тока,IfcTransformer,62.5.02.01,,,,
,,BCB,,реле тока,"объект индикации наличия электрического тока в цепи
-
Измерительное реле, характеристической величиной которого является электрический ток",ГОСТ IEC 60050-447-2014,,"электронное реле перегрузки, реле измерения тока, реле перегрузки",реле тока,IfcFlowInstrument,"62.1.04.04
62.1.04.09",,,,
,BD_,,,объект для измерения плотности,объект для измерения плотности,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,
