Класс,"Тип
(%%)",Наименование системы,Определение системы,Примеры системы/подсистемы,Источник,IFC,МССК,ПСК,Примечание
A,,Наземная система,"Наземная пространственная система, которая замыкает строительный объем снизу",,,IfcSystem,,,Пространственные системы зданий и сооружений
,A10,Основание,"Наземная система, обеспечивающая поддержку для других пространствообразующих функциональных систем",Основание (система),Федеральный закон от 30.12.2009 N 384-ФЗ,,,,
,A20,Фундамент,"Наземная система, служащая для передачи усилий на несущий грунт",Фундамент (система),ГОСТ Р ИСО 6707-1-2020,,CC 10 10,,
,A30,Дорожная система,Наземная система для обеспечения автомобильного транспортного потока,"Проезжая часть, тротуар",,IfcAllignment,,,
,A40,Обочина,"Элемент дороги, примыкающий непосредственно к проезжей части и предназначенный для обеспечения устойчивости земляного полотна, повышения безопасности дорожного движения, организации движения пешеходов и велосипедистов, а также использования при чрезвычайных ситуациях",Обочина укрепленная,ГОСТ 33475-2015,IfcAllignment,,,
,A50,Наземное искусственное покрытие,Наземная система для наземных видов деятельности кроме транспортных потоков,"Игровое поле, платформа",,,,,
,A60,Наземное растительное покрытие,Наземная система для озеленения,"Лесополоса, газон",,,,,
,A70,Земляное полотно железной дороги,"Инженерное грунтовое сооружение в виде насыпей, выемок, нулевых мест, полунасыпей, полувыемок и полунасыпей-полувыемок, служащее основанием для верхнего строения железнодорожного пути и воспринимающее нагрузку от верхнего строения пути и железнодорожного подвижного состава",Насыпь,ГОСТ 34530-2019   ,,,,
,A80,Земляное полотно автомобильной дороги,"Конструктивный элемент, служащий основанием для размещения дорожной одежды, а также технических средств организации дорожного движения и обустройства автомобильной дороги",,СП 78.13330.2012 ,,,,
B,,Стеновая система,"Пространственная система, которая формирует и разделяет пространство по вертикали",,,IfcBuildingSystem,"СС 10 20
СС 10 30",,Пространственные системы зданий и сооружений
,B10,Система наружных стен,"Стеновая система, формирующая внутреннее пространство строительного объекта",Фасадная система, СП 2.13130.2020,,,,
,B20,Система внутренних стен,Стеновая система для разделения внутреннего пространства строительного объекта,Система внутренних перегородок,,,,,
,B30,Система стен в грунте,Стеновая система в грунте,"Система стен подвала
Система террасных стен",,,,,
,B40,Система стен гидротехнических сооружений,Стеновая система в воде,Система причальных стен,,,,,
,B50,Система тоннельных стен,"Стеновая система, формирующая пространство тоннелей",Система стен тоннеля,,,,,
,B60,Опорная система,Стеновая система для обеспечения опирания других частей зданий и сооружений,Фундамент турбоагрегата,,,,,
C,,Система перекрытий,"Пространственная система, которая формирует и разделяет пространство по горизонтали",,,IfcBuildingSystem,"СС 10 20
СС 10 30",,Пространственные системы зданий и сооружений
,C10,Система внутренних перекрытий зданий и сооружений,Пространственная система для разделения внутреннего пространства по горизонтали,,,,,,
,C20,Система выступающих перекрытий зданий и сооружений,Пространственная система для формирования пространства выступающих частей зданий и сооружений,,,,,,
,C30,Система перекрытий пролетных строений,Пространственная система для формирования горизонтального пространства пролетных строений,Пролетное строение,СП 46.13330.2012,,,,
,C40,Система перекрытий причальных сооружений,Пространственная система для формирования горизонтального пространства причальных сооружений,,,,,,
D,,Система крыши,"Пространственная система, ограждающая здание сверху","Крыша (система)
Купол (система)","ГОСТ Р ИСО 6707-1-2020
СП 258.1311500.2016",IfcBuildingSystem,СС 10 40,,Инженерные системы зданий и сооружений
E,,Газовая и воздушная система,Инженерная система обеспечения техническими газами или техническим воздухом,,,IfcDistributionSystem,,,Инженерные системы зданий и сооружений
,E10,Система энергетического газа,Инженерная система обеспечения газом для получения энергии,Система газопотребления (газоснабжения) жилого здания,СП 402.1325800.2018,,CC 40 40,,
,E20,Система технологического газа,Инженерная система обеспечения газами для промышленного производства,Система приготовления кислорода и азота,,,,,
,E30,Система медицинского газа,Инженерная система обеспечения газом для медицинских нужд,Система медицинского газоснабжения,СП 158.13330.2014,,СС 50 10,,
,E40,Воздушная система,Инженерная система обеспечения воздухом,Система воздухоподачи,,,,,
,E50,Паровая система,Инженерная система обеспечения паром,Система паропроводов собственных нужд энергоблока,СП 373.1325800.2018,,,,
,E60,Вакуумная система,"Инженерная система для создания, повышения и поддержания вакуума",Система подачи вакуума,ГОСТ Р ИСО 7396-1-2011,,,,
F,,Водяная и жидкостная система,"Инженерная система обеспечения бытовой водой, технической водой, либо иной другой жидкостью",,,IfcDistributionSystem,,,Инженерные системы зданий и сооружений
,F10,Система хозяйственно-бытовой воды,Инженерная система обеспечения водой для хозяйственно-бытовых нужд,"Система горячего и холодного водоснабжения
Оросительная система","ГОСТ 34059-2017
ГОСТ 26967-86",,"СС 30 35 10 10
СС 30 35 10 50
CC 30 35 10 60",,
,F20,Система технической воды,Инженерная система обеспечения водой для технических нужд,Система технического водоснабжения,СО 34.21.308-2005,,СС 30 35 10 40,,
,F30,Система технологической жидкости,Инженерная система обеспечения технологическими жидкостями,Система подачи смазочно-охлаждающей жидкости,,,СС 30 35 10 30,,
,F40,Система топлива,Инженерная система обеспечения жидким топливом,Топливопровод,ГОСТ 15888-90 (ИСО 7876/1-84),,,,
G,,Система дренажа и удаления отходов,"Инженерная система обеспечения, предназначенная для отведения жидкости или утилизации отходов",,,IfcDistributionSystem,,,Инженерные системы зданий и сооружений
,G10,Система дренажа,"Инженерная система, предназначенная для отведения жидкости",Водоотвод (система),СП 17.13330.2017,,"СС 30 40
CC 40 30
CC 40 35",,
,G20,Система удаления отходов,"Инженерная система, предназначенная для утилизации отходов",Мусоропровод (система),СП 31-108-2002,,СС 30 45,,
H,,Система отопления и/или охлаждения,Инженерная система обеспечения теплом и/или холодом,,,IfcDistributionSystem,,,Инженерные системы зданий и сооружений
,H10,Система отопления,"Инженерная система, предназначенная для отопления пространств или оборудования",Система отопления помещений,ГОСТ Р 56501-2015,,CC 30 20 10,,
,H20,Система охлаждения,"Инженерная система, предназначенная для охлаждения пространств или оборудования",Система холодоснабжения,СП 60.13330.2020,,CC 30 15,,
,H30,Комбинированная система охлаждения и отопления,"Инженерная система, предназначенная для охлаждения и отопления пространств или оборудования",,,,,,
,H40,Климатическая система,"Инженерная система, обеспечивающая заданные климатические параметры воздуха",Система кондиционирования,,,CC 30 20 30,,
J,,Система вентиляции,"Инженерная система, обеспечивающая воздухообмен",,,IfcDistributionSystem,"CC 30 20 20
CC 30 20 25",,Инженерные системы зданий и сооружений
,J10,Система основной вентиляции,"Инженерная система, обеспечивающая воздухообмен в режиме нормальных условий эксплуатации",Внутридомовая система приточной вентиляции,ГОСТ Р 56501-2015,,CC 30 20 20,,
,J20,Система резервной вентиляции,"Система (вентилятор), предусматриваемая в дополнение к основным системам для автоматического ее включения при выходе из строя одной из основных систем",,СП 60.13330.2020,,,,
,J30,Система аварийной вентиляции,"Система для регулирования (управления) воздухообменом в помещении для обеспечения предотвращения увеличения до опасных значений концентраций горючих газов, паров и пыли при их внезапном поступлении в защищаемое помещение",,СП 60.13330.2020,,,,
,J40,Система специальной вентиляции,Система вентиляции специального назначения,,,,CC 30 20 25,,
K,,Система электроэнергии,Инженерная система обеспечения электроэнергией,,,IfcDistributionSystem,СС 30 50,,Инженерные системы зданий и сооружений
,K10,Система генерации электроэнергии,"Инженерная система обеспечения электроэнергией, предназначенная для генерации электрической энергии","Система генерирования электроэнергии
Система коллективной электрификации",ГОСТ Р 51237-98 ,,,,
,K20,Система распределения электроэнергии,"Инженерная система обеспечения электроэнергией, предназначенная для передачи и распределения электрической энергии",,,,"CC 30 50 20
CC 40 10",,
,K30,Система потребителей электроэнергии,"Инженерная система обеспечения электроэнергией, обеспечивающая потребителей электрической энергией",Система электрического питания для систем безопасности,ГОСТ 30331.1-2013,,CC 30 50 30,,
L,,Система автоматизации,"Инженерная система, предназначенная для контроля, управления и осуществления систематического наблюдения за техническими системами предприятия в контексте их функционирования",,,IfcDistributionSystem,,,Инженерные системы зданий и сооружений
M,,Информационная и коммуникационная система,Инженерная система обеспечения связи между людьми или отдельными техническими системами,,,IfcDistributionSystem,CC 40 45,,Инженерные системы зданий и сооружений
,M10,Система передачи данных,"Информационная и коммуникационная система, предназначенная для передачи данных",Локально-вычислительная сеть,ГОСТ Р 52551-2016,,,,
,M20,Система персональной связи,"Информационная и коммуникационная система, предназначенная для связи между людьми","Система телефонной связи
Система экстренной связи","ГОСТ 21704-76
СП 132.13330.2011",,,,
,M30,Система информирования,"Информационная и коммуникационная система, предназначенная для информирования",Система видеоизображения (спортивного сооружения),СП 332.1325800.2017,,,,
N,,Система транспортировки,"Инженерная система, обеспечивающая транспортировку людей или грузов","Конвейер
Эскалатор","ГОСТ 18501-73
ГОСТ Р ИСО 6707-1-2020",IfcBuildingSystem,,,Инженерные системы зданий и сооружений
P,,Система охраны и обеспечения безопасности,Инженерная система обеспечения защиты любого объекта от источников потенциальной опасности или возможных повреждений,,,IfcBuildingSystem,,,Инженерные системы зданий и сооружений
,P10,Система противопожарной защиты,"Комплекс организационных мероприятий и технических средств, направленных на защиту людей и имущества от воздействия опасных факторов пожара и (или) ограничение последствий воздействия опасных факторов пожара на объект защиты (продукцию)",,Федеральный закон от 04.06.2018 N 123-ФЗ,,,,
,P20,Система обеспечения охраны объектов,"Инженерная система, включающая комплекс технических средств, направленных на предотвращение несанкционированного проникновения","Система видеонаблюдения
Система контроля и управления доступом",ГОСТ Р 52551-2016,,,,
,P30,Система обеспечения персональной безопасности,"Инженерная система, включающая комплекс технических средств, направленных на предотвращение получения травм",,,,,,
,P40,Система электробезопасности,Инженерная система обеспечения защиты от поражения электрическим током,,,,"СС 30 60
СС 30 65",,
,P50,Система безопасности объекта промышленности и транспорта,Инженерная система обеспечения защиты промышленных и транспортных объектов от источников потенциальной опасности или возможных повреждений,,,,,,
Q,,Система освещения,"Инженерная система, предназначенная для управления уровнем освещения",,,IfcBuildingSystem,"СС 20
CC 40 15",,Инженерные системы зданий и сооружений
,Q10,Система основного освещения,"Инженерная система, предназначенная для управления уровнем освещения строительных объектов различного назначения в нормальных условиях эксплуатации",,,,,,
,Q20,Система аварийного освещения,"Освещение, предусматриваемое в случае выхода из строя питания рабочего освещения",Аварийное эвакуационное освещение,Федеральный закон от 30.12.2009 N 384-ФЗ,,СС 20 10 40,,
,Q30,Система резервного освещения,Вид системы аварийного освещения для продолжения работы в случае отключения рабочего освещения,,ГОСТ Р 55842-2013,,,,
,Q40,Система освещения специального назначения,"Инженерная система, предназначенная для управления уровнем освещения специального назначения","Аэродромный световой комплекс
Система охранного освещения",СП 132.13330.2011,,,,
R,,Железнодорожная система,"Инженерная система, обеспечивающая движение колесных транспортных средств по рельсовым путям",Железнодорожная рельсовая колея,ГОСТ 34530-2019   ,,,,Инженерные системы зданий и сооружений
S,,Система обустройства,"Функциональная система, предназначенная для оснащения строительного объекта и его помещений специализированным инвентарем и/или оборудованием","Мебель (система)
Объекты благоустройства (система)","ГОСТ Р 56195-2014
Федеральный закон №190-ФЗ от 29.12.2004 ГОСТ Р ИСО 6707-1-2020
ГОСТ Р 52766-2007",IfcBuildingSystem,,,Системы оснащения зданий и сооружений
T,,Система оснащения объектов транспорта,"Инженерная система, обеспечивающая сооружения оборудованием для контроля и управления транспортными потоками",,ГОСТ Р 56670-2015,,,,Системы оснащения зданий и сооружений
