Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы
A,,,,,,,Изделия для строительных конструкций,,,По виду строительной конструкции,,,,,,
,AA,,,,,,Элементы конструкций фундаментов,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.05,ЭЛ 10 10,,,
,,AAA,,,,,Элементы ленточных и столбчатых фундаментов,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,"ЭЛ 10 10 15
ЭЛ 10 10 20",,,
,,,AAAA,,,,Плита фундаментная прямоугольная плоская и трапецеидальная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.05.05,ЭЛ 10 10 25,,,
,,,AAAB,,,,Плита железобетонная ленточных фундаментов,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.05.04,ЭЛ 10 10 25,,,
,,,AAAC,,,,"Плита фундаментная ребристая, коробчатого сечения",,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ЭЛ 10 10 25,,,
,,,AAAD,,,,Блок бетонный для стен подвалов,"Бетонный блок, применяемый для устройства стен подвала или технического подполья здания","ГОСТ 13579-2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,05.2.02.01,,,,
,,,,,,AAAD010,Блок бетонный для стен подвала сплошной ФБС,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"05.2.02.01-0051
9.1.05.02-0052
9.1.05.02-0053
9.1.05.02-0054",,,,
,,,,,,AAAD020,Блок бетонный для стен подвала с вырезом для укладки перемычек и пропуска коммуникаций под потолками подвалов и технических подпольев ФБВ,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"05.2.02.01-0032
9.1.05.02-0055
9.1.05.02-0056
9.1.05.02-0057",ЭЛ 30 16 79,,,
,,,,,,AAAD030,Блок бетонный для стен подвала пустотный (с открытыми вниз пустотами) ФБП,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,05.2.02.01-0001,,,,
A,AA,,,,,AAAD040,Блок бетонный для стен подвала пустотный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"05.2.02.01-0062
9.1.05.02-0051",,,,
,,AAB,,,,,Элементы свайных фундаментов,"Элементы фундамента, в котором используются сваи","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"05.1.05
",,,Определение синтезировано,
,,,AABA,,,,Оголовок свайный,,"ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,,,,,
,,,AABB,,,,Ростверк железобетонный,"Строительная конструкция на оголовке одной или нескольких свай, которая передает усилия от конструкции на одну или несколько свай","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.05.07,"ЭЛ 10 10 55
ЭЛ 10 10 60",,,
