Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
A,,,,,Машины и механизмы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91,,
,AA,,,,Машины для земляных работ,"Самоходные машины на пневмоколёсном или гусеничном ходу,, предназначенные для профилирования земляных насыпей,, перемещения и разравнивания грунтов,, отделения горной массы от массива и её транспортирования","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Способ разработки грунта,,91.01,ТО 10,Определение синтезировано
,,AAA,,,Бульдозер,"Самоходная гусеничная или колесная землеройная машина с рабочим оборудованием, имеющая либо бульдозерное оборудование, которое срезает, перемещает и распределяет материал за счет движения машины вперед, либо дополнительное оборудование, используемое для реализации напорного или тягового усилия.","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Бульдозер гусеничный,91.01.01,ТО 10 60,Определение синтезировано
,,AAB,,,Грейдер,"Прицепная или самоходная машина для планировки и профилирования площадей и откосов, разравнивания и перемещения грунта, снега или сыпучих строительных материалов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Автогрейдер,91.01.02,ТО 18 50,Определение синтезировано
,,AAC,,,Скрепер,"Самоходная или прицепная гусеничная или колесная землеройная машина, имеющая ковш с режущей кромкой, расположенный между осями, который срезает, загружает, транспортирует, выгружает и распределяет материал при движении вперед","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Скрепер с ковшом самоходный
Скрепер прицепной",91.01.03,ТО 10 70,Определение синтезировано
,,AAD,,,Установка буровая,"Землеройный агрегат, размещаемый на базе тракторов и некоторых других видов спецтехники",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.01.04,,Определение синтезировано
,,AAE,,,Экскаватор,"Землеройная машина, оснащенная ковшом","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Экскаватор на гусеничном ходу
Экскаватор на пневмоколесном ходу
Экскаватор роторный",91.01.05,"ТО 10 10
ТО 10 20
ТО 10 30
ТО 10 40
ТО 10 50",Определение синтезировано
,AB,,,,Машины и агрегаты для свайных и шпунтовых работ,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Способ погружения конструкций в грунт,,91.02,ТО 22,
,,ABA,,,Вибропогружатель,"Вибрационная машина для погружения в грунт свай, шпунтов, труб и других элементов, а также для их извлечения из грунта вибрацией направленного действия, создаваемой парой дебалансов, работающих синхронно.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.02.01,,
,,ABB,,,"Копер, кроме плавучих","Строительная машина, предназначенная для подъёма, установки сваи на точку погружения, корректировки, погружения сваи в грунт (или извлечения) с помощью погружателя (или выдёргивателя)","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.02.02-011
91.02.02-012
91.02.02-013
91.02.02-014
91.02.02-015
","ТО 22 10
ТО 22 20",Определение синтезировано
