Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примеры,Примечания,Синонимы
A,,,,Пространство для пребывания людей,"Пространство, предназначенное для проживания человека и связанной с этим деятельности","IEC 81346-2(2019)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По функциональному назначению,ПЗ 30,,,Определение синтезировано,Помещения квартир
,AA,,,"Пространство для проживания, отдыха и ожидания","Пространство, предназначенное для проживания человека, отдыха и ожидания",Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,По функциональному назначению,ПЗ 30 10,,,Определение синтезировано,Жилые помещения
,,AAA,,Жилая комната,"Жилое помещение для постоянного проживания в квартирах, а также временного проживания в гостиницах, пансионатах, домах отдыха, кемпингах и других общественных зданиях временного пребывания.","СП 137.13330.2012
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 30 10 03
НД 02
НД 02 01
НД 02 01 10
НД 02 02
НД 02 02 10
НД 02 02 30
НД 02 02 50
",,,,"Жилая комната
Назначение помещений и зон жилых зданий:
Постоянное проживание,
Временное проживание,
Частная собственность,
Аппартаменты,
Социальный найм,
Доходный дом,
"
,,,AAA010,Гостиная,"Комната в квартире или гостиничном номере для отдыха, приема гостей, проведения досуга","Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 30 10 01,,,,Гостиная
,,,AAA020,Детская комната,"Комната, предназначенная для сна, отдыха и занятий детей дошкольного или школьного возраста","СП 54.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 30 10 02,,,Определение синтезировано,Детская
,,,AAA030,Спальня,"Комната в квартире или в другом жилище, место дома для сна и отдыха","СП 54.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 30 10 04,,,Определение синтезировано,Спальня
,,,AAA040,Комната в общежитии,Жилая комната в общежитии,СП 379.1325800.2020,,НД 02 02 40,,,Определение синтезировано,Общежитие
,,,AAA050,Спальное помещение,"Помещение, предназначенное для размещения и обеспечения режима пребывания детей в группах детского сада, школы, интерната и т.д.","СП 252.1325800.2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 32 13 05,,,,Спальное помещение
,,,AAA060,Комната временного приема,"Помещения временного приема для людей, оказавшихся в тяжелой жизненной ситуации",СП 142.13330.2012,,,,,,
,,,AAA070,Гостиничный номер,Помещение для размещения отдыхающих в здании гостиницы,СП 257.1325800.2020,,НД 02 02 20,,,,Гостиница
,,,AAA080,Келья,Отдельная комната монаха в монастыре,СП 391.1325800.2017,,,,,Определение синтезировано,
,,AAB,,Пространство для отдыха,"Пространство, предназначенное для отдыха человека",Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,"ПЗ 33 29 03
ПЗ 31 06 39",,,Определение синтезировано,Помещение дневного пребывания детей и взрослых (МССК)
,,,AAB010,Комната отдыха,"Помещение, предназначенное для отдыха посетителей учреждения","Трудовой кодекс Российской Федерации от 30.12.2001 N 197-ФЗ
",,,,,Определение синтезировано,
,,,AAB020,Помещение для отдыха персонала,"Помещение, предназначенное для отдыха сотрудников предприятия","Трудовой кодекс Российской Федерации от 30.12.2001 N 197-ФЗ
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"ПЗ 31 12 05
ПЗ 31 06 39",BEA,"Комната отдыха дежурной смены 
Помещение для отдыха личного состава конвоя
Комната отдыха поста ",,"Помещение отдыха персонала

Комната отдыха дежурного наряда (МССК)"
,,,AAB030,Комната психологической разгрузки,"Помещение, предназначенное для отдыха в рабочее время и психологической разгрузки работников ","Трудовой кодекс Российской Федерации от 30.12.2001 N 197-ФЗ
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,ПЗ 33 31 18,,,,Комната психологической разгрузки
,,,AAB040,Помещение для настольных игр и тихого отдыха,"Помещение, предназначенное для удовлетворения потребностей людей в общении и проведении свободного времени",СП 35-115-2004,,,,Помещение для любительских занятий,,
,,,AAB050,Помещение для фитопроцедур,"Помещение, предназначенное для процедур, основанных на целебном воздействии паров трав и эфирных масел на организм человека",СП 44.13330.2011,,,,,,
