Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
A,,,,,"Объекты сельского и лесного хозяйства, охоты, рыболовства и рыбоводства",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.,,,,
,AA,,,,Объекты животноводства,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,06.01.,ВН ПН 10 40,,,
,,AAA,,,Объекты коневодства и верблюдоводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.01.002.,,,,
,,,AAAA,,Здание (сооружение) объектов содержания лошадей (верблюдов),"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма)."," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 374.1325800.2018",,"Здание фермы мясного направления табунного содержания лошадей
Сооружение племенной фермы конюшенного содержания лошадей
Здание содержания маток с верблюжатами
Здание конюшни выжеребки кобыл",06.01.002.001,ВН ПН 10 40 15,,,
,,,AAAB,,Здание (сооружение) манежа,Специальное помещение для занятия конным спортом или производственных работ по коневодству в конном заводе. Вся площадь манежа не имеет колонн и перегородок.,СП 106.13330.2012,,Сооружение манежа для тренинга лошадей,06.05.005.008,,,,
,,,AAAC,,Здание (сооружение) вспомогательных объектов коневодства и верблюдоводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение шорной мастерской
Здание цеха приготовления шубата
Здание кумысного цеха","11.01.004.003
06.03.005.004",,,,
,,AAB,,,Объекты звероводства и кролиководства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.01.003.,,,,
,,,AABA,,Здание (сооружение) для содержания зверей (кроликов),"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма)."," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 374.1325800.2018
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Сооружение нутриеводческой фермы
Сооружение норковой фермы
Здание содержания основного стада нутрий и кроликов",06.01.003.001,"ВН ПН 10 40 35
ВН ПН 10 40 30",,,
,,,AABB,,Здание (сооружение) вспомогательных объектов звероводства и кролиководства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание кормового цеха
Здание цеха убоя зверей
Сооружение шеда содержания основного стада и молодняка","06.05.005.007
06.05.005.012
06.01.003.003",,,,
,,AAC,,,Объекты овцеводства и козоводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.01.004.,,,,
,,,AACA,,Здание (сооружение) объекта содержания овец и коз,"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма)."," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 374.1325800.2018",,"Здание фермы откорма каракульских маток (стойловое содержание)
Сооружение козоводческой фермы шерстного направления
Сооружение овчарни для ягнения","06.01.004.001 
06.05.005.004",ВН ПН 10 40 15,,,
,,,AACB,,Здание (сооружение) вспомогательных объектов овцеводства и козоводства,"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма)."," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 374.1325800.2018",,Здание цеха переработки козьего/овечьего молока на брынзу и сыр,06.03.005.004,,,,
,,AAD,,,"Объекты по выращиванию крупного рогатого скота, производству мяса, молока, выращиванию ремонтного молодняка",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.01.005.,,,,
,,,AADA,,Здание (сооружение) содержания крупного рогатого скота,"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма)."," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 374.1325800.2018",,"Здание для приемки телят
Здание буйволиного молодняка
Здание откорма молодняка крупного рогатого скота","06.05.005.010
06.01.005.002",ВН ПН 10 40 15,,,
,,,AADB,,"Здание (сооружение) вспомогательных объектов по выращиванию крупного рогатого скота, производству мяса, молока",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание карантина
Здание кормоприготовительного цеха
Здание кормосмесительного цеха","06.05.005.003
06.05.005.007",,,,
,,AAE,,,Объекты птицеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.01.006.,ВН ПН 10 40 25,,,
,,,AAEA,,Здание птицефабрики,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,"Здание птицефабрики, фермы откорма индюшат-бройлеров
Здание птицефабрики, фермы откорма утят-бройлеров
Здание птицефабрики, фермы откорма цыплят-бройлеров",06.01.006.002,ВН ПН 10 40 20,,,
,,,AAEB,,"Сооружение инкубатория, репродуктора, племенного цеха","Здания, предназначенные для размещения инкубаторов и проведения инкубации яиц сельскохозяйственной птицы. Сооружаются в составе птицеводческих ферм, птицефабрик, племенных заводов и инкубаторно-птицеводческих станций"," Приказ Минстроя России от 02.11.2022 N 928/пр 
Большая советская энциклопедия. — М.: Советская энциклопедия. 1969—1978",,"Сооружение племенного репродуктора
Здание инкубатория
Здание племенного цеха кур мясного и яичного направления","06.01.006.001
06.01.006.002",,,,
,,,AAEC,,Сооружение птичника,Помещение для содержания сельскохозяйственной птицы.," Приказ Минстроя России от 02.11.2022 N 928/пр 
СТО НОСТРОЙ 2.23.138-2013 ",,"Сооружение птичника взрослого поголовья кур клеточного содержания для племенных хозяйств
Сооружение птичника для фазанов родительского стада
Сооружение фазанария",06.01.006.002,,,,
,,,AAED,,Здание (сооружение) вспомогательных объектов птицеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха мойки и дезинфекции тары
Здание цеха переработки отходов птицеводства на мясокостную муку
Здание цеха производства бугорчатых прокладок для упаковки яиц","06.05.005.012
11.04.001.001
11.04.003.003.",,,,
,,AAF,,,Объекты пчеловодства,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Сооружение пчеловодческой фермы,06.01.007.001,ВН ПН 10 40 40,,,
,,AAG,,,Объекты свиноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.01.009.,,,,
,,,AAGA,,Здание (сооружение) объектов содержания свиней,"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма)."," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 374.1325800.2018",,"Здание фермы выращивания и откорма свиней
Сооружение свинарника - откормочника
Сооружение свинарника выращивания и откорма свиней",06.01.009.001,,,,
,,,AAGB,,Здание (сооружение) объектов племенного воспроизводства свиней,"Здание(сооружение) организации по племенному животноводству, которая осуществляет разведение племенных животных в целях обеспечения потребностей сельскохозяйственных товаропроизводителей"," Приказ Минстроя России от 02.11.2022 N 928/пр 
Федеральный закон от 03.08.1995 N 123-ФЗ",,"Здание племенного сектора воспроизводства и выращивания ремонтного молодняка
Здание репродуктора предприятия свиноводства
Здание свинарника контрольного откорма свиней","
06.01.009.001
06.01.009.002",,,,
,,,AAGC,,Здание (сооружение) вспомогательных объектов свиноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха законченного производственного цикла
Здание цеха переработки отходов свиноводства","06.05.001.004
06.05.005.012",,,,
,,AAH,,,Здание (сооружение) объектов шелкового производства,,Постановление Кабинета Министров СССР от 26.01.1991 N 10,,"Здание гренажного цеха
Сооружение червоводни выкормки гусениц тутового шелкопряда
Сооружение шелководни гусениц- мурашей тутового шелкопряда",06.01.099.099,,,,
,,AAJ,,,Здание (сооружение) вспомогательных объектов животноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание кузницы
Здание отгрузки животных
Здание приема и отгрузки скота","06.05.001.002
06.05.005.010",,,,
,AB,,,,Объекты ветеринарии и агробиологии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.01.001.,,,,
,,ABA,,,Здание (сооружение) объектов ветеринарного обслуживания,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание амбулатории ветеринарной станции
Здание ветеринарного лечебно­профилактического учреждения
Здание ветеринарной аптеки
Здание приюта для домашних животных","06.01.001.002
01.04.006.001
06.01.001.003","ВН НН 40 80
ВН НН 40 80 10
ВН НН 40 80 20
ВН НН 40 80 30
ВН НН 40 80 40",,,"Ветеринарный объект
Ветеринарная лечебница (клиника)
Ветеринарная лаборатория
Ветеринарная станция
Ветеринарный участок"
,,ABB,,,Агробиологическая станция,Научно-исследовательское и учебное учреждение, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание лаборатории по биологической борьбе с вредными насекомыми и болезнями сельскохозяйственных культур
Здание контрольно-семенной лаборатории","07.12.004.014 
06.05.004.007",,,Синтезированное определение,
,AC,,,,Объекты лесного хозяйства,,,По виду ОКС,,06.04.,,,,
,,ACA,,,Здание (сооружение) объектов лесоводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по переработке пищевых продуктов леса
Сооружение для стратификации лесных семян
Сооружение инсектария","06.04.002.008
06.04.002.005
06.04.002.007",,,,
,,ACB,,,Здание (сооружение) объектов лесопромышленных предприятий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание (сооружение) лесозаготовительного предприятия
Здание (сооружение) лесоперевалочной базы","06.04.003.004
06.04.003.005",,,,
,,ACC,,,Здание (сооружение) объектов ремонта техники лесной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание ремонтно-механической мастерской лесозаготовительной техники
Здание ремонтно-строительного цеха завода лесоводства и лесозаготовки
Здание центральной ремонтной мастерской для обслуживания и ремонта лесозаготовительной техники",06.05.002.003,,,,
,AD,,,,"Здание (сооружение) объектов производства пушнины, добытой в результате охоты",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,"Здание цеха первичной обработки шкур
Здание цеха производства пушнины",06.01.003.,,,,
,AE,,,,Объекты рыбоводного хозяйства,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,06.01.008.,ВН ПН 10 40 45,,,
,,AEA,,,Здание (сооружение) объектов выращивания морских видов рыб,,,,"Здание воспроизводственного комплекса для получения молоди морских растительноядных и других видов рыб
Здание рыбоводного цеха по выращиванию молоди дальневосточного лосося
Здание рыбоводного цеха по выращиванию покатников семги, атлантического лосося, каспийского лосося, стальноголового лосося, форели, чавычи, кижуча, нерки и симы","06.01.008.002
06.01.008.001",ВН ПН 10 40 45,,,
,,AEB,,,Здание (сооружение) объектов пресноводного рыбоводного хозяйства,,,,"Здание зимовального комплекса
Здание инкубационно-выростного цеха
Здание осетрового рыбоводного цеха","06.01.008.001
06.01.008.002",ВН ПН 10 40 45,,,
,,AEC,,,Здание (сооружение) рыбоводного хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,06.01.008.001,,,,
,,AED,,,Здание (сооружение) по подращиванию мальков,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,06.01.008.002,,,,
,AF,,,,Сооружения объектов мелиорации,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.02.,,,,
,,AFA,,,Сооружение инженерной инфраструктуры в мелиорации,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Подпорное гидротехническое сооружение мелиоративного гидроузла
Сбросное автоматическое сооружение
Сооружение водомерного лотка с гидрометрическим колодцем",06.02.001.002,,,,
,,AFB,,,"Сооружение системы орошения, осушения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Водозаборное сооружение при бесплотинном заборе
Водозаборное сооружение при водохранилищной плотине
Сооружение акведука",06.02.001.001,,,,
,AG,,,,Объекты растениеводства,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,06.04.002.,ВН ПН 10 50,,,
,,AGA,,,Здание (сооружение) объектов выращивания винограда,,,,"Здание корпуса виноградных прививок
Здание питомника и селекции винограда
Здание сушки винограда","06.04.002.001
06.04.002.003",,,,
,,AGB,,,Здание (сооружение) объектов выращивания хмеля,,,,"Здание питомника и селекции хмеля
Здание сортировки и первичной переработки хмеля","06.04.002.001
06.04.002.003",ВН ПН 10 50,,,
