Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,"Код по классификатору ОАО ""РЖД""",Примеры,Примечания
A,,,,,Комплексы ОКС сельского  хозяйства и пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,AA,,,,Животноводческие комплексы ОКС,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,AAA,,,Комплекс объектов коневодства (верблюдоводства),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,AAB,,,Комплекс объектов звероводства и кролиководства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,AAC,,,Комплекс объектов овцеводства и козоводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,AAD,,,"Комплекс объектов по выращиванию крупного рогатого скота, производству мяса, молока, выращиванию ремонтного молодняка",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,AAE,,,Комплекс объектов птицеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,AAF,,,Комплекс объектов пчеловодства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,AAG,,,Комплекс объектов свиноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,AAH,,,Комплекс объектов ветеринарии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,AAJ,,,Комплекс объектов рыбоводного хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,AB,,,,Комплексы ОКС мелиорации,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,ABA,,,"Комплекс объектов системы орошения, осушения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,AC,,,,"Комплексы ОКС растениеводства, лесной и деревообрабатывающей промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,ACA,,,Комплекс объектов растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,ACB,,,Комплекс тепличных (культивационных) объектов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,ACC,,,Комплекс объектов предприятий лесозаготовки и деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,AD,,,,Комплексы ОКС обеспечивающей и вспомогательной инфраструктуры отрасли сельского хозяйства и пищевой промышленности,,,По виду комплекса ОКС,,,
,,ADA,,,Комплекс  вспомогательных объектов животноводства,,,,,,
,,ADB,,,Комплекс  обеспечивающих объектов животноводства,,,,,,
,,ADC,,,Комплекс  вспомогательных объектов лесной и деревообрабатывающей промышленности,,,,,,
,,ADD,,,Комплекс вспомогательных объектов пищевой промышленности,,,,,,
,,ADE,,,Комплекс вспомогательных объектов растениеводства,,,,,,
,AE,,,,Комплексы ОКС пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,AEA,,,"Комплекс объектов производства мясной, рыбной, молочной и масложировой продукции",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,AEB,,,"Комплекс объектов производства готовых блюд, консервов и полуфабрикатов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,AEC,,,Комплекс объектов производства алкогольной и безалкогольной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,AED,,,Комплекс объектов производства бакалейной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,AEE,,,Комплекс объектов производства кормов и комбикормов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,AEF,,,Комплекс объектов производства хлебобулочной и кондитерской продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
B,,,,,Объекты добывающей промышленности и промышленности строительных материалов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,BA,,,,Комплексы ОКС добычи и переработки железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,BAA,,,Комплекс объектов добычи железных руд открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,BAB,,,Комплекс объектов добычи железных руд подземным способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,BAC,,,Комплекс объектов обогащения железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,BB,,,,Комплексы ОКС добычи и обогащения руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,BBA,,,Комплекс объектов добычи руд цветных металлов открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,BBB,,,Комплекс объектов добычи руд цветных металлов подземным способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,BBC,,,Комплекс объектов обогащения руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,BC,,,,Комплексы ОКС добычи и переработки прочих полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,BCA,,,Комплексы ОКС добычи прочих полезных ископаемых подземным способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,BCB,,,Комплексы ОКС добычи прочих полезных ископаемых открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,BCC,,,Комплексы ОКС обогащения прочих полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,BD,,,,Комплексы ОКС добычи природного газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
