classifier,code,index,name,type
ksi,RZo,ПЗо,зона; помещение;,Результат
ksi,CCo,КОС,комплекс объектов капитального строительства,Результат
ksi,CEn,ОКС,объект капитального строительства,Результат
ksi,FnS,ФнС,функциональная система,Результат
ksi,TeS,ТхС,техническая система,Результат
ksi,Com,Ком,компонент,Результат
ksi,Mng,УПр,управление,Процесс
ksi,LCS,СЖЦ,стадия жизненного цикла объектов капитального строительства,Процесс
ksi,PER,ПИИ,процесс инженерных изысканий,Процесс
ksi,PDe,ППр,процесс проектирования,Процесс
ksi,PCo,ПСт,процесс строительства,Процесс
ksi,PMn,ПЭк,процесс эксплуатации,Процесс
ksi,PRe,ПРк,процесс реконструкции,Процесс
ksi,PRf,ПКР,процесс ремонта,Процесс
ksi,PUt,ПСЗ,процесс сноса здания или сооружения,Процесс
ksi,CPr,СтИ,строительное изделие,Ресурс
ksi,CMa,СтМ,строительный материал,Ресурс
ksi,ARe,ВсР,вспомогательный ресурс,Ресурс
ksi,Hre,ТрР,трудовой ресурс,Ресурс
ksi,Inf,Инф,информация,Ресурс
ksi,Prp,Хрк,характеристика,Характеристики
