Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы,УИН
A,,,,,"Объекты сельского  хозяйства, пищевой промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.,,,,,KSI030000002
,AA,,,,Объекты животноводства,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,06.01.,ВН ПН 10 40,,,,KSI030000003
,,AAA,,,Объекты коневодческих и верблюдоводческих предприятий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,"BH__0011
",06.01.002.,,,,,KSI030000004
,,,AAAA,,Здание (сооружение) конюшни,"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма)."," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 374.1325800.2018",,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.002.001,ВН ПН 10 40 15,,,,KSI030000005
,,,AAAB,,Здание (сооружение) содержания молодняка коневодческих и верблюдоводческих предприятий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.002.002,,,,,KSI030001046
,,AAB,,,Объекты предприятий звероводства и кролиководства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,06.01.003.,,,,,KSI030000008
,,,AABA,,Здание содержания пушных зверей,"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма)."," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 374.1325800.2018",,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.003.001,"ВН ПН 10 40 35
ВН ПН 10 40 30",,,,KSI030000009
,,,AABB,,Здание цеха производства пушнины,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.003.002,,,,,KSI030001047
,,,AABC,,Сооружение шеда,"Навес с двухскатной крышей, под которым находятся ряды клеток для пушных зверей, кроликов, нутрий, с продольным(и) и поперечным(и) проходом(ами), огороженный под клетками и над клетками металлической сеткой; торцевые сплошные стены, оборудованы сетчатой дверью.","Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 106.13330.2012",,"BH__0011
BPG_0005 
XPG_0003 
",06.01.003.003,,,,,KSI030001048
,,AAC,,,Объекты предприятий овцеводства и козоводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,"BH__0011
 ",06.01.004.,,,,,KSI030000011
,,,AACA,,"Здание (сооружение) для содержания коз, овец",," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 374.1325800.2018",,"BQ__0005
BPG_0005
BQ__0001
BH__0011 
",06.01.004.001 ,ВН ПН 10 40 15,,,,KSI030000012
,,,AACB,,"Здание (сооружение) содержания молодняка коз, овец",," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 374.1325800.2018",,"BQ__0005
BPG_0005
BQ__0001
BH__0011 
",06.01.004.002,,,,,KSI030001049
