Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
A,,,,,Природные минеральные материалы и материалы на их основе,,,По виду материала,,,,,,KSI170000002
,AA,,,,Горные породы,Устойчивая по составу и строению природная ассоциация одного или нескольких минералов или минеральных агрегатов,ГОСТ Р 50544-93,По виду материала,,,,,,KSI170000003
,,AAA,,,Мономинеральные горные породы,,ГОСТ 30629-2011,По виду материала,,,,"Термин указан в определении горной породы как ""мономинеральный агрегат""",,KSI170000004
,,,AAAA,,Известняк,,"ГОСТ 23671-2020
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,," 13.1.03 
59.1.03.01",СТ 10 10 50 40,,,KSI170000005
,,,,AAAA010,Мел,"Разновидность слабоцементированной мажущейся тонкозернистой карбонатной породы, состоящей в основном из карбоната кальция природного происхождения или полученного искусственным путем.","ГОСТ 17498-72
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Мел комовый
Мел молотый",01.7.08.04,"СТ 10 09 20 30
СТ 10 09 20 40",,,KSI170000006
,,,AAAB,,Мрамор,,"ГОСТ 23259-78
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Мрамор колотый,"13.1.01.01
",СТ 10 10 50 70,,,KSI170000007
,,,AAAC,,Гипс,Гидрат сульфата кальция. Используется для изготовления вяжущих веществ,"ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,03.01.01,СТ 10 10 50 20,,,KSI170000008
,,,AAAD,,Ангидрит,"Безводный сульфат кальция. Обладает разнообразной структурой - зернистой, шерстоватой, волокнистой. Окраска - бесцветная или белая, на плоскостях спайкости - стеклянный блеск, реже - перламутровый. На воздухе в результате поглощения воды переходит в гипс с увеличением объема до 60%","ЕНиР Сборник Е2. Земляные работы
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 10 50 10,,,KSI170000009
,,,AAAE,,Лабрадорит,,ГОСТ 30629-2011,,,,,,,KSI170000010
,,,AAAF,,Графит,"Природный или техногенный материал, состоящий из углерода кристаллического слоистого строения","ГОСТ Р 52918-2008
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.3.05.10,,,,KSI170000011
,,,AAAG,,Кварц,,"ГОСТ 9077-82
Приказ Минстроя России от 17.11.2022 N 969/пр",,"Кварц искусственный
Кварц молотый пылевидный",01.3.05.38,,,,KSI170000012
,,,,AAAG010,Кварцит,,СП 43.13330.2012,,,13.2.01.01,,,,KSI170000013
,,,AAAH,,Тальк,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.07.20,,,,KSI170000014
,,,AAAJ,,Уголь каменный,"Уголь средней стадии метаморфизма с показателем отражения витринита от 0,40% до 2,59% при условии, что высшая теплота сгорания (на влажное беззольное состояние) равна или выше 24 МДж/кг, а выход летучих веществ (на сухое беззольное состояние угля) равен 8% и более
","ГОСТ 17070-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.7.07.22,,"В некоторых странах каменные угли, образующие в результате необратимых физико-химических превращений при нагревании без доступа воздуха пластическую массу, называют битуминозными. Угли, имеющие стадию метаморфизма ниже битуминозных, но не образующие при нагревании без доступа воздуха пластическую массу, называют суббитуминозными углями. ",,KSI170000015
,,AAB,,,Полиминеральные горные породы,,ГОСТ 30629-2011,По виду материала,,,,"Термин указан в определении горной породы как ""полиминеральный агрегат""",,KSI170000016
,,,AABA,,Гранит,,"ГОСТ 33031-2014
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Гранит-амфиболит черный, плитняк, необработанный, фракция 20-30 мм",02.1.01.02,СТ 10 10 50 30,,,KSI170000017
,,,AABB,,Сиенит,,,,,,,,,KSI170000018
,,,AABC,,Диорит,,ГОСТ 33031-2014,,,,,,,KSI170000019
,,,AABD,,Габбро,,ГОСТ 33031-2014,,,,,,,KSI170000020
,,,AABE,,Порфир,,ГОСТ 33031-2014,,,,,,,KSI170000021
,,,AABF,,Гнейс,,,,,,,,,KSI170000022
,,,AABG,,Базальт,,ГОСТ 33031-2014,,,,,,,KSI170000023
,,,AABH,,Диабаз,,ГОСТ 33031-2014,,,,,,,KSI170000024
,,,AABJ,,Алевролит,,ГОСТ 10175-75,,,,,,,KSI170000025
,,,AABK,,Каолинит,,"ГОСТ 19608-84
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,"Упоминается в качестве ""каолина обогащенного""",,KSI170000026
