Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы,УИН
A,,,,,,,Изделия для строительных конструкций,,,По виду строительной конструкции,,,,,,,KSI160000002
,AA,,,,,,Элементы конструкций фундаментов,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.05,ЭЛ 10 10,,,,KSI160000003
,,AAA,,,,,Элементы ленточных и столбчатых фундаментов,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,05.1.05.04,"ЭЛ 10 10 15
ЭЛ 10 10 20",,,,KSI160000004
,,,AAAA,,,,Плита фундаментная прямоугольная плоская и трапецеидальная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.05.05,ЭЛ 10 10 25,,,,KSI160000005
,,,AAAB,,,,Плита железобетонная ленточных фундаментов,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.05.04,ЭЛ 10 10 25,,,,KSI160000006
,,,AAAC,,,,"Плита фундаментная ребристая, коробчатого сечения",,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.05.05,ЭЛ 10 10 25,,,,KSI160000007
,,,AAAD,,,,Блок бетонный для стен подвалов,"Бетонный блок, применяемый для устройства стен подвала или технического подполья здания","ГОСТ 13579-2018
Приказ Минстроя России от 17.11.2022 N 969/пр",,,05.2.02.01,,,,,KSI160000008
,,,,,,AAAD010,Блок бетонный для стен подвала сплошной ФБС,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"05.2.02.01
",,,,,KSI160000009
,,,,,,AAAD020,Блок бетонный для стен подвала с вырезом для укладки перемычек и пропуска коммуникаций под потолками подвалов и технических подпольев ФБВ,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"05.2.02.01
",ЭЛ 30 16 79,,,,KSI160000010
,,,,,,AAAD030,Блок бетонный для стен подвала пустотный (с открытыми вниз пустотами) ФБП,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"05.2.02.01
",,,,,KSI160000011
,,,,,,AAAD040,Блок бетонный для стен подвала пустотный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"05.2.02.01
",,,,,KSI160000012
,,AAB,,,,,Элементы свайных фундаментов,"Элементы фундамента, в котором используются сваи","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"05.1.05
",,,Определение синтезировано,,KSI160000013
,,,AABA,,,,Оголовок свайный,,"ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"05.1.05
",,,,,KSI160000014
,,,AABB,,,,Ростверк железобетонный,"Строительная конструкция на оголовке одной или нескольких свай, которая передает усилия от конструкции на одну или несколько свай","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.05.07,"ЭЛ 10 10 55
ЭЛ 10 10 60",,,,KSI160000015
,,,AABC,,,,Свая,"Гибкий конструктивный элемент, большей частью подземный, предназначенный для передачи усилий на несущее основание ниже поверхности грунта","ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"05.1.05.09
05.1.05.10
05.1.05.11
05.1.05.12
08.1.02.16
05.1.05.16",ЭЛ 10 10 10,,,,KSI160000016
,,,,,,AABC010,Свая мостовая,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000017
