Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания,Синонимы,УИН
A,,,,,Служащий,"Работники, которые по характеру своей деятельности действуют в соответствии с принятыми в компании стандартами, правилами и процедурами, регламентами, методиками выполнения того или иного вида работ, обеспечивающие и обслуживающие деятельность руководителей при выработке и реализации ими управленческих решений, выполняющие административно-управленческие функции",Постановление Минтруда России от 21.08.1998 N 37,По группе должностей,,,,,KSI190000002
,AA,,,,Руководитель,"Человек, в трудовые функции которого входит участие в системе управления и в подчинении которого находятся один или более работников, работающих или иных физических лиц",Постановление Минтруда России от 21.08.1998 N 37,По должности,,,,,KSI190000003
,,AAA,,,Директор организации,,,,,,,,KSI190000004
,,,,AAA010,Генеральный директор,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20560,,,,KSI190000005
,,,,AAA020,Директор,,Постановление Госстандарта РФ от 26.12.1994 N 367,,21447,"Управляющий директор
Финансовый директор
Директор по персоналу
Директор по науке",,,KSI190000006
,,AAB,,,Главный бухгалтер,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20656,,,,KSI190000007
,,AAC,,,Главный градостроитель,,Приказ Минздравсоцразвития России от 23.04.2008 N 188,,,,,,KSI190000008
,,,,AAC010,"Главный градостроитель (субъекта Российской Федерации, муниципального образования)",,Приказ Минздравсоцразвития России от 23.04.2008 N 188,,,,,,KSI190000009
,,,,AAC020,Главный градостроитель в организации,,Приказ Минздравсоцразвития России от 23.04.2008 N 188,,,,,,KSI190000010
,,,,AAC030,Главный градостроитель проекта,,Приказ Минздравсоцразвития России от 23.04.2008 N 188 ,,,,,,KSI190000011
,,AAD,,,Главный архитектор,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20638,,,,KSI190000012
,,,,AAD010,Главный ландшафтный архитектор проекта,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20798,,,,KSI190000013
,,,,AAD020,Главный архитектор проекта,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20641,,,,KSI190000014
,,AAE,,,Заведующий,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000015
,,,,AAE010,Заведующий конструкторским отделом,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000016
,,,,AAE020,Заведующий отделом (бюро) оформления проектных материалов,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000017
,,,,AAE030,Заведующий чертежно-копировальным бюро,,Постановление Госстандарта РФ от 26.12.1994 N 367,,21924,,,,KSI190000018
,,AAF,,,Начальник,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000019
,,,,AAF010,Начальник отдела,,Постановление Госстандарта РФ от 26.12.1994 N 367,,24681,"Начальник юридического отдела
Начальник отдела кадров
Начальник отдела капитального строительства
Начальник отдела автоматизации и механизации производственных процессов
Начальник отдела комплектации оборудования
Начальник отдела контроля качества
Начальник производственно-технического отдела
Начальник отдела дорожных сооружений
Начальник отдела имущественных отношений
Начальник отдела организации работ по безопасности дорожного движения
Начальник отдела организации работ по содержанию и сохранности автомобильных дорог
Начальник отдела подготовки строительства
Начальник отдела развития и ремонта автомобильных дорог
Начальник отдела размещения государственных заказов
Начальник отдела изысканий (комплексного или по видам изысканий)",,,KSI190000020
,,,,AAF020,Начальник сектора (лаборатории),,Постановление Госстандарта РФ от 26.12.1994 N 367,,24597,,,,KSI190000021
,,,,AAF030,Начальник службы,,Постановление Госстандарта РФ от 26.12.1994 N 367,,24923,Начальник службы качества строительной лаборатории,,,KSI190000022
,,,,AAF040,Начальник участка,,Постановление Госстандарта РФ от 26.12.1994 N 367,,25081,,,,KSI190000023
,,AAG,,,Руководитель группы специалистов,,Постановление Госстандарта РФ от 26.12.1994 N 367,,26151,,,,KSI190000024
,,,,AAG010,Руководитель группы по инвентаризации строений и сооружений,,Постановление Госстандарта РФ от 26.12.1994 N 367,,26154,,,,KSI190000025
,,,,AAG020,Руководитель строительной лаборатории,,Постановление Госстандарта РФ от 26.12.1994 N 367,,44490,,,,KSI190000026
,,,,AAG030,Руководитель экспертной группы,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000027
,,,,AAG040,Руководитель проектной группы,,Постановление Госстандарта РФ от 26.12.1994 N 367,,44490,,,,KSI190000028
,,AAH,,,Главный инженер,,Постановление Госстандарта РФ от 26.12.1994 N 367,,40759,,,,KSI190000029
,,,,AAH010,Главный инженер строительной организации,,Приказ Минздравсоцразвития России от 23.04.2008 N 188,,,,,,KSI190000030
,,,,AAH020,Главный инженер проекта,"Первый заместитель управляющего проектом, который осуществляет связь инвестиционного строительного проекта (ИСП) с рынком проектных и инженерных услуг и с органами экспертизы, надзора и контроля хода реализации ИСП","Постановление Минтруда России от 21.08.1998 N 37
Приказ Минздравсоцразвития России от 23.04.2008 N 188
Постановление Госстандарта РФ от 26.12.1994 N 367",,20760,,Определение синтезировано,,KSI190000031
,,AAJ,,,BIM-менеджер,"Лицо, ответственное за процесс информационного моделирования в рамках проекта информационного моделирования",Приказ Минтруда России от 15.06.2020 N 328н ,,,,Определение синтезировано,,KSI190000032
,,AAK,,,BIM-координатор,"Специалист ведущего отдела, отвечающий за BIM-модель и общую координацию проекта",Приказ Минтруда России от 15.06.2020 N 328н ,,,,Определение синтезировано,,KSI190000033
,,AAL,,,Менеджер строительства,,"Постановление Госстандарта РФ от 26.12.1994 N 367
Приказ Минтруда России от 24.07.2018 N 483н ",,24050,,,,KSI190000034
,,AAM,,,Менеджер проекта,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000035
