Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Управленческая группа,Примеры,Код по классификатору МССК,Примечание,Синонимы,УИН
A,,,,Управление проектом,"Предметная группа процессов управления, охватывающая процессы, необходимые для соответствующей координации между различными элементами проекта и включающая процессы, необходимые для выявления, определения, комбинирования, объединения, координации, контроля и завершения различных процессов и работ, связанных с проектом","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО 9000-2015
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р 54869-2011",По виду процесса,,,,Сформулировано на основании результата анализа источников,,KSI070000002
,AA,,,Разработка Устава проекта,"Процесс разработки документа, который формально авторизует существование проекта и определяет его ключевые параметры",ГОСТ Р ИСО 21500-2023,По предметной группе,Инициирование,,,Сформулировано на основании результата анализа источников,,KSI070000003
,,AAA,,Определение задач проекта,"Процесс определения, согласования и документирования ключевых результатов, которые должны быть достигнуты в ходе реализации проекта",ГОСТ Р ИСО 9001-2015,,Инициирование,,,Сформулировано на основании результата анализа источников,,KSI070000004
,,AAB,,Определение верхнеуровневой организационной структуры проекта,"Процесс определения, согласования и документирования верхнеуровневой организационной структуры проекта, адаптированной к его потребностям, включающий определение ключевых ролей персонала проекта, их прав и обязанностей",ГОСТ Р ИСО/МЭК ТО 16326-2002,,Инициирование,,,Сформулировано на основании результата анализа источников,,KSI070000005
,,AAC,,Определение требований и целей проекта,"Процесс определения, согласования и документирования ключевых и верхнеуровневых требований и целей проекта, ради которых проект инициируется","ГОСТ Р 54869-2011
ГОСТ Р ИСО 9001-2015",,Инициирование,,,Сформулировано на основании результата анализа источников,,KSI070000006
,,AAD,,Определение рисков проекта,"Процесс определения, согласования и документирования ключевых и верхнеуровневых рисков и преимуществ проекта",ГОСТ Р ИСО 9001-2015,,Инициирование,,,Сформулировано на основании результата анализа источников,,KSI070000007
,,AAE,,Определение политики и методов управления проектом,"Процесс определения, согласования и документирования политики и методов управления проектом",ГОСТ Р ИСО 9000-2015,,Инициирование,,,Сформулировано на основании результата анализа источников,,KSI070000008
,AB,,,Разработка модели управления жизненным циклом проекта,"Процесс разработки структурной основы процессов и действий, относящихся к жизненному циклу, которая также служит в качестве общего эталона для установления связей и понимания элементов проекта","ГОСТ Р 57193-2016
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р ИСО 21500-2023",По предметной группе,Инициирование,,,Сформулировано на основании результата анализа источников,,KSI070000009
,,ABA,,Определение политики управления жизненным циклом проекта,"Процесс определения, согласования и документирования политики управления жизненным циклом проекта",ГОСТ Р 57193-2016,,Инициирование,,,Сформулировано на основании результата анализа источников,,KSI070000010
,,ABB,,Определение процедур в жизненном цикле проекта,"Процесс определения, согласования и документирования типов и видов процедур в жизненном цикле проекта",ГОСТ Р 57193-2016,,Инициирование,,,Сформулировано на основании результата анализа источников,,KSI070000011
,,ABC,,Разработка модели жизненного цикла проекта,Процесс создания модели жизненного цикла проекта,ГОСТ Р 57193-2016,,Инициирование,,,Сформулировано на основании результата анализа источников,,KSI070000012
,,ABD,,Определение способов оценки процессов жизненного цикла проекта,"Процесс определения, согласования и документирования способов оценки процессов жизненного цикла проекта",ГОСТ Р 57193-2016,,Инициирование,,,Сформулировано на основании результата анализа источников,,KSI070000013
,,ABE,,Определение политики улучшения процессов жизненного цикла проекта,"Процесс определения, согласования и документирования политики улучшения процессов жизненного цикла проекта",ГОСТ Р 57193-2016,,Инициирование,,,Сформулировано на основании результата анализа источников,,KSI070000014
,AC,,,Разработка планов проекта,"Процесс разработки ключевых и верхнеуровневых планов проекта, определяющих основные работы по проекту, ресурсы и сроки выполнения работ, их стоимость и ограничения","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002",По предметной группе,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000015
,,ACA,,Определение основных видов работ проекта,"Процесс определения, согласования и документирования перечня основных видов работ проекта, необходимых для достижения целей проекта",ГОСТ Р ИСО 21500-2023,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000016
,,ACB,,Определение сроков выполнения основных видов работ проекта,"Процесс определения, согласования и документирования сроков выполнения основных видов работ проекта, необходимых для достижения целей проекта",ГОСТ Р ИСО 21500-2023,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000017
,,ACC,,Определение основных ресурсов для выполнения работ проекта,"Процесс определения, согласования и документирования ресурсов для выполнения основных видов работ проекта, необходимых для достижения целей проекта",ГОСТ Р ИСО 21500-2023,,Планирование,,,Сформулировано на основании результата анализа источников,,KSI070000018
,AD,,,Руководство проектной деятельностью,"Процесс руководства проектной деятельностью и исполнением работ в соответствии с тем, как это определено в планах, для получения утвержденных результатов проекта","ГОСТ Р ИСО 21500-2023
ГОСТ Р ИСО/МЭК ТО 16326-2002
ГОСТ Р 57193-2016",По предметной группе,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000019
,,ADA,,Применение соответствующей инфраструктуры и среды в проекте,Процесс использования соответствующей инфраструктуры и среды в проекте для получения утвержденных результатов проекта,ГОСТ Р ИСО 9001-2015,,Исполнение,,,Сформулировано на основании результата анализа источников,,KSI070000020
