Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечание,Синонимы,УИН
A,,,,,,,Земляные и горные работы,,ГЭСН 2020,по виду работ,,,Синтезировано путем объединения нескольких таблиц ГЭСН,,KSI110000002
,AA,,,,,,Земляные работы,,ГЭСН 81-02-01-2020 ,по виду работ,,ГЭСН 81-02-01-2020,,,KSI110000003
,,AAA,,,,,Механизированная разработка грунтов (в том числе вечномерзлых),,ГЭСН 81-02-01-2020 ,по способу производства работ,,,,,KSI110000004
,,,AAAA,,,,Разработка грунта механизированным способом,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-001
ГЭСН 01-01-002 
ГЭСН 01-01-003 
ГЭСН 01-01-004 
ГЭСН 01-01-005 
ГЭСН 01-01-006
ГЭСН 01-01-007 
ГЭСН 01-01-008 
ГЭСН 01-01-009 
ГЭСН 01-01-010 
ГЭСН 01-01-011 
ГЭСН 01-01-012 
ГЭСН 01-01-013 
ГЭСН 01-01-014 
ГЭСН 01-01-015 
ГЭСН 01-01-016 
ГЭСН 01-01-017 
ГЭСН 01-01-018 
ГЭСН 01-01-019 
ГЭСН 01-01-020 
ГЭСН 01-01-021 
ГЭСН 01-01-022
ГЭСН 01-01-023
ГЭСН 01-01-024
ГЭСН 01-01-030
ГЭСН 01-01-031
ГЭСН 01-01-032
ГЭСН 01-01-033
ГЭСН 01-01-034
ГЭСН 01-01-035
ГЭСН 01-01-036
ГЭСН 01-01-037 ",,,KSI110000005
,,,,AAAAA,,,Разработка вечномерзлых грунтов в котлованах,,ГЭСН 81-02-01-2020,,,"ГЭСН 01-03-001 
ГЭСН 01-03-002
ГЭСН 01-03-003
ГЭСН 01-03-004
ГЭСН 01-03-010 
ГЭСН 01-03-011
ГЭСН 01-03-012
ГЭСН 01-03-013
ГЭСН 01-03-021 
ГЭСН 01-03-022
ГЭСН 01-03-028 
ГЭСН 01-03-029
ГЭСН 01-03-030 ",,,KSI110000006
,,,,AAAAB,,,Разработка вечномерзлых грунтов в траншеях,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-001 
ГЭСН 01-03-002
ГЭСН 01-03-003
ГЭСН 01-03-004
ГЭСН 01-03-010 
ГЭСН 01-03-011
ГЭСН 01-03-012
ГЭСН 01-03-013
ГЭСН 01-03-021 
ГЭСН 01-03-022
ГЭСН 01-03-028 
ГЭСН 01-03-029
ГЭСН 01-03-030",,,KSI110000007
,,,,AAAAC,,,Разработка вечномерзлых грунтов с разрыхлением грунта,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-078 ,,,KSI110000008
,,,,AAAAD,,,Разработка предварительно разрыхленного вечномерзлого грунта,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-03-070 ,,,KSI110000009
,,,,AAAAE,,,Разработка вечномерзлых грунтов в отвал,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-001
ГЭСН 01-03-002
ГЭСН 01-03-003
ГЭСН 01-03-004 ",,,KSI110000010
,,,,AAAAF,,,Разработка грунта 2 группы,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-144
ГЭСН 01-01-145",,,KSI110000011
,,,,AAAAG,,,Разработка грунта в каналах,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-148,,,KSI110000012
,,,,AAAAH,,,Рыхление вечномерзлых грунтов в отвал,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-001
ГЭСН 01-03-002
ГЭСН 01-03-003
ГЭСН 01-03-004 ",,,KSI110000013
,,,,AAAAJ,,,Бурение отверстий в скальном грунте,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-071 ,,,KSI110000014
,,,,AAAAK,,,Разборка скального грунта,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-072 ,,,KSI110000015
,,,,AAAAL,,,Канатная алмазная резка скального грунта,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-073 ,,,KSI110000016
,,,,AAAAM,,,Рыхление скального грунта,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-094 ,,,KSI110000017
,,,AAAB,,,,Разработка выемок,,ГЭСН 81-02-01-2020 ,по виду работ,,,,,KSI110000018
,,,,AAABA,,,Разработка выемок с отсыпкой грунта в кавальеры,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-042
ГЭСН 01-01-043",,,KSI110000019
,,,,AAABB,,,Устройство сливной призмы и кюветов в выемках,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-047,,,KSI110000020
,,,,AAABC,,,Срезка недобора грунта в выемках,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-049,,,KSI110000021
,,,,AAABD,,,Рыхление выемок в вечномерзлых грунтах с отсыпкой грунта в кавальеры,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-03-040 ,,,KSI110000022
,,,,AAABE,,,Разработка выемок в вечномерзлых грунтах с отсыпкой грунта в кавальеры,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-03-040 ,,,KSI110000023
,,,AAAC,,,,Отсыпка насыпей,,ГЭСН 81-02-01-2020 ,по виду работ,,,,,KSI110000024
,,,,AAACA,,,Устройство дорожных насыпей,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-045
ГЭСН 01-01-046",,,KSI110000025
,,,,AAACB,,,Возведение насыпей из резервов,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-044,,,KSI110000026
,,,AAAD,,,,Рытье траншей,,ГЭСН 81-02-01-2020 ,по виду работ,,"ГЭСН 01-01-055
ГЭСН 01-01-056
ГЭСН 01-01-057
ГЭСН 01-01-058
ГЭСН 01-01-059
ГЭСН 01-01-060
ГЭСН 01-01-061
ГЭСН 01-01-062
ГЭСН 01-01-063
ГЭСН 01-01-064
ГЭСН 01-01-065
ГЭСН 01-01-066
ГЭСН 01-01-067
ГЭСН 01-01-068
ГЭСН 01-01-069
ГЭСН 01-01-070
ГЭСН 01-01-071
ГЭСН 01-01-072
ГЭСН 01-01-073
ГЭСН 01-01-074
ГЭСН 01-01-075
ГЭСН 01-01-076
ГЭСН 01-01-077
ГЭСН 01-01-078
ГЭСН 01-01-079
ГЭСН 01-01-080
ГЭСН 01-01-081",,,KSI110000027
,,,,AAADA,,,Рытье траншей в вечномерзлых грунтах,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-053 
ГЭСН 01-03-054
ГЭСН 01-03-055
ГЭСН 01-03-056
ГЭСН 01-03-057
ГЭСН 01-03-058
ГЭСН 01-03-059
ГЭСН 01-03-060
ГЭСН 01-03-061
ГЭСН 01-03-062
ГЭСН 01-03-063
ГЭСН 01-03-064
ГЭСН 01-03-065",,,KSI110000028
,,,,AAADB,,,Разработка траншей в вечномерзлых грунтах с разравниванием и уплотнением грунта,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-066 
ГЭСН 01-03-0667",,,KSI110000029
,,,,AAADC,,,Рыхление траншей в вечномерзлых грунтах с разравниванием и уплотнением грунта,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-066 
ГЭСН 01-03-0667",,,KSI110000030
,,,AAAE,,,,Укрепление откосов,,ГЭСН 81-02-01-2020 ,по виду работ,,"ГЭСН 01-01-050
ГЭСН 01-02-040 
ГЭСН 01-02-042",,,KSI110000031
,,,,AAAEA,,,Укрепление откосов насыпных сооружений,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-035
ГЭСН 01-02-036
ГЭСН 01-02-037
ГЭСН 01-02-038
ГЭСН 01-01-053 ",,,KSI110000032
,,,,AAAEB,,,Укрепление откосов путепроводов,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-035
ГЭСН 01-02-036
ГЭСН 01-02-037
ГЭСН 01-02-038
ГЭСН 01-01-053 ",,,KSI110000033
