Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Синонимы,УИН
A,,,,,"Работы по организации инженерных изысканий, включая экспертизу результатов",,СП 47.13330.2016,По виду работ,,,,KSI090000002
,AA,,,,Разработка программы инженерных изысканий,,СП 47.13330.2016,,,,,KSI090000003
,AB,,,,Утверждение программы инженерных изысканий,,СП 47.13330.2016,,,,,KSI090000004
,AC,,,,Экспертиза результатов инженерных изысканий,,СП 47.13330.2016,,,,,KSI090000005
B,,,,,Камеральные работы,"Технологические процессы производства, осуществляемые в производственных помещениях",СП 47.13330.2016,По виду работ,,,,KSI090000006
,BA,,,,Сбор и изучение данных архивов и аэрофотосъемки,,СП 47.13330.2016,По виду работ,,,,KSI090000007
,,BAA,,,Сбор материалов инженерных изысканий прошлых лет,,СП 47.13330.2016,,,,,KSI090000008
,,BAB,,,Обработка материалов инженерных изысканий прошлых лет,,СП 47.13330.2016,,,,,KSI090000009
,,BAC,,,Сбор топографо-геодезических материалов,,СП 47.13330.2016,,,,,KSI090000010
,,BAD,,,Обработка топографо-геодезических материалов,,СП 47.13330.2016,,,,,KSI090000011
,,BAE,,,Сбор аэрофотосъемочных материалов,,СП 47.13330.2016,,,,,KSI090000012
,,BAF,,,Обработка аэрофотосъемочных материалов,,СП 47.13330.2016,,,,,KSI090000013
,,BAG,,,Дешифрирование аэрокосмических материалов,,СП 47.13330.2016,,,,,KSI090000014
,BB,,,,Картографические работы,"Категория работ, основным назначением которых является создание картографической продукции по результатам съемки или по исходным картографическим материалам. К картографическим работам относятся также создание цифровых и электронных карт и цифровые технологические процессы сбора, обработки и представления цифровой картографической информации, связанной географически и используемой в ГИС","СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",По виду работ,,,,KSI090000015
,,BBA,,,Изготовление растровой копии цифровых топографических карт территории объекта,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000016
,,BBB,,,Изготовление растровой копии цифровых топографических планов территории объекта,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000017
,,BBC,,,Экологическое дешифрирование аэрокосмических материалов,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000018
,,BBD,,,Перенесение проекта в натуру,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000019
,,BBE,,,Составление акта о перенесении проекта в натуру,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000020
,,BBF,,,Обновление топографических (инженерно-топографических) планов,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000021
,,BBG,,,"Обновление кадастровых планов (в графической, цифровой, фотографической и иных формах)",,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000022
,,BBH,,,Перенос в натуру точек инженерных изысканий,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000023
,,BBJ,,,"Создание (составление) кадастровых планов (в графической, цифровой и иных формах)",,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000024
,,BBK,,,"Создание (составление) атласов специального назначения (в графической, цифровой и иных формах)",,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000025
,,BBL,,,"Издание (размножение) инженерно-топографических планов (в графической, цифровой и иных формах)",,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000026
