Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания,Синонимы,УИН
A,,,,,,Земляные работы при производстве процесса капитального ремонта,,ГЭСНр 81-02-51-2020 ,По виду работ,,,,,KSI140000002
,AA,,,,,Разработка грунта вручную при производстве процесса капитального ремонта,,ГЭСНр 81-02-51-2020,По виду работ,,"ГЭСНр 51-1 
ГЭСНр 51-2",,,KSI140000003
,,AAA,,,,Разработка грунта вручную,,ГЭСНр 81-02-51-2020,,,,,,KSI140000004
,,AAB,,,,Устройство креплений откосов,,ГЭСНр 81-02-51-2020,,,,,,KSI140000005
,,AAC,,,,Разборка креплений откосов,,ГЭСНр 81-02-51-2020,,,,,,KSI140000006
,,AAD,,,,Обратная засыпка грунта с трамбованием ручными трамбовками,,ГЭСНр 81-02-51-2020,,,,,,KSI140000007
,,AAE,,,,Удаление лишнего грунта,,ГЭСНр 81-02-51-2020,,,,,,KSI140000008
,,AAF,,,,Устройство ходов для ручных тележек,,ГЭСНр 81-02-51-2020,,,,,,KSI140000009
,,AAG,,,,Обратная засыпка грунта,,ГЭСНр 81-02-51-2020,,,,,,KSI140000010
,AB,,,,,Изменение уровня пола в здании,,ГЭСНр 81-02-51-2020,По виду работ,,ГЭСНр 51-3,,,KSI140000011
,,ABA,,,,Перекидка грунта,,ГЭСНр 81-02-51-2020,,,,,,KSI140000012
,,ABB,,,,Перемещение грунта,,ГЭСНр 81-02-51-2020,,,,,,KSI140000013
,,ABC,,,,Планировка поверхности,,ГЭСНр 81-02-51-2020,,,,,,KSI140000014
,,ABD,,,,Трамбование грунта ручными трамбовками,,ГЭСНр 81-02-51-2020,,,,,,KSI140000015
,,ABE,,,,Устройство ходов для ручных тележек при изменении уровня пола в здании,,ГЭСНр 81-02-51-2020,,,,,,KSI140000016
,AC,,,,,Рытье ям для установки стоек и столбов,,ГЭСНр 81-02-51-2020,По виду работ,,ГЭСНр 51-4,,,KSI140000017
,,ACA,,,,Разработка грунта вручную при рытье ям,,ГЭСНр 81-02-51-2020,,,,,,KSI140000018
,,ACB,,,,Обратная засыпка при рытье ям,,ГЭСНр 81-02-51-2020,,,,,,KSI140000019
,,ACC,,,,Перекидка излишнего грунта при рытье ям,,ГЭСНр 81-02-51-2020,,,,,,KSI140000020
