c_1,c_2,c_3,c_4,c_5,lev_1,lev_2,lev_3,lev_4,lev_5,code,def,source,type,list,ifc,par_1,par_2,sect,sect_parts,synonyms,ksi_uin
X,,,,,Универсальный,,,,,X___,,,,,,,,,,,KSI210000002
,N,,,,,Идентификация,,,,XN__,,,,,,,,,,,KSI210000003
,,K,,,,,Идентификация КСИ,,,XNK_,,,,,,,,,,,KSI210000004
,,,C,,,,,Класс КСИ,,XNKC,,,,,,,,,,,KSI210000005
,,,,0001,,,,,КСИ Код класса,XNKC0001,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,,,KSI210000006
,,,,0002,,,,,КСИ Наименование класса,XNKC0002,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,,,KSI210000007
,,,,0003,,,,,КСИ Класс строительной информации,XNKC0003,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,,,KSI210000008
,,,,0004,,,,,КСИ Составной код,XNKC0004,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,,,KSI210000009
,,,F,,,,,Функциональный аспект,,XNKF,,,,,,,,,,,KSI210000010
,,,,0001,,,,,КСИ Функциональный код,XNKF0001,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,,,KSI210000011
,,,,0002,,,,,КСИ Функциональный код многоуровневый,XNKF0002,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,,,KSI210000012
,,,P,,,,,Аспект продукта,,XNKP,,,,,,,,,,,KSI210000013
,,,,0001,,,,,КСИ Код продукта,XNKP0001,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,,,KSI210000014
,,,,0002,,,,,КСИ Код продукта многоуровневый,XNKP0002,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,,,KSI210000015
,,,L,,,,,Аспект положения,,XNKL,,,,,,,,,,,KSI210000016
,,,,0001,,,,,КСИ Место расположения,XNKL0001,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,,,KSI210000017
,,,,0002,,,,,КСИ Точка расположения,XNKL0002,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,,,KSI210000018
,,,T,,,,,Тип класса КСИ ,,XNKT,,,,,,,,,,,KSI210002045
,,,,0001,,,,,КСИ Код типа класса,XNKT0001 ,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,,,KSI210002041
,,,,0002,,,,,КСИ Наименование типа класса,XNKT0002 ,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,,,KSI210002042
