Класс,Подкласс,Тип (%%),Наименование системы,Определение системы,Критерии определения подклассов,Источник,Примеры системы,IFC,МССК,ПСК,KKS,Примечание,Синонимы,УИН
A_,,,Многосоставная (многокомпонентная) система,"Техническая система, представляющая собой составную (многокомпонентную) конструкцию",,,,,СС 10,,,,,KSI050000002
,AA,,Дорожные одежды,"Многосоставная система, формирующая поверхность(-и) для транспортирования чего-либо.

Конструктивный элемент автомобильной дороги, воспринимающий нагрузку от транспортных средств и передающий ее на земляное полотно.",По типу покрытия,,Дорожное покрытие,IfcSystem,ЭЛ 70 80,,,,,KSI050000003
,,AA01,Дорожные одежды жесткие,"Дорожные одежды с цементобетонными монолитными покрытиями, со сборными покрытиями из железобетонных или армобетонных плит с основанием из цементобетона или железобетона, а также с асфальтобетонным покрытием на цементобетонном основании",,"СП 34.13330.2021
ГОСТ 33100-2014
ГОСТ Р 59120-2021",,,,,,,,KSI050000004
,,AA02,Дорожные одежды нежесткие,"Дорожная одежда, не содержащая в своем составе конструктивных слоев из монолитного цементобетона, сборного железобетона или армобетона",,"СП 34.13330.2021
ГОСТ 33100-2014
ГОСТ Р 59120-2021",,,,,,,,KSI050000005
,,AA10,Дорожные одежды капитальные,"Дорожные одежды, обладающие наиболее высокой работоспособностью, соответствующей условиям движения и срокам службы дорог высоких категорий",,"СП 34.13330.2021
ГОСТ 33100-2014
ГОСТ Р 59120-2021",,,,,,,,KSI050000006
,,AA20,Дорожные одежды облегченные,"Дорожные одежды с усовершенствованным покрытием из асфальтобетонов, органоминеральных смесей или из щебеночных (гравийных) материалов, обработанных органическим вяжущим, применяемая на автомобильных дорогах III-V категорий, имеющая пониженные по сравнению с капитальными дорожными одеждами уровень надежности и коэффициенты прочности",,ПНСТ 390-2020,,,,,,,,KSI050000007
,,AA30,Дорожные одежды переходные,"Дорожные одежды с покрытиями из щебня прочных пород, щебеночно-гравийно-песчаных смесей или из грунтов и малопрочных каменных материалов, укрепленных вяжущими, булыжного и колотого камня (мостовых), применяемая на автомобильных дорогах IV-V категорий",,ПНСТ 390-2020,,,,,,,,KSI050000008
,,AA40,Дорожные одежды низшие,"Дорожная одежда с покрытиями из гравийно-песчаных и песчано-гравийных смесей, из малопрочных каменных материалов и шлаков, из грунтов, улучшенных различными мест-ными материалами, техногенных грунтов, отходов и побочных про-дуктов промышленности, приме-няемая на автомобильных дорогах категории V.",,ГОСТ Р 59120-2021,,,,,,,,KSI050000009
,AB,,Фундаментные конструкции,"Многосоставная система, отделяющая строительный объект от грунтового основания",По типу устройства,,,IfcBuildingSystem,"СС 10 10
ЭЛ 10 10",,,,,KSI050000010
,,AB01,Конструкции фундамента мелкого заложения,"Фундамент, передающий нагрузку на грунты основания преимущественно через подошву; при глубине до 5-6 м имеет соотношение к ширине подошвы более 1,5-2; возводят в открытом котловане",,ГОСТ 33178-2014,,,СС 10 10 50,,,,,KSI050000011
,,AB02,Конструкции фундамента мелкого заложения массивные,"Фундамент, возводимый в виде сплошного массива небольшой протяженности в плане",,ГОСТ 33178-2014,,,СС 10 10 40,,,,,KSI050000012
,,AB03,Конструкции фундаментов мелкого заложения башмачные,"Фундамент небольшого размера, сооружаемый отдельно под каждую стойку опоры моста, при большом расстоянии между стойками",,ГОСТ 33178-2014,,,СС 10 10 40,,,,,KSI050000013
,,AB04,Конструкции прерывистых фундаментов,"Сборный фундамент мелкого заложения, выполняемый из крупных блоков-подушек, укладываемых на основание с промежутками, заполняемыми песком или гравием",,,,,СС 10 10 40,,,,,KSI050000014
,,AB05,Конструкции фундамент-оболочки,Фундамент глубокого заложения в виде трубы с тонкими стенками,,,,,СС 10 10 20,,,,,KSI050000015
,,AB10,Конструкции фундамента мелкого заложения ленточные,"Фундамент, возводимый в виде сплошного массива, у которого длина значительно больше ширины; стойки опор расположены на небольшом расстоянии друг от друга",,ГОСТ 33178-2014,Ленточный фундамент,,"СС 10 10 10
СС 10 10 10 10
СС 10 10 10 20",,,,,KSI050000016
,,AB20,Конструкции отдельно стоящих фундаментов,"Фундаменты, передающие нагрузки на основание от одной или группы близко расположенных колонн (стоек)",,,Отдельно стоящий фундамент,,СС 10 10 40,,,,,KSI050000017
,,AB30,Конструкции плитных фундаментов,"Фундаменты в виде сплошной бетонной плиты, который передает нагрузки на основание от всего сооружения",,,Плитный фундамент,,СС 10 10 50,,,,,KSI050000018
,,AB40,Конструкции свайных фундаментов,"Комплекс свай, объединенных в единую конструкцию, передающую нагрузку на основание",,СП 24.13330.2021,Свайный фундамент,,"СС 10 10 20
СС 10 10 30",,,,,KSI050000019
,,AB50,Конструкции комбинированных фундаментов,Конструкции фундаментов комбинированного типа,,,Плитно-свайный фундамент,,,,,,,KSI050000020
,AC,,Конструкции перекрытия,"Многосоставная система, обеспечивающая разделение строительного объекта по горизонтали",По типу конструктивного исполнения,,Перекрытие,IfcBuildingSystem,"СС 10 20
СС 10 30",,,,,KSI050000021
,,AC10,Конструкции безбалочных перекрытий,"Конструкции перекрытий, состоящие из плиты без устройства балок",,ГОСТ 27108-2016,Плита перекрытия с капителями,,,,,,,KSI050000022
,,AC20,Конструкции балочных перекрытий,"Конструкции перекрытий, состоящие из плиты с устройством балок",,,Балочная плита перекрытия,,,,,,,KSI050000023
,,AC30,Конструкции многослойных перекрытий,"Конструкции перекрытий, состоящие из нескольких слоев",,,Сталебетонное перекрытие,,,,,,,KSI050000024
,,AC40,Конструкции перекрытий деревянные,,,,,,,,,,,KSI050000314
,,AC50,Конструкции перекрытий деревянные по металлическим балкам,,,,,,,,,,,KSI050000315
,,AC60,Конструкции перекрытий сборные железобетонные по металлическим балкам,,,,,,,,,,,KSI050000316
,,AC70,Конструкции перекрытий монолитные железобетонные по металлическим балкам,,,,,,,,,,,KSI050000317
,,AC80,Конструкции перекрытий сборно-монолитные железобетонные по металлическим балкам,,,,,,,,,,,KSI050000318
,,AC90,Конструкции перекрытий сборные железобетонные монолитные железобетонные,,,,,,,,,,,KSI050000319
,,AC100,Конструкции перекрытий сборно-монолитные железобетонные,,,,,,,,,,,KSI050000320
,AD,,Стеновые конструкции,"Многосоставная система, обеспечивающая разделение строительного объекта по вертикали",По типу конструктивного исполнения,ГОСТ 16504-81,,IfcBuildingSystem,"СС 10 20
СС 10 20 10
",,,,,KSI050000025
,,AD10,Конструкции сплошных стен,Конструкции стен без устройства колонн и балок,,,Плоская стена,,"СС 10 20 30
СС 10 20 40
СС 10 20 70
СС 10 20 10",,,,,KSI050000026
,,AD20,Конструкции стен со стойками,Конструкции стен с устройством колонн (пилястр),,,Стена с пилястрами,,"СС 10 20 20
СС 10 20 50
СС 10 20 60",,,,,KSI050000027
,,AD30,Конструкции стен со стойками и ригелями,Конструкции стен с устройством колонн (пилястр) и горизонтальных балок,,,Стена со стоечно-ригельным каркасом,,"СС 10 20 20
СС 10 20 50
СС 10 20 60",,,,,KSI050000028
,,AD40,Конструкции многослойных стен,"Конструкции стен, состоящая из нескольких слоев",,,Многослойная стена,,СС 10 20 10,,,,,KSI050000029
,,AD50,Конструкции фасадной системы,Конструкции фасадной системы,,,"Фасадная система
Навесной Вентилируемый фасад",,"CC 10 50
СС 10 50 20
СС 10 50 10
СС 10 50 30
ЭЛ 30 10 60
ЭЛ 30 10 61",,,,,KSI050000030
,,AD60,"Конструкции стен деревянные, каркасно-щитовые",,,,,,СС 10 20 50,,,,,KSI050000321
,,AD70,"Конструкции стен деревянные, брусчатые (бревенчатые)",,,,,,,,,,,KSI050000322
,,AD80,"Конструкции стен бескаркасные со стенами из мелкоштучных каменных материалов (кирпич, керамические камни, блоки и другие)",,,,,,,,,,,KSI050000323
,,AD90,Конструкции стен бескаркасные со стенами из крупных каменных блоков и панелей,,,,,,,,,,,KSI050000324
,,AD100,"Конструкции стен со сборным железобетонным каркасом и стенами из мелкоштучных каменных материалов (кирпич, керамические камни, блоки и другие)",,,,,,,,,,,KSI050000325
,,AD110,Конструкции стен со сборным железобетонным каркасом и стенами из крупных каменных блоков и панелей,,,,,,,,,,,KSI050000326
