Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,"Код по классификатору ОАО ""РЖД""",Примеры,Примечания,Синонимы,УИН
A,,,,,Комплексы ОКС сельского  хозяйства и пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000002
,AA,,,,Животноводческие комплексы ОКС,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000003
,,AAA,,,Комплекс объектов коневодства (верблюдоводства),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000004
,,AAB,,,Комплекс объектов звероводства и кролиководства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000005
,,AAC,,,Комплекс объектов овцеводства и козоводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000006
,,AAD,,,"Комплекс объектов по выращиванию крупного рогатого скота, производству мяса, молока, выращиванию ремонтного молодняка",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000007
,,AAE,,,Комплекс объектов птицеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000008
,,AAF,,,Комплекс объектов пчеловодства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000009
,,AAG,,,Комплекс объектов свиноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000010
,,AAH,,,Комплекс объектов ветеринарии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000011
,,AAJ,,,Комплекс объектов рыбоводного хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000467
,AB,,,,Комплексы ОКС мелиорации,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000012
,,ABA,,,"Комплекс объектов системы орошения, осушения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000013
,AC,,,,"Комплексы ОКС растениеводства, лесной и деревообрабатывающей промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000015
,,ACA,,,Комплекс объектов растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000016
,,ACB,,,Комплекс тепличных (культивационных) объектов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000468
,,ACC,,,Комплекс объектов предприятий лесозаготовки и деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000017
,AD,,,,Комплексы ОКС обеспечивающей и вспомогательной инфраструктуры отрасли сельского хозяйства и пищевой промышленности,,,По виду комплекса ОКС,,,,,KSI020000612
,,ADA,,,Комплекс  вспомогательных объектов животноводства,,,,,,,,KSI020000613
,,ADB,,,Комплекс  обеспечивающих объектов животноводства,,,,,,,,KSI020000614
,,ADC,,,Комплекс  вспомогательных объектов лесной и деревообрабатывающей промышленности,,,,,,,,KSI020000615
,,ADD,,,Комплекс вспомогательных объектов пищевой промышленности,,,,,,,,KSI020000616
,,ADE,,,Комплекс вспомогательных объектов растениеводства,,,,,,,,KSI020000617
,AE,,,,Комплексы ОКС пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000019
,,AEA,,,"Комплекс объектов производства мясной, рыбной, молочной и масложировой продукции",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000020
,,AEB,,,"Комплекс объектов производства готовых блюд, консервов и полуфабрикатов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000021
,,AEC,,,Комплекс объектов производства алкогольной и безалкогольной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000474
,,AED,,,Комплекс объектов производства бакалейной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000475
,,AEE,,,Комплекс объектов производства кормов и комбикормов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000476
,,AEF,,,Комплекс объектов производства хлебобулочной и кондитерской продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000477
B,,,,,Объекты добывающей промышленности и промышленности строительных материалов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000036
,BA,,,,Комплексы ОКС добычи и переработки железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000037
,,BAA,,,Комплекс объектов добычи железных руд открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000038
,,BAB,,,Комплекс объектов добычи железных руд подземным способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000039
,,BAC,,,Комплекс объектов обогащения железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000040
,BB,,,,Комплексы ОКС добычи и обогащения руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000041
,,BBA,,,Комплекс объектов добычи руд цветных металлов открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000042
,,BBB,,,Комплекс объектов добычи руд цветных металлов подземным способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000043
,,BBC,,,Комплекс объектов обогащения руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000044
,BC,,,,Комплексы ОКС добычи и переработки прочих полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000045
,,BCA,,,Комплексы ОКС добычи прочих полезных ископаемых подземным способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000046
,,BCB,,,Комплексы ОКС добычи прочих полезных ископаемых открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000047
,,BCC,,,Комплексы ОКС обогащения прочих полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000048
,BD,,,,Комплексы ОКС добычи природного газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000049
,,BDA,,,"Комплекс объектов добычи, сбора, подготовки и транспорта газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000050
,BE,,,,Комплексы ОКС добычи сырой нефти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000051
,,BEA,,,"Комплекс объектов добычи, сбора, подготовки и транспорта нефти и попутного газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000052
,,BEB,,,Комплекс объектов поддержания пластового давления,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000478
,BF,,,,"Комплексы ОКС добычи и обогащения топливно-энергетических ресурсов, кроме нефти и газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000053
,,BFA,,,Комплекс объектов добычи топливных ресурсов открытым способом,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000479
,,BFB,,,Комплекс объектов добычи топливных ресурсов подземным способом,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000480
,,BFC,,,Комплекс объектов обогащения топливных ресурсов,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000481
,BG,,,,Комплексы ОКС вспомогательной инфраструктуры добывающей промышленности,,,По виду комплекса ОКС,,,,,KSI020000618
,,BGA,,,Комплекс вспомогательных объектов месторождений и обогатительных фабрик,,,,,,,,KSI020000619
,,BGB,,,Комплекс объектов производственных баз добывающей промышленности,,,,,,,,KSI020000620
,,BGC,,,Комплекс вспомогательных объектов промышленности строительных материалов,,,,,,,,KSI020000621
,BH,,,,Комплексы ОКС промышленности строительных материалов,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000486
,,BHA,,,Комплекс объектов производства полимерных материалов и изделий из них,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000487
,,BHB,,,"Комплекс объектов производства вяжущих веществ, материалов на их основе, строительных растворов и бетонов",,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000488
,,BHC,,,Комплекс объектов производства стекла и других материалов и изделий из минеральных расплавов,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000489
,,BHD,,,Комплекс объектов производства искусственных необжиговых каменных материалов,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000490
,,BHE,,,Комплекс объектов производства керамических материалов и изделий из них,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000491
,,BHF,,,Комплекс объектов производства (обработки) природных каменных материалов и изделий из них,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000492
,,BHG,,,Комплекс объектов производства древесных материалов и изделий их них,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000493
