Класс,Тип (%%),Наименование системы,Определение системы,Примеры системы/подсистемы,Источник,IFC,МССК,РЖД,ПСК,Примечание,Синонимы,УИН
A,,Наземная система,"Наземная пространственная система, которая замыкает строительный объем снизу",,,IfcSystem,,,,Пространственные системы зданий и сооружений,,KSI040000002
,A10,Основание,"Наземная система, обеспечивающая поддержку для других пространствообразующих функциональных систем",Основание (система),Федеральный закон от 30.12.2009 N 384-ФЗ,,ЭЛ 10 10 05,,,,,KSI040000003
,A20,Фундамент,"Строительная конструкция, служащая для передачи усилий на несущий грунт",Фундамент (система),ГОСТ Р ИСО 6707-1-2020,,"CC 10 10
ЭЛ 10 10 30
ЭЛ 10 10 70",,,,,KSI040000004
,A40,Обочина,"Элемент дороги, примыкающий непосредственно к проезжей части и предназначенный для обеспечения устойчивости земляного полотна, повышения безопасности дорожного движения, организации движения пешеходов и велосипедистов, а также использования при чрезвычайных ситуациях",Обочина укрепленная,ГОСТ 33475-2015,IfcAllignment,,,,,,KSI040000005
,A50,Наземное искусственное покрытие,Наземная система для наземных видов деятельности кроме транспортных потоков,"Игровое поле, платформа",,,,,,,,KSI040000006
,A60,Наземное растительное покрытие,Наземная система для озеленения,"Лесополоса, газон",,,,,,,,KSI040000007
,A70,Земляное полотно железной дороги,"Инженерное грунтовое сооружение в виде насыпей, выемок, нулевых мест, полунасыпей, полувыемок и полунасыпей-полувыемок, служащее основанием для верхнего строения железнодорожного пути и воспринимающее нагрузку от верхнего строения пути и железнодорожного подвижного состава",Насыпь,ГОСТ 34530-2019   ,,,,,,,KSI040000008
,A80,Земляное полотно автомобильной дороги,"Конструктивный элемент, служащий основанием для размещения дорожной одежды, а также технических средств организации дорожного движения и обустройства автомобильной дороги",,СП 78.13330.2012 ,,,,,,,KSI040000009
,A90,Общее земляное полотно для автомобильных дорог и трамвайных путей,,,СП 18.13330.2019,,,,,,,KSI040000010
B,,Стеновая система,"Пространственная система, которая формирует и разделяет пространство по вертикали",,,IfcBuildingSystem,"СС 10 20
СС 10 30",,,Пространственные системы зданий и сооружений,,KSI040000011
,B10,Система наружных стен,"Стеновая система, формирующая внутреннее пространство строительного объекта",Фасадная система, СП 2.13130.2020,,,,,,,KSI040000012
,B20,Система внутренних стен,Стеновая система для разделения внутреннего пространства строительного объекта,Система внутренних перегородок,,,,,,,,KSI040000013
,B30,Система стен в грунте,Стеновая система в грунте,"Система стен подвала
Система террасных стен",,,,,,,,KSI040000014
,B40,Система стен гидротехнических сооружений,Стеновая система в воде,Система причальных стен,,,,,,,,KSI040000015
,B50,Система тоннельных стен,"Стеновая система, формирующая пространство тоннелей",Система стен тоннеля,,,,,,,,KSI040000016
,B60,Опорная система,Стеновая система для обеспечения опирания других частей зданий и сооружений,Фундамент турбоагрегата,,,,,,,,KSI040000017
C,,Система перекрытий,"Пространственная система, которая формирует и разделяет пространство по горизонтали",,,IfcBuildingSystem,"СС 10 20
СС 10 30",,,Пространственные системы зданий и сооружений,,KSI040000018
,C10,Система внутренних перекрытий зданий и сооружений,Пространственная система для разделения внутреннего пространства по горизонтали,,,,,,,,,KSI040000019
,C20,Система выступающих перекрытий зданий и сооружений,Пространственная система для формирования пространства выступающих частей зданий и сооружений,,,,,,,,,KSI040000020
,C30,Система перекрытий пролетных строений,Пространственная система для формирования горизонтального пространства пролетных строений,Пролетное строение,СП 46.13330.2012,,,,,,,KSI040000021
,C40,Система перекрытий причальных сооружений,Пространственная система для формирования горизонтального пространства причальных сооружений,,,,,,,,,KSI040000022
D,,Система крыши,"Пространственная система, ограждающая здание сверху","Крыша (система)
Купол (система)","ГОСТ Р ИСО 6707-1-2020
СП 258.1311500.2016",IfcBuildingSystem,СС 10 40,,,Пространственные системы зданий и сооружений,,KSI040000023
E,,Газовая и воздушная система,Инженерная система обеспечения техническими газами или техническим воздухом,,,IfcDistributionSystem,,,,Инженерные системы зданий и сооружений,,KSI040000024
,E10,Система энергетического газа,Инженерная система обеспечения газом для получения энергии,Система газопотребления (газоснабжения) жилого здания,СП 402.1325800.2018,,CC 40 40,,,,,KSI040000025
,E20,Система технологического газа,Инженерная система обеспечения газами для промышленного производства,Система приготовления кислорода и азота,,,,,,,,KSI040000026
,E30,Система медицинского газа,Инженерная система обеспечения газом для медицинских нужд,Система медицинского газоснабжения,СП 158.13330.2014,,СС 50 10,,,,,KSI040000027
,E40,Воздушная система,Инженерная система обеспечения воздухом,Система воздухоподачи,,,,,,,,KSI040000028
,E50,Паровая система,Инженерная система обеспечения паром,Система паропроводов собственных нужд энергоблока,СП 373.1325800.2018,,,,,,,KSI040000029
,E60,Вакуумная система,"Инженерная система для создания, повышения и поддержания вакуума",Система подачи вакуума,ГОСТ Р ИСО 7396-1-2011,,,,,,,KSI040000030
F,,Водяная и жидкостная система,"Инженерная система обеспечения бытовой водой, технической водой, либо иной другой жидкостью",,,IfcDistributionSystem,,,,Инженерные системы зданий и сооружений,,KSI040000031
,F10,Система хозяйственно-бытовой воды,Инженерная система обеспечения водой для хозяйственно-бытовых нужд,"Система горячего и холодного водоснабжения
Оросительная система","ГОСТ 34059-2017
ГОСТ 26967-86",,"СС 30 35 10 10
СС 30 35 10 50
CC 30 35 10 60",,,,,KSI040000032
,F20,Система технической воды,Инженерная система обеспечения водой для технических нужд,Система технического водоснабжения,СО 34.21.308-2005,,СС 30 35 10 40,,,,,KSI040000033
,F30,Система технологической жидкости,Инженерная система обеспечения технологическими жидкостями,Система подачи смазочно-охлаждающей жидкости,,,СС 30 35 10 30,,,,,KSI040000034
,F40,Система топлива,Инженерная система обеспечения жидким топливом,Топливопровод,ГОСТ 15888-90 (ИСО 7876/1-84),,,,,,,KSI040000035
G,,Система дренажа и удаления отходов,"Инженерная система обеспечения, предназначенная для отведения жидкости или утилизации отходов",,,IfcDistributionSystem,,,,Инженерные системы зданий и сооружений,,KSI040000036
,G10,Система дренажа,"Инженерная система, предназначенная для отведения жидкости",Водоотвод (система),СП 17.13330.2017,,"СС 30 40
CC 40 30
CC 40 35",,,,,KSI040000037
,G20,Система удаления отходов,"Инженерная система, предназначенная для утилизации отходов",Мусоропровод (система),СП 31-108-2002,,СС 30 45,,,,,KSI040000038
H,,Система отопления и/или охлаждения,Инженерная система обеспечения теплом и/или холодом,,,IfcDistributionSystem,,,,Инженерные системы зданий и сооружений,,KSI040000039
,H10,Система отопления,"Инженерная система, предназначенная для отопления пространств или оборудования",Система отопления помещений,ГОСТ Р 56501-2015,,CC 30 20 10,,,,,KSI040000040
,H20,Система охлаждения,"Инженерная система, предназначенная для охлаждения пространств или оборудования",Система холодоснабжения,СП 60.13330.2020,,CC 30 15,,,,,KSI040000041
,H30,Комбинированная система охлаждения и отопления,"Инженерная система, предназначенная для охлаждения и отопления пространств или оборудования",,,,,,,,,KSI040000042
,H40,Климатическая система,"Инженерная система, обеспечивающая заданные климатические параметры воздуха",Система кондиционирования,,,CC 30 20 30,,,,,KSI040000043
,H50,Система подогрева трубопровода,"Совокупность технических устройств, предназначенная для поддержания температуры нефти, при которой возможна ее перекачка",,ГОСТ Р 57512-2017,,,KJA001,,,,KSI040000084
,H60,Система разогрева нефтепродуктов,"Совокупность технических устройств, предназначенная для увеличения температуры нефти (нефтепродуктов) до значений, при которых возможна ее (их) перевалка",,ГОСТ Р 57512-2017,,,KJA002,,,,KSI040000085
J,,Система вентиляции,"Инженерная система, обеспечивающая воздухообмен",,,IfcDistributionSystem,"CC 30 20 20
CC 30 20 25",,,Инженерные системы зданий и сооружений,,KSI040000044
,J10,Система основной вентиляции,"Инженерная система, обеспечивающая воздухообмен в режиме нормальных условий эксплуатации",Внутридомовая система приточной вентиляции,ГОСТ Р 56501-2015,,CC 30 20 20,,,,,KSI040000045
,J20,Система резервной вентиляции,"Система (вентилятор), предусматриваемая в дополнение к основным системам для автоматического ее включения при выходе из строя одной из основных систем",,СП 60.13330.2020,,,,,,,KSI040000046
,J30,Система аварийной вентиляции,"Система для регулирования (управления) воздухообменом в помещении для обеспечения предотвращения увеличения до опасных значений концентраций горючих газов, паров и пыли при их внезапном поступлении в защищаемое помещение",,СП 60.13330.2020,,,,,,,KSI040000047
,J40,Система специальной вентиляции,Система вентиляции специального назначения,,,,CC 30 20 25,,,,,KSI040000048
K,,Система электроэнергии,Инженерная система обеспечения электроэнергией,,,IfcDistributionSystem,СС 30 50,,,Инженерные системы зданий и сооружений,,KSI040000049
,K10,Система генерации электроэнергии,"Инженерная система обеспечения электроэнергией, предназначенная для генерации электрической энергии","Система генерирования электроэнергии
Система коллективной электрификации",ГОСТ Р 51237-98 ,,,,,,,KSI040000050
,K20,Система распределения электроэнергии,"Инженерная система обеспечения электроэнергией, предназначенная для передачи и распределения электрической энергии",,,,"CC 30 50 20
CC 40 10",,,,,KSI040000051
,K30,Система потребителей электроэнергии,"Инженерная система обеспечения электроэнергией, обеспечивающая потребителей электрической энергией",Система электрического питания для систем безопасности,ГОСТ 30331.1-2013,,CC 30 50 30,,,,,KSI040000052
L,,Система автоматизации,"Инженерная система, предназначенная для контроля, управления и осуществления систематического наблюдения за техническими системами предприятия в контексте их функционирования",,,IfcDistributionSystem,,,,Инженерные системы зданий и сооружений,,KSI040000053
,L10,Система мониторинга инженерных систем и строительных конструкций зданий и сооружений,Cовокупность аппаратно-программных средств для регулярного наблюдения и регистрации состояния и функционирования инженерных систем здания или сооружения,"ГОСТ Р 55060-2012
ГОСТ Р 22.1.03-2019",,,,HAC,,,,KSI040000086
,L20,Система контроля трубопровода,,,,,,HAD,,,,KSI040000087
,L30,Система управления и диспетчеризации инженерного оборудования,"Система, обеспечивающая сбор сигналов от объектов диспетчеризации, измерение контролируемых параметров, передачу их по каналам связи на диспетчерский пункт, а также дистанционное управление инженерным оборудованием из диспетчерского пункта",СП 256.1325800.2016,,,,JSA,,,,KSI040000088
,L40,Система коммерческого учета потребления энергоресурсов,"Система электронных технических средств для автоматизированного дистанционного измерения, сбора, передачи, обработки и документирования результатов потребления энергоресурсов в территориально распределенных точках учета, расположенных на объектах энергоснабжающих организаций или потребителей",СП 256.1325800.2016,,,,JSB,,,,KSI040000089
M,,Информационная и коммуникационная система,Инженерная система обеспечения связи между людьми или отдельными техническими системами,,,IfcDistributionSystem,CC 40 45,,,Инженерные системы зданий и сооружений,,KSI040000054
,M10,Система передачи данных,"Информационная и коммуникационная система, предназначенная для передачи данных",Локально-вычислительная сеть,ГОСТ Р 52551-2016,,,,,,,KSI040000055
