Класс,Тип (%%),Наименование стадии,Определение,Источник,Примечание,Синонимы,УИН
A,,Инженерные изыскания,"Изучение природных условий и факторов техногенного воздействия в целях рационального и безопасного использования территорий и земельных участков в их пределах, подготовки данных по обоснованию материалов, необходимых для территориального планирования, планировки территории и архитектурно-строительного проектирования",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,,,KSI080000002
B,,Проектирование,"Создание модели объекта на основе описания этого объекта и (или) алгоритма его функционирования или алгоритма процесса его преобразования, в ряде случаев неоднократного на протяжении всего жизненного цикла объекта, с выдачей заказчику документации, в т.ч. проектной и рабочей документации, позволяющей создать этот объект",ГОСТ Р 58179-2018,,,KSI080000003
C,,Строительство,"Создание зданий, строений, сооружений (в том числе на месте сносимых объектов капитального строительства)",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,,,KSI080000004
D,,Эксплуатация зданий (сооружений),"Комплекс мероприятий по содержанию, обслуживанию и ремонту зданий (сооружений), обеспечивающих их безопасное функционирование и санитарное состояние в соответствии с их функциональным назначением",СП 255.1325800.2016,,,KSI080000005
G,,Снос объектов капитального строительства,"Ликвидация объекта капитального строительства путем его разрушения (за исключением разрушения вследствие природных явлений либо противоправных действий третьих лиц), разборки и (или) демонтажа объекта капитального строительства, в том числе его частей",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,,,KSI080000006
H,,Реконструкция объектов капитального строительства (за исключением линейных объектов),"Изменение параметров объекта капитального строительства, его частей (высоты, количества этажей, площади, объема), в том числе надстройка, перестройка, расширение объекта капитального строительства, а также замена и (или) восстановление несущих строительных конструкций объекта капитального строительства, за исключением замены отдельных элементов таких конструкций на аналогичные или иные улучшающие показатели таких конструкций элементы и (или) восстановления указанных элементов",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,,,KSI080000007
J,,Реконструкция линейных объектов,"Изменение параметров линейных объектов или их участков (частей), которое влечет за собой изменение класса, категории и (или) первоначально установленных показателей функционирования таких объектов (мощности, грузоподъемности и других) или при котором требуется изменение границ полос отвода и (или) охранных зон таких объектов",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,,,KSI080000008
K,,Капитальный ремонт объектов капитального строительства (за исключением линейных объектов),"Замена и (или) восстановление строительных конструкций объектов капитального строительства или элементов таких конструкций, за исключением несущих строительных конструкций, замена и (или) восстановление систем инженерно-технического обеспечения и сетей инженерно-технического обеспечения объектов капитального строительства или их элементов, а также замена отдельных элементов несущих строительных конструкций на аналогичные или иные улучшающие показатели таких конструкций элементы и (или) восстановление указанных элементов",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,,,KSI080000009
L,,Капитальный ремонт линейных объектов,"Изменение параметров линейных объектов или их участков (частей), которое не влечет за собой изменение класса, категории и (или) первоначально установленных показателей функционирования таких объектов и при котором не требуется изменение границ полос отвода и (или) охранных зон таких объектов, если иное не предусмотрено Градостроительным кодексом Российской Федерации",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,,,KSI080000010
M,,Обоснование инвестиций (ОБИН),"Представляет собой набор и анализ различных документов для подготовки технико-экономических обоснований при формировании проекта федеральной адресной инвестиционной программы в соответствии с установленными правилами, для подготовки материалов, необходимых при проведении проверки инвестиционных проектов на предмет эффективности использования средств, направляемых на капитальные вложения, для подготовки материалов в соответствии с положением о проведении публичного технологического и ценового аудита крупных инвестиционных проектов с государственным участием","ПРИКАЗ
от 3 июня 2014 года N 1/512-П
Об утверждении Единых отраслевых методических рекомендаций по разработке обоснований инвестиций (ОБИН)",,,KSI080000011
