Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания,Синонимы,УИН
A,,,,,Усиление конструкций,"Комплекс конструктивных мероприятий и технологических работ, направленных на повышение несущей способности и эксплуатационных свойств конструкции",ГЭСН 81-02-46-2022 ,По виду работ,,,,,KSI130000002
,AA,,,,Усиление конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022 ,По виду работ,,ГЭСН 46-01-001,,,KSI130000003
,,AAA,,,Устройство ограждения деревянными щитами при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000004
,,AAB,,,Заготовка временных креплений при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000005
,,AAC,,,Установка временных креплений при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000006
,,AAD,,,Очистка поверхности усиливаемых конструкций при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000007
,,AAE,,,Подготовка поверхности усиливаемых конструкций при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000008
,,AAF,,,Установка опалубки при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000009
,,AAG,,,Разборка опалубки при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000010
,,AAH,,,Установка арматуры при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000011
,,AAJ,,,Укладка бетона при усилении конструкций монолитным железобетоном,,ГЭСН 81-02-46-2022,,,,,,KSI130000012
,AB,,,,Усиление существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-002
",,,KSI130000013
,,ABA,,,Установка инвентарных лесов и подмостей для усиления существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000014
,,ABB,,,Установка защитного металлического листа при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000015
,,ABC,,,Очистка поверхности балки от пыли и грязи при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000016
,,ABD,,,Расчистка дефектных участков бетона при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000017
,,ABE,,,Удаление дефектных участков бетона при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000018
,,ABF,,,Очистка и промывка водой усиляемых поверхностей балки при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000019
,,ABG,,,Насечка бетона при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,"Обработка каменных бетонных и штукатурных поверхностей специальными инструментами - бучардами, скарпелями и т.д. - для получения рельефной фактуры",ГЭСН 81-02-46-2022,,,,,,KSI130000020
,,ABH,,,Установка арматуры при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000021
,,ABJ,,,Усиление балки цементно-песчаным раствором при усилении существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000022
,,ABK,,,Разборка лесов и подмостей после усиления существующих железобетонных балок монолитными железобетонными обоймами набрызгом,,ГЭСН 81-02-46-2022,,,,,,KSI130000023
,AC,,,,Усиление существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-003
",,,KSI130000024
,,ACA,,,Установка инвентарных лесов для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000025
,,ACB,,,Установка тупиков на подкрановых балках для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000026
,,ACC,,,Очистка балки от пыли и грязи при усилении существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000027
,,ACD,,,Изготовление металлоконструкций для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000028
,,ACE,,,Подъем металлоконструкций для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000029
,,ACF,,,Установка металлоконструкций для усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000030
,,ACG,,,Разборка лесов после усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000031
,,ACH,,,Очистка рабочей площадки после усиления существующих железобетонных подкрановых балок металлическими стяжками,,ГЭСН 81-02-46-2022,,,,,,KSI130000032
