Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
A,,,,,Машины и механизмы,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91,,,,KSI180000002
,AA,,,,Машины для земляных работ,"Самоходные машины на пневмоколёсном или гусеничном ходу,, предназначенные для профилирования земляных насыпей,, перемещения и разравнивания грунтов,, отделения горной массы от массива и её транспортирования","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Способ разработки грунта,,91.01,ТО 10,Определение синтезировано,,KSI180000003
,,AAA,,,Бульдозер,"Самоходная гусеничная или колесная землеройная машина с рабочим оборудованием, имеющая либо бульдозерное оборудование, которое срезает, перемещает и распределяет материал за счет движения машины вперед, либо дополнительное оборудование, используемое для реализации напорного или тягового усилия.","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Бульдозер гусеничный,91.01.01,ТО 10 60,Определение синтезировано,,KSI180000004
,,AAB,,,Грейдер,"Прицепная или самоходная машина для планировки и профилирования площадей и откосов, разравнивания и перемещения грунта, снега или сыпучих строительных материалов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Автогрейдер,91.01.02,ТО 18 50,Определение синтезировано,,KSI180000005
,,AAC,,,Скрепер,"Самоходная или прицепная гусеничная или колесная землеройная машина, имеющая ковш с режущей кромкой, расположенный между осями, который срезает, загружает, транспортирует, выгружает и распределяет материал при движении вперед","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Скрепер с ковшом самоходный
Скрепер прицепной",91.01.03,ТО 10 70,Определение синтезировано,,KSI180000006
,,AAD,,,Установка буровая,"Землеройный агрегат, размещаемый на базе тракторов и некоторых других видов спецтехники",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.01.04,,Определение синтезировано,,KSI180000007
,,AAE,,,Экскаватор,"Землеройная машина, оснащенная ковшом","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Экскаватор на гусеничном ходу
Экскаватор на пневмоколесном ходу
Экскаватор роторный",91.01.05,"ТО 10 10
ТО 10 20
ТО 10 30
ТО 10 40
ТО 10 50",Определение синтезировано,,KSI180000008
,AB,,,,Машины и агрегаты для свайных и шпунтовых работ,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Способ погружения конструкций в грунт,,91.02,ТО 22,,,KSI180000009
,,ABA,,,Вибропогружатель,"Вибрационная машина для погружения в грунт свай, шпунтов, труб и других элементов, а также для их извлечения из грунта вибрацией направленного действия, создаваемой парой дебалансов, работающих синхронно.",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.02.01,,,,KSI180000010
,,ABB,,,"Копер, кроме плавучих","Строительная машина, предназначенная для подъёма, установки сваи на точку погружения, корректировки, погружения сваи в грунт (или извлечения) с помощью погружателя (или выдёргивателя)","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.02.02,"ТО 22 10
ТО 22 20",Определение синтезировано,,KSI180000011
,,ABC,,,"Агрегат копровый, кроме плавучих","Агрегат, предназначенный для погружения свай в грунт","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.02.02,"ТО 22 10
ТО 22 20",Определение синтезировано,,KSI180000012
,,ABD,,,Молот,Устройство для забивки свай в землю,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.02.03,,Определение синтезировано,,KSI180000013
,,,,ABD010,Гидромолот,Устройство для забивки свай в землю,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.02.03,ТО 42 10 10,Определение синтезировано,,KSI180000014
,,,,ABD020,Дизель-молот,Устройство для забивки свай в землю,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.02.03,,Определение синтезировано,,KSI180000015
,,,,ABD030,Установка сваебойная самоходная для устройства барьерных ограждений,Установка сваебойная самоходная для устройства барьерных ограждений,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.02.03,,Определение синтезировано,,KSI180000016
,,ABE,,,Установка для устройства буронабивных свай,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.02.04,,,,KSI180000017
,,ABF,,,Оборудование для вытрамбовывания скважин,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.02.05,,,,KSI180000018
,,ABG,,,Сваевдавливающая установка,Установка для вдавливания свай в грунт,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.02.05,,Определение синтезировано,,KSI180000019
,,ABH,,,Скусыватель,Устройство для срезки свай,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.02.05,,Определение синтезировано,,KSI180000020
,,ABJ,,,"Установка для работы по технологии ""стена в грунте""",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.02.05,,,,KSI180000021
,,ABK,,,Грейфер,"Грузозахватное устройство, предназначенное, как правило, для навалочных грузов, у которого захватом являются поворотные челюсти.",Приказ Минстроя России от 17.11.2022 N 969/пр,,,"91.02.05 
91.01.05",,ГОСТ 33715-2015,,KSI180000022
,,ABL,,,Машина пневмоударная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.02.05,ТО 42 20 40 01,,,KSI180000023
,,ABM,,,Установка комплектная конденсаторная на базе автомобиля (генератор импульсного тока),,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.02.05,ТО 38 50 50 08,,,KSI180000024
