Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Синонимы,УИН
A,,,,,Вывод объекта из эксплуатации,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000002
,AA,,,,Мероприятия по выведению объекта из эксплуатации,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",По условию производства работ,,,,KSI150000003
,,AAA,,,Проведение обследования общего технического состояния объекта,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",По способу производства работ,,"см. КТ ""Процессы инженерных изысканий""",,KSI150000004
,,AAB,,,Отключение систем инженерно-технического обеспечения,Обесточивание установки или ее части путем отсоединения от всех источников электропитания,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",По виду системы,,,,KSI150000005
,,,,AAB010,Отключение сетей инженерно-технического обеспечения внутридомовых,Обесточивание установки или ее части путем отсоединения от всех источников электропитания,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000006
,,,,AAB020,Отключение сетей инженерно-технического обеспечения внутриплощадочных,Обесточивание установки или ее части путем отсоединения от всех источников электропитания,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000007
,,,,AAB030,Отключение сетей инженерно-технического обеспечения внутриквартальных,Обесточивание установки или ее части путем отсоединения от всех источников электропитания,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000008
,,,,AAB040,Отключение сетей инженерно-технического обеспечения магистральных,Обесточивание установки или ее части путем отсоединения от всех источников электропитания,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000009
,,AAC,,,Разборка элементов отделки,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000010
,,,AACA,,Снятие оконных рам,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000011
,,,AACB,,Снятие дверей с коробками,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000012
,,,AACC,,Снятие покрытия полов,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000013
,,,AACD,,Перемещение на площадку складирования,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000014
,,,AACE,,Демонтаж керамической плитки,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000015
,,AAD,,,Демонтаж систем инженерно-технического обеспечения,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",По виду системы,,,,KSI150000016
,,,,AAD010,Демонтаж систем инженерно-технического обеспечения водоснабжения,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000017
,,,,AAD020,Демонтаж систем инженерно-технического обеспечения канализации,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000018
,,,,AAD030,Демонтаж систем инженерно-технического обеспечения теплоснабжения,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000019
,,,,AAD040,Демонтаж систем инженерно-технического обеспечения электроснабжения,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000020
,,,,AAD050,Демонтаж систем инженерно-технического обеспечения электроосвещения,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000021
