Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,IFC-entity,IFC-Predefined Type,КСР,МССК,ПСК,Примечание,Синонимы,УИН
B__,,,,объект сбора и представления информации,объект для сбора и представления информации,ISO 81346-2:2019,Вид количества,,,,,,,,KSI060000002
,BA_,,,объект для измерения электрического потенциала,объект для измерения электрического потенциала,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000003
,,BAA,,измерительный трансформатор напряжения,"объект для измерения электрического потенциала со скалярным выходом
-
Измерительный трансформатор, в котором, при рабочих условиях применения, вторичное напряжение практически пропорционально первичному и отличается от него углом фазового сдвига, который приблизительно равен нулю для соответствующего направления соединений",ГОСТ IEC 61869-3-2012,,IfcTransformer,VOLTAGE,,,,,,KSI060000004
,,BAB,,реле напряжения,"объект индикации наличия электрического потенциала
-
Измерительное реле, характеристической величиной которого является напряжение.",ГОСТ IEC 60050-447-2014,,IfcFlowInstrument, ,"89.1.62.01-0822
89.1.62.01-0823
89.1.62.01-0824
89.1.62.01-0825
89.1.62.01-0826
89.1.62.01-0815
89.1.62.01-0816
89.1.62.01-0817
89.1.62.01-0818",,,,,KSI060000005
,BB_,,,объект для измерения сопротивления,объект для измерения удельного сопротивления или электропроводности,ISO 81346-2:2019,Вид потока и выходного сигнала,,,,,,,,KSI060000006
,,BBA,,датчик электрического сопротивления,объект для измерения удельного сопротивления электрического тока со скалярным выходом,Большая строительная энциклопедия stroi.gov.ru,,IfcFlowInstrument, ,,ЭЛ 40 55 20 10,,,,KSI060000007
,,BBB,,детектор электрического сопротивления,объект индикации наличия удельного сопротивления электрического тока ,,,IfcFlowInstrument, ,,ЭЛ 40 55 20 17,,,,KSI060000008
,,BBC,,датчик термического сопротивления,объект для измерения сопротивления теплового потока со скалярным выходом,Большая строительная энциклопедия stroi.gov.ru,,IfcFlowInstrument, ,,ЭЛ 40 55 20 10,,,,KSI060000009
,,BBD,,детектор термического сопротивления,объект индикации наличия сопротивления теплового потока,,,IfcFlowInstrument, ,,ЭЛ 40 55 20 17,,,,KSI060000010
,BC_,,,объект для измерения электрического тока,объект для измерения электрического тока,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000011
,,BCA,,трансформатор тока,"объект для измерения электрического тока со скалярным выходом
-
Измерительный трансформатор, в котором при рабочих условиях применения вторичный ток практически пропорционален первичному и отличается от него углом фазового сдвига, который приблизительно равен нулю для соответствующего направления соединений",ГОСТ IEC 60050-321-2014,,IfcTransformer,CURRENT,"89.1.62.05-0020
89.1.62.05-0026
89.1.62.05-0027
89.1.62.05-0028
89.1.62.05-0029
89.1.62.05-0030
89.1.62.05-0031
89.1.62.05-0032
89.1.62.05-0033
89.1.62.05-0034
89.1.62.05-0035
89.1.62.05-0036
89.1.62.05-0037
89.1.62.05-0038
89.1.62.05-0039
89.1.62.05-0040
89.1.62.05-0041
89.1.62.05-0042
89.1.62.05-0043
89.1.62.05-0044
89.1.62.05-0045
89.1.62.05-0046
89.1.62.05-0047
89.1.62.05-0048
89.1.62.05-0049
89.1.62.05-0050
89.1.62.05-0051
89.1.62.05-0052
89.1.62.05-0053
89.1.62.05-0054
89.1.62.05-0055
89.1.62.05-0056
89.1.62.05-0057
89.1.62.05-0058
89.1.62.05-0059
89.1.62.05-0060
89.1.62.05-0061
89.1.62.05-0062
89.1.62.05-0063
89.1.62.05-0064
89.1.62.05-0065
89.1.62.05-0066
89.1.62.05-0067
89.1.62.05-0068
89.1.62.05-0069
89.1.62.05-0070
89.1.62.05-0071
89.1.62.05-0072
89.1.62.05-0073
89.1.62.05-0074
89.1.62.05-0075
89.1.62.05-0076
89.1.62.05-0077
89.1.62.05-0078
89.1.62.05-0079
89.1.62.05-0080
89.1.62.05-0081
89.1.62.05-0082
89.1.62.05-0083
89.1.62.05-0084
89.1.62.05-0085
89.1.62.05-0086
89.1.62.05-0087
89.1.62.05-0088
89.1.62.05-0089
89.1.62.05-0090
89.1.62.05-0091
89.1.62.05-0092
89.1.62.05-0093
89.1.62.05-0094
89.1.62.05-0095
89.1.62.05-0096
89.1.62.05-0097
89.1.62.05-0098
89.1.62.05-0099
89.1.62.05-0100
89.1.62.05-0101
89.1.62.05-0102
89.1.62.05-0103
89.1.62.05-0104
89.1.62.05-0105
89.1.62.05-0106
89.1.62.05-0107
89.1.62.05-0108
89.1.62.05-0109
89.1.62.05-0110
89.1.62.05-0111
89.1.62.05-0112
89.1.62.05-0113
89.1.62.05-0114
89.1.62.05-0115
89.1.62.05-0116
89.1.62.05-0117
89.1.62.05-0118
89.1.62.05-0119
89.1.62.05-0120
89.1.62.05-0121
89.1.62.05-0122
89.1.62.05-0123
89.1.62.05-0124
89.1.62.05-0125
89.1.62.05-0126
89.1.62.05-0127
89.1.62.05-0128
89.1.62.05-0129
89.1.62.05-0130
89.1.62.05-0131
89.1.62.05-0132
89.1.62.05-0133
89.1.62.05-0134
89.1.62.05-0135
89.1.62.05-0143
89.1.62.05-0142",,,,,KSI060000012
,,BCB,,реле тока,"объект индикации наличия электрического тока в цепи
-
Измерительное реле, характеристической величиной которого является электрический ток",ГОСТ IEC 60050-447-2014,,IfcFlowInstrument, ,"89.1.62.01-0819
89.1.62.01-0820
89.1.62.01-0821
89.1.62.01-0827
89.1.62.01-0828
89.1.62.01-0829
89.1.62.01-0830
89.1.62.01-0831
89.1.62.01-0832
89.1.62.01-0833
89.1.62.01-0834
89.1.62.01-0835
89.1.62.01-0836
89.1.62.01-0837
89.1.62.01-0838
89.1.62.01-0839
89.1.62.01-0840
89.1.62.01-0841",,,,,KSI060000013
,BD_,,,объект для измерения плотности,объект для измерения плотности,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000014
,,BDA,,датчик плотности,объект для измерения плотности со скалярным выходом,Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,,,ЭЛ 40 55 20 10,,,,KSI060000015
,,,BDA10,аэрометр,прибор для измерения плотности жидкостей и твёрдых тел,,,IfcSensor,,,,,,,KSI060000888
,,BDB,,реле плотности,объект индикации наличия плотности для измеряемой среды,,,IfcSensor,,,ЭЛ 40 55 20 10,,,,KSI060000016
,BE_,,,объект для измерения поля,объект для измерения поля,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000017
