code,level_1,level_2,level_3,level_4,IFC,param_1,param_2
ЭЛ 10,"Земляные 
сооружения, фундаменты",,,,,,
ЭЛ 10 10,,Фундаменты,,,,,
ЭЛ 10 10 10,,,Свая,,ifcPile,,
ЭЛ 10 10 20,,,Фундамент ленточный,,ifcFooting,,
ЭЛ 10 10 30,,,Фундамент столбчатый,,ifcFooting,,
ЭЛ 10 10 40,,,Фундаментная плита,,ifcSIab,BASESLAB,
ЭЛ 10 10 45,,,Фундамент общего назначения,,ifcFooting,,
ЭЛ 10 10 50,,,Подколонник,,ifcFooting,,
ЭЛ 10 10 60,,,Ростверк,,ifcFooting,,
ЭЛ 10 20,,Укрепление грунта,,,,,
ЭЛ 10 20 10,,,Несущая стена в грунте,,ifcFooting,,
ЭЛ 10 20 20,,,Шпунт Ларсена,,ifcPile,,
ЭЛ 10 20 30,,,Шпунт,,ifcPile,,
ЭЛ 10 30,,Компоненты для устройства фундаментов,,,,,
ЭЛ 10 30 10,,,Изоляция,,ifcCovering,INSULATION,
ЭЛ 10 30 20,,,Пароизоляция,,ifcCovering,MEMBRANE,
ЭЛ 10 30 30,,,Гидроизоляция,,ifcCovering,MEMBRANE,
ЭЛ 10 30 40,,,Отмостка,,ifcCovering,SKIRTINGBOARD,
ЭЛ 10 80,,Закладные детали фундаментов,,,IfcDiscreteAccessory,,
ЭЛ 10 90,,Армирование жб конструкций,,,"IfcReinforcingElement: 
- IfcReinforcingBar
- IfcReinforcingMesh
- IfcTendon
- IfcTendonAnchor",,
ЭЛ 20,Кровля,,,,,,
ЭЛ 20 10,,Покрытие кровли,,,ifcRoof,,
ЭЛ 20 20,,Элементы конструкции кровли,,,,,
ЭЛ 20 20 10,,,Контробрешетка,,IfcMember,,
ЭЛ 20 20 15,,,Карнизная доска,,IfcMember,,
ЭЛ 20 20 20,,,Мауэрлат,,ifcBeam,,
ЭЛ 20 20 25,,,Деревянный брус,,IfcMember,,
ЭЛ 20 20 30,,,Обрешетка,,IfcMember,,
ЭЛ 20 20 35,,,Стропило,,ifcBeam,,
ЭЛ 20 20 40,,,Коньковый брусок,,ifcBeam,,
ЭЛ 20 20 45,,,Коньковый прогон,,ifcBeam,,
ЭЛ 20 20 50,,,Ригель,,ifcBeam,,
ЭЛ 20 20 55,,,Сплошной настил,,ifcCovering,,
ЭЛ 20 30,,Компоненты для устройства кровли,,,,,
ЭЛ 20 30 10,,,Ветрозащитный слой,,ifcCovering,MEMBRANE,
ЭЛ 20 30 12,,,Водоизоляционный ковер,,ifcCovering,INSULATION,
ЭЛ 20 30 14,,,Воронка,,,,
ЭЛ 20 30 16,,,Гидроизоляционный слой,,ifcCovering,INSULATION,
ЭЛ 20 30 18,,,Капельник,,,,
ЭЛ 20 30 20,,,Крепление желоба,,,,
ЭЛ 20 30 22,,,Кровельный аэратор,,ifcflowterminal,,"Слой рулонного материала, укладываемого на сплошной настил для защиты его от увлажнения и повышения водонепроницаемости кровли."
ЭЛ 20 30 24,,,Мансардное окно,,ifcWindow,,
ЭЛ 20 30 26,,,Пароизоляционный слой,,ifcCovering,MEMBRANE,Слой между основным водоизоляционным ковром или теплоизоляцией и защитным слоем для предохранения от механических повреждений.
ЭЛ 20 30 28,,,Подкладочный ковер,,ifcCovering,ROOFING,
ЭЛ 20 30 30,,,Подшивка карниза,,,,"Слой, укладываемый на водоизоляционный ковер для защиты его от повреждения корнями растений."
ЭЛ 20 30 32,,,Предохранительный слой,,ifcCovering,,Слой между теплоизоляцией и монолитной стяжкой или между слоями из несовместимых материалов для исключения их контакта.
ЭЛ 20 30 34,,,Пригруз,,,,"Специально подобранные растения с высокой степенью выживаемости, кустарники и деревья с плоскокомной корневой системой."
