code,level_1,level_2,level_3,level_4,IFC,param_1
ПР 10,Общие параметры проекта,,,,,
ПР 10 10,,Реквизиты участников,,,,
ПР 10 10 10,,,Заказчик,,Designer,"ИМ, ЦМ"
ПР 10 10 12,,,Проектировщик,,Customer,"ИМ, ЦМ"
ПР 10 10 13,,,Имя проекта,,ProjectName,"ИМ, ЦМ"
ПР 10 10 14,,,Имя объекта,,ObjectName,"ИМ, ЦМ"
ПР 10 10 15,,,Номер проекта,,ProjectCode,"ИМ, ЦМ"
ПР 10 10 16,,,Вид строительства,,ConstructionMethod,"ИМ, ЦМ"
ПР 10 10 17,,,Номер ГПЗУ,,,ИМ
ПР 10 10 18,,,Кадастровый номер,,,ИМ
ПР 10 20,,Реквизиты объекта,,,,
ПР 10 20 10,,,Адрес,,BuildingAddress,ЦМ
ПР 10 20 10 10,,,,Индекс,,ИМ
ПР 10 20 10 20,,,,"Республика, край, область, автономный округ",,ИМ
ПР 10 20 10 30,,,,Город,,ИМ
ПР 10 20 10 40,,,,Район,,ИМ
ПР 10 20 10 50,,,,"Город, поселок",,ИМ
ПР 10 20 10 60,,,,Улица,,ИМ
ПР 10 20 10 70,,,,Номер дома,,ИМ
ПР 10 20 10 80,,,,"Корпус, строение",,ИМ
ПР 10 25,,Идентификационные параметры,,,,
ПР 10 25 10,,,Корпус,,Korpus,ЦМ
ПР 10 25 12,,,Номер секции,,Section,"ЦМ, зона, помещение"
ПР 10 25 14,,,Количество секций,,NumOfSection,ЦМ
ПР 10 25 15,,,Код ЦМ,,CodeOfModel,ЦМ
ПР 10 25 16,,,Стадия проектирования,,LifeCycle,ЦМ
ПР 10 25 17,,,Тип конструктивной системы фундамента,,,ИМ раздел КР
ПР 10 25 18,,,Тип конструктивной системы здания,,,ИМ раздел КР
ПР 10 25 19,,,Тип конструкции кровли,,,ИМ раздел КР
ПР 10 25 20,,,Тип фасадной конструкции,,,ИМ раздел КР
ПР 10 30,,Нормативные параметры,,,,
ПР 10 30 10,,,Функциональное назначение ОКС,,,ИМ
ПР 10 30 12,,,Уровень ответственности,,,ИМ
ПР 10 30 14,,,Степень огнестойкости,,FireProtectionClass,"ИМ, ЦМ, пожарный отсек"
ПР 10 30 15,,,Класс конструктивной пожарной опасности,,FireRiskFactor_1,"ИМ, ЦМ, пожарный отсек"
ПР 10 30 16,,,Класс функциональной пожарной опасности,,FireRiskFactor_2,"ИМ, ЦМ, пожарный отсек"
ПР 10 30 17,,,Расчетный срок службы объекта,,,ИМ
ПР 10 30 18,,,Уровень комфорта многоквартирного дома,,,ИМ
ПР 10 30 19,,,Класс сооружения,,,ИМ раздел КР
ПР 10 30 20,,,Степень надежности электроснабжения здания,,,ИМ раздел Электроснабжение
ПР 10 30 21,,,Коэффициент надежности по уровню ответственности здания,,,ИМ раздел КР
ПР 10 35,,Строительные параметры,,,,
ПР 10 35 10,,,Строительный объем надземной части,,Volume,ЦМ (объем надземной части)
ПР 10 35 12,,,Строительный объем подземной части,,Volume,ЦМ (объем подземной части)
ПР 10 35 13,,,Количество надземных этажей,,,ИМ раздел АР
ПР 10 35 14,,,Количество подземных этажей,,,ИМ раздел АР
