code,level_1,level_2,level_3,level_4,param_1
ТС 01,Координатная сетка,,,,
ТС 01 10,,Координатная сетка - линии,,,LIN
ТС 01 10 01,,,Параллели географические,,LIN
ТС 01 10 02,,,Меридианы географические,,LIN
ТС 01 10 03,,,Полярные круги,,LIN
ТС 01 20,,Координатная сетка - полигоны,,,POL
ТС 01 20 01,,,Номенклатурные листы,,POL
ТС 01 30,,Координатная сетка - надписи,,,LAB
ТС 02,Геодезические пункты,,,,
ТС 02 00,,Геодезические пункты - точечные объекты,,,PNT
ТС 02 00 01,,,Астрономические пункты,,PNT
ТС 02 00 02,,,Пункты государственной геодезической сети (ГГС),,PNT
ТС 02 00 02 01,,,,Пункт ГГС на кургане,PNT
ТС 02 00 02 02,,,,Пункт ГГС на скалах-останцах,PNT
ТС 02 00 02 03,,,,Пункт ГГС на здании,PNT
ТС 02 00 02 04,,,,Пункт ГГС на церкви,PNT
ТС 02 00 02 05,,,,Пункт ГГС на естественных буграх,PNT
ТС 02 00 03,,,"Точки съемочной сети (СС), закрепленные на местности центрами",,PNT
ТС 02 00 03 01,,,,Точка СС на курганах,PNT
ТС 02 00 03 02,,,,Точка плановой СС,PNT
ТС 02 00 03 03,,,,Точка плановой СС долговременного закрепления на местности,PNT
ТС 02 00 03 04,,,,Точка плановой СС временного закрепления на местности,PNT
ТС 02 00 03 05,,,,Точка плановой СС в стене здания,PNT
ТС 02 00 03 06,,,,Точка плановой СС на углах капитальных зданий,PNT
ТС 02 00 04,,,Пункты геодезических сетей сгущения (ГСС),,PNT
ТС 02 00 04 01,,,,Пункт ГСС на кургане,PNT
ТС 02 00 04 02,,,,Пункт ГСС на буграх,PNT
ТС 02 00 04 03,,,,Пункт ГСС на скалах-останцах,PNT
ТС 02 00 04 04,,,,Пункт ГСС на здании (стенах зданий),PNT
ТС 02 00 04 05,,,,Пункт ГСС и точка СС (без разделения),PNT
ТС 02 00 04 06,,,,Пункт ГСС и точка СС (без разделения) на кургане,PNT
ТС 02 00 04 07,,,,Пункт ГСС и точка СС (без разделения) на скалах-останцах,PNT
ТС 02 00 04 08,,,,Пункт ГСС и точка СС (без разделения) на церкви,PNT
