code,level_1,level_2,level_3,level_4,level_5,param_1
СТ 00,Материалы несущих конструкций,,,,,
СТ 00 10,,Бетон,,,,
СТ 00 15,,Железобетон,,,,
СТ 00 20,,Дерево,,,,
СТ 00 30,,Камень,,,,
СТ 00 40,,Кирпич,,,,
СТ 00 50,,Композит,,,,
СТ 00 60,,Сталь,,,,
СТ 00 70,,Стекло,,,,
СТ 00 80,,Пластмасса,,,,
СТ 00 90,,Чугун,,,,
СТ 10,Строительные материалы,,,,,
СТ 10 01,,Массив дерева,,,,
СТ 10 01 10,,,Береза,,,
СТ 10 01 15,,,Бук,,,
СТ 10 01 20,,,Вишня,,,
СТ 10 01 25,,,Дуб,,,
СТ 10 01 30,,,Ель,,,
СТ 10 01 35,,,Кедр,,,
СТ 10 01 40,,,Клен,,,
СТ 10 01 45,,,Лиственница,,,
СТ 10 01 50,,,Мербау,,,
СТ 10 01 55,,,Орех,,,
СТ 10 01 60,,,Сосна,,,
СТ 10 01 65,,,Ясень,,,
СТ 10 02,,Металл,,,,
СТ 10 02 10,,,"Черные металлы, сталь, чугун",,,
СТ 10 02 10 10,,,,Чугун,,
СТ 10 02 10 10 10,,,,,Высокопрочный чугун,
СТ 10 02 10 10 20,,,,,Ковкий чугун,
СТ 10 02 10 10 30,,,,,Серый чугун,
СТ 10 02 10 20,,,,Сталь углеродистая,,
СТ 10 02 10 20 10,,,,,Сталь высокоуглеродистая,
СТ 10 02 10 20 20,,,,,Сталь низкоуглеродистая,
СТ 10 02 10 20 30,,,,,Сталь среднеуглеродистая,
СТ 10 02 10 30,,,,Сталь легированная,,
СТ 10 02 10 30 10,,,,,Сталь высоколегированная,
СТ 10 02 10 30 20,,,,,Сталь низколегированная,
СТ 10 02 10 40,,,,Сталь коррозионно-стойкая,,
СТ 10 02 10 50,,,,Сталь жаропрочная,,
СТ 10 02 20,,,"Цветные металлы, сплавы",,,
СТ 10 02 20 10,,,,Алюминий,,
СТ 10 02 20 15,,,,Бронза,,
СТ 10 02 20 20,,,,Вольфрам,,
СТ 10 02 20 25,,,,Латунь,,
СТ 10 02 20 30,,,,Медь,,
СТ 10 02 20 35,,,,Никель,,
СТ 10 02 20 40,,,,Олово,,
СТ 10 02 20 45,,,,Свинец,,
СТ 10 02 20 45 10,,,,,Лист свинцовый,
СТ 10 02 20 50,,,,Титановый сплав,,
СТ 10 02 20 55,,,,Цинк,,
СТ 10 03,,Битумы нефтяные,,,,
СТ 10 03 10,,,Битумы нефтяные кровельные,,,19.20.42.123
СТ 10 03 10 10,,,,БНК-40/180,,19.20.42.123
СТ 10 03 10 20,,,,БНК-45/190,,19.20.42.123
СТ 10 03 10 30,,,,БНК-90/30,,19.20.42.123
СТ 10 03 20,,,Битумы нефтяные строительные,,,19.20.42.122
