code,level_1,level_2,level_3,param_1
УИ 10,Документы и файлы,,,
УИ 10 01,,Нормативные правовые документы,,
УИ 10 01 10,,,Федеральный закон,ФЗ
УИ 10 01 20,,,Региональный закон,
УИ 10 01 30,,,Указ Президента,УК
УИ 10 01 40,,,Постановление Правительства,ПП
УИ 10 01 50,,,Приказ,ПР
УИ 10 02,,Стандарты,,
УИ 10 02 10,,,Свод правил,СП
УИ 10 02 20,,,ГОСТ,ГОСТ
УИ 10 02 21,,,ГОСТ Р,ГОСТ
УИ 10 02 30,,,Санитарно-эпидимеологические правила и нормы,СанПиН
УИ 10 02 40,,,Технические условия,ТУ
УИ 10 03,,Градостроительная документация,,ГСД
УИ 10 03 10,,,Схема территориального планирования РФ,СТП РФ
УИ 10 03 11,,,Схема территориального планирования субъекта РФ,СТП
УИ 10 03 12,,,Схема территориального планирования муниципального образования,СТП МО
УИ 10 03 13,,,Генеральный план населенного пункта (городского округа),ГП НП
УИ 10 03 14,,,Генеральный план сельского поселения,ГП СП
УИ 10 03 15,,,Проект планировки территории,ППТ
УИ 10 03 16,,,Проект межевания территории,ПМТ
УИ 10 03 17,,,Градостроительный план земельного участка,ГПЗУ
УИ 10 03 18,,,Правила землепользования и застройки,ПЗЗ
УИ 10 04,,Документы,,
УИ 10 04 10,,,Договор,
УИ 10 04 11,,,"Документ, подтверждающий полномочия",
УИ 10 04 12,,,"Документ, удостоверяющий личность",УДО
УИ 10 04 14,,,Заключение экспертизы,
УИ 10 04 15,,,Заключение о соответствии,ЗОС
УИ 10 04 16,,,Задание на проектирование,
УИ 10 04 17,,,Техническое задание,ТЗ
УИ 10 04 18,,,Информационно-удостоверяющий лист,УЛ
УИ 10 04 19,,,Письмо,
УИ 10 04 20,,,Проектная документация,ПД
УИ 10 04 21,,,Свидетельство на допуск СРО,СРО
УИ 10 04 22,,,Ситуационный план,
УИ 10 04 23,,,Справка ГИПа,
УИ 10 04 24,,,Спецификация,
УИ 10 04 25,,,Ведомость,
УИ 10 04 26,,,Экспликация,
УИ 10 04 27,,,Схема,
УИ 10 04 28,,,Расчет,РР
УИ 10 04 29,,,Разрешение на строительство,РС
УИ 10 04 30,,,Локальная смета,ЛС
УИ 10 04 31,,,Смета,
УИ 10 04 32,,,График,ГР
УИ 10 04 33,,,Отчет,О
УИ 10 04 34,,,Опросный лист,ОЛ
УИ 10 05,,Файлы,,
УИ 10 05 10,,,Комплект чертежей,
УИ 10 05 20,,,Цифровая модель,ЦМ
УИ 10 05 30,,,Цифровая модель местности,ЦММ
УИ 10 05 40,,,Цифровая модель ситации,ЦМС
УИ 10 05 50,,,Цифровая модель рельефа,ЦМР
УИ 10 05 60,,,3D-модель,3D
УИ 10 05 70,,,Базовый координационный файл,БФ
УИ 20,Разделы и дисциплины ПД для площадных объектов,,,
УИ 20 01,,Общие сведения,,ПЗ
УИ 20 02,,Схема планировочной организации земельного участка,,ПЗУ
УИ 20 03,,Архитектурные решения,,АР
УИ 20 04,,Конструктивные решения,,КР
УИ 20 05,,Инженерные системы и оборудование здания,,ИОС
УИ 20 05 01,,,Система электроснабжения,ЭС
УИ 20 05 02,,,Наружное электроосвещение,ЭН
УИ 20 05 03,,,Электрическое освещение (внутреннее),ЭО
УИ 20 05 04,,,Силовое электрооборудование,ЭМ
УИ 20 05 05,,,Система водоснабжения,В
УИ 20 05 06,,,Система водоотведения,В
УИ 20 05 07,,,Наружные сети водоснабжения,НВ
УИ 20 05 08,,,Наружные сети канализации,НК
УИ 20 05 09,,,Наружные сети водоснабжения и канализации,НВК
УИ 20 05 10,,,Система отопления,О
УИ 20 05 11,,,Тепловые сети,ТС
УИ 20 05 12,,,Система вентиляции,В
УИ 20 05 13,,,Система кондиционирования,К
УИ 20 05 14,,,Система вентиляции и кондиционирования,ВК
УИ 20 05 15,,,"Системы отопления, вентиляции, кондиционирования",ОВК
УИ 20 05 16,,,Система холодоснабжения,ХС
УИ 20 05 17,,,Система пожаротушения,ПТ
УИ 20 05 18,,,Система пожарной сигнализации,ПС
УИ 20 05 19,,,Охранная и охранно-пожарная сигнализация,ОС
УИ 20 05 20,,,Система пылеудаления,ПУ
УИ 20 05 21,,,Сети связи,СС
УИ 20 05 22,,,Система газоснабжения (внутренняя),ГСВ
УИ 20 05 23,,,Система газоснабжения (наружная),ГСН
УИ 20 05 24,,,Технология производства,ТХ
УИ 20 05 25,,,Технологические коммуникации,ТК
УИ 20 06,,Проект организации строительства,,ПОС
УИ 20 07,,Проект организации работ по сносу или демонтажу объектов капитального строительства,,ПОД
УИ 20 08,,Перечень мероприятий по охране окружающей среды,,ООС
УИ 20 09,,Мероприятия по обеспечению пожарной безопасности,,ПБ
УИ 20 10,,Мероприятия по обеспечению доступа инвалидов,,ОДИ
УИ 20 11,,"Мероприятия по обеспечению соблюдения требований энергетической эффективности и требований оснащенности зданий, строений и сооружений приборами учета используемых энергетических ресурсов",,ЭЭ
УИ 20 12,,Смета на строительство объектов капитального строительства,,СМ
УИ 20 13,,Мероприятия по обеспечению безопасной эксплуатации ОКС,,ТОБЭ
УИ 20 13 10,,,Требования к обеспечению безопасности эксплуатации ОКС,
УИ 20 13 20,,,"Сведения о нормативной периодичности выполнения работ по капитальному ремонту, необходимых для обеспечения безопасной эксплуатации здания",
УИ 20 14,,"Иная документация в случаях, предусмотренных федеральными законами",,
УИ 30,Разделы ПД для линейных объектов,,,
УИ 30 01,,Пояснительная записка,,ПЗ
УИ 30 02,,Проект полосы отвода,,ППО
УИ 30 03,,Технологические и конструктивные решения линейного объекта. Искусственные сооружения,,ТКР ЛО
