classifier,index,code,name,type
mssk,mssk_01,ТС,Топографическая ситуация,Классификаторы цифровой модели территории
mssk,mssk_02,ПО,Планировочная организация земельного участка,Классификаторы цифровой модели территории
mssk,mssk_03,ВН,Виды и назначение ОКС,Классификаторы цифровой модели ОКС
mssk,mssk_04,НД,Назначение и виды деятельности,Классификаторы цифровой модели ОКС
mssk,mssk_05,ПЗ,Помещения и зоны,Классификаторы цифровой модели ОКС
mssk,mssk_06,СС,Системы,Классификаторы цифровой модели ОКС
mssk,mssk_07,ЭЛ,Элементы,Классификаторы цифровой модели ОКС
mssk,mssk_08,СМ,Строительные изделия и материалы,Классификаторы цифровой модели ОКС
mssk,mssk_09,ТО,Строительная техника и оборудование,Классификаторы ресурсов
mssk,mssk_10,УИ,Управление информацией,Служебные классификаторы
mssk,mssk_11,УП,Управление проектом,Служебные классификаторы
mssk,mssk_12,ПР,Параметры,Характеристики
mssk,mssk_13,ВР,Виды работ,Классификатор строительных работ
