code,level_1,level_2,level_3,param_1,IFC
НД 01,Назначение элементов ЦМ,,,,
НД 01 01,,Назначение перекрытий,,,
НД 01 01 10,,,Межэтажное перекрытие,,FLOOR 
НД 01 01 20,,,Перекрытие кровли,,ROOF 
НД 01 01 30,,,Перекрытие лестничной клетки,,LANDING 
НД 01 01 40,,,"Перекрытие рампы, пандуса",,LANDING 
НД 01 01 50,,,"Фундаментное перекрытие, плита",,BASESLAB 
НД 01 02,,Назначение покрытий,,,
НД 01 02 10,,,Покрытие потолка,,CEILING
НД 01 02 15,,,Покрытие пола,,FLOORING
НД 01 02 20,,,Облицовка стен,,CLADDING
НД 01 02 25,,,Покрытие кровли,,ROOFING
НД 01 02 30,,,Лепнина,,MOLDING
НД 01 02 35,,,Молдинг,,MOLDING
НД 01 02 40,,,Плинтус,,SKIRTINGBOARD
НД 01 02 45,,,Термоизоляция,,INSULATION
НД 01 02 50,,,Звукоизоляция,,INSULATION
НД 01 02 55,,,Воздушная или гидроизоляционная мембрана,,MEMBRANE
НД 01 02 60,,,"Оплетка, рукав, обмотка",,SLEEVING
НД 01 02 65,,,"Упаковка, обертка",,WRAPPING
НД 01 03,,Назначение окон,,,
НД 01 03 10,,,Стандартное,,WINDOW
НД 01 03 15,,,Мансардное,,SKYLIGHT
НД 01 03 20,,,Зенитный фонарь,,LIGHTDOME
НД 01 04,,Назначение лестницы,,,
НД 01 04 10,,,Внешняя,,
НД 01 04 15,,,Внутренняя открытая,,
НД 01 04 20,,,Внутренняя закрытая,,
НД 01 04 25,,,Наружная,,
НД 01 04 30,,,Внутриквартирная,,
НД 01 05,,Назначение материала слоя,,,
НД 01 05 10,,,Изоляция,,INSULATION
НД 01 05 20,,,Внутренняя отделка,,INNER FINISH
НД 01 05 30,,,Наружная отделка,,OUTER FINISH
НД 01 05 40,,,Несущий слой,,LOADBEARING
НД 02,Назначение помещений и зон жилых зданий,,,,
НД 02 01,,Постоянное проживание,,,
НД 02 01 10,,,Частная собственность,68.20.1,
НД 02 02,,Временное проживание,,,
НД 02 02 10,,,Аппартаменты,68.20.2,
НД 02 02 20,,,Гостиница,55.10,
НД 02 02 30,,,Социальный найм,68.20.1,
НД 02 02 40,,,Общежитие,55.20,
НД 02 02 50,,,Доходный дом,68.20.2,
НД 03,Назначение помещений и зон  учебно-воспитательных организаций,,,,
НД 03 01,,Назначение помещений образовательных организаций начальной школы,,,
НД 03 01 01,,,1 класс,85.14,
НД 03 01 02,,,2 класс,85.14,
НД 03 01 03,,,3 класс,85.14,
НД 03 01 04,,,4 класс,85.14,
НД 03 02,,Назначение помещений образовательных организаций средней школы,,,
НД 03 02 01,,,Средние классы,85.14,
НД 03 02 02,,,Старшие классы,85.14,
НД 03 03,,Назначение учебно-воспитательных помещении ДОО,,,
НД 03 03 01,,,Ясельная группа,88.9,
НД 03 03 02,,,Младшая группа,"85.11, 88.9",
НД 03 03 03,,,Средняя группа,"85.11, 88.9",
НД 03 03 04,,,Старшая группа,"85.11, 88.9",
НД 03 03 05,,,Подготовительная группа,85.11,
НД 03 04,,Среднее специальное образование,,85.2,
НД 03 04 10,,,Колледж,85.21,
НД 03 04 20,,,Училище,85.21,
НД 03 04 30,,,Лицей,,
НД 03 05,,Высшее образование,,85.2,
НД 03 05 10,,,ВУЗ,85.22,
НД 03 05 20,,,Подготовка кадров высшей квалификации,85.23,
НД 03 05 30,,,Повышение квалификации,,
НД 03 06,,Дополнительное образование детей и взрослых,,85.41,
НД 03 06 01,,,Академическая школа искусств,85.41.9,
НД 03 06 02,,,Академическое образование,85.41.9,
НД 03 06 03,,,Компьютерные курсы,85.41.9,
НД 03 06 04,,,Курсы подготовки к экзаменам,85.41.9,
НД 03 06 05,,,Музыкальная школа,85.41.2,
НД 03 06 06,,,Обучение боевым искусствам,85.41.1,
НД 03 06 07,,,Обучение иностранным языкам,85.41.9,
НД 03 06 08,,,Обучение йоге,85.41.1,
НД 03 06 09,,,Спортивные кружки и секции,85.41.1,
НД 03 06 10,,,"Театральная школа, кружок (не академическая)",85.41.2,
НД 03 06 11,,,Тренинги и курсы различных профессий,85.41.9,
НД 03 06 12,,,Художественная школа,85.41.2,
НД 03 06 13,,,Школа или студия танцев,85.41.2,
НД 03 06 14,,,Школа или студия фотографии,85.41.2,
НД 03 06 15,,,Школа искусств (не академическая),85.41.2,
НД 03 07,,Дополнительное образование взрослых,,85.42,
НД 03 07 01,,,"Автошкола, получение водительских удостоверений",85.42.1,
НД 03 07 02,,,Курсы выживания,85.42.9,
НД 03 07 03,,,Курсы подготовки охранников,85.42.9,
НД 03 07 04,,,Курсы скорочтения,85.42.9,
НД 03 07 05,,,Ораторские курсы,85.42.9,
НД 03 07 06,,,"Школа воздухоплавания, без выдачи лицензий",85.42.2,
НД 03 07 07,,,Огневая подготовка,,
НД 04,Назначение торговых помещений и зон,,,,
НД 04 01,,Коммерческие помещения,,,
НД 04 02,,Торговая зона,,,
НД 04 03,,Розничная торговля,,47,
НД 04 03 01,,,Аптека,47.73-47.75,
НД 04 03 02,,,Букинистический и антикварный магазин,47.79,
НД 04 03 03,,,Зоомагазин,47.76.2,
НД 04 03 04,,,Торговля бытовыми изделиями,47.5,
НД 04 03 05,,,Торговля изделиями из кожи,47.72,
НД 04 03 06,,,Торговля культурно-развлекательными товарами,47.6,
НД 04 03 07,,,Торговля обувью,47.72.1,
НД 04 03 08,,,Торговля одеждой,47.71,
НД 04 03 09,,,Торговля оружием и боеприпасами,47.78.7,
НД 04 03 10,,,Торговля продуктами неспециализированная,47.1,
НД 04 03 11,,,Супермаркет,47.11,
НД 04 03 12,,,Торговля продуктами специализированная,47.2,
НД 04 03 13,,,Магазин филателии и нумизматики,47.78.8,
НД 04 03 14,,,Торговля цветами,47.76.1,
НД 04 03 15,,,Оптика,47.78.3,
НД 04 03 16,,,Торговля произведениями искусства,47.78.5,
НД 04 03 17,,,Торговля ювелирными изделиями,47.77,
НД 04 04,,Оптовая торговля,,46,
НД 05,Назначение помещений и зон в области обслуживания населения,,,,
НД 05 01,,Бытовое обслуживание,,,
НД 05 01 10,,,Баня,96.04,
НД 05 01 12,,,Парикмахерская,96.02,
НД 05 01 14,,,Прачечная самообслуживания,96.01,
НД 05 01 16,,,Приемный пункт химчистки,96.01,
НД 05 01 18,,,Ремонт бытовой техники,95.2,
НД 05 01 20,,,Ремонт компьютеров,95.1,
НД 05 01 22,,,Ремонт обуви,95.23,
НД 05 01 24,,,Ремонт одежды,95.29,
НД 05 01 26,,,Ремонт часов,95.25.1,
НД 05 01 28,,,Ремонт ювелирных изделий,95.25.2,
НД 05 01 30,,,Ритуальное обслуживание,96.03,
НД 05 01 32,,,Салон красоты,96.02,
НД 05 01 34,,,Салон татуажа и пирсинга,96.09,
НД 05 01 36,,,Сауна,96.04,
НД 05 01 38,,,Солярий,96.04,
НД 05 02,,Социальное обслуживание,,,
НД 05 02 01,,,Предоставление государственных и муниципальных услуг,75.11,
НД 05 02 02,,,Почта,53,
НД 05 02 03,,,Служба бесплатной юридической помощи,,
НД 05 02 04,,,Служба занятости населения,84.13,
НД 05 02 05,,,Служба психологической помощи,,
НД 05 02 06,,,Телеграф,61.1,
НД 05 03,,Общественное питание,,,
НД 05 03 10,,,Ресторан,56.10,
НД 05 03 20,,,Кафе,56.10,
НД 05 03 30,,,Столовая,56.29,
НД 05 03 40,,,Буфет,56.29,
НД 05 04,,"Деятельность в области права, финансов и страхования",,,
НД 05 04 10,,,Юридическое консультирование,69.1,
НД 05 04 20,,,Налоговое консультирование,69.2,
НД 05 04 30,,,Налоговая инспекция,,
НД 05 04 40,,,Страховая деятельность,65,
НД 05 04 50,,,Банковская деятельность,64,
НД 05 04 60,,,Брокерская деятельность,66.12,
НД 05 05,,Услуги ЖКХ,,,
