code,level_1,level_2,level_3,param_1,param_2,param_3
ВР 10,Монолитное и каменное строительство,,,,,
ВР 10 05,,Устройство опалубки подземной и цокольной частей,,,,
ВР 10 05 01,,,Устройство опалубки (снизу) и поддерживающих ее конструкций для высоких ростверков,3.6-3-1,Ростверк,на площадке
ВР 10 05 02,,,Монтаж опалубки монолитных железобетонных конструкций стен инженерных сооружений (подземных пешеходных переходов и коллекторов),3.6-66-1,Стена,на площадке
ВР 10 05 03,,,Монтаж опалубки монолитных железобетонных конструкций колонн инженерных сооружений (подземных пешеходных переходов и коллекторов),3.6-66-2,Колонна,на площадке
ВР 10 05 04,,,Монтаж опалубки монолитных железобетонных конструкций перекрытий инженерных сооружений (подземных пешеходных переходов и коллекторов),3.6-66-3,Перекрытие,на площадке
ВР 10 05 05,,,Демонтаж опалубки монолитных железобетонных конструкций стен инженерных сооружений (подземных пешеходных переходов и коллекторов),3.6-67-1,Стена,на площадке
ВР 10 05 06,,,Демонтаж опалубки монолитных железобетонных конструкций колонн инженерных сооружений (подземных пешеходных переходов и коллекторов),3.6-67-2,Колонна,на площадке
ВР 10 05 07,,,Демонтаж опалубки монолитных железобетонных конструкций перекрытий инженерных сооружений (подземных пешеходных переходов и коллекторов),3.6-67-3,Перекрытие,на площадке
ВР 10 05 08,,,Монтаж опалубки монолитных железобетонных конструкций фундаментов ленточных и низкорасположенных ростверков,3.6-70-1,"Фундамент ленточный
Ростверк",на площадке
ВР 10 05 09,,,Монтаж опалубки монолитных железобетонных конструкций фундаментов ленточных с подколонниками,3.6-70-2,Фундамент ленточный,на площадке
ВР 10 05 10,,,Монтаж опалубки монолитных железобетонных конструкций фундаментных плит,3.6-70-3,Фундаментная плита,на площадке
ВР 10 05 11,,,Монтаж опалубки монолитных железобетонных конструкций фундаментных плит с подколонниками,3.6-70-4,Фундаментная плита,на площадке
ВР 10 05 12,,,Монтаж опалубки монолитных железобетонных конструкций фундаментов столбчатых с подколонниками,3.6-70-5,Фундамент столбчатый,на площадке
ВР 10 05 13,,,Демонтаж опалубки монолитных железобетонных конструкций фундаментов ленточных и низкорасположенных ростверков,3.6-71-1,"Фундамент ленточный
Ростверк",на площадке
ВР 10 05 14,,,Демонтаж опалубки монолитных железобетонных конструкций фундаментов ленточных с подколонниками,3.6-71-2,Фундамент ленточный,на площадке
ВР 10 05 15,,,Демонтаж опалубки монолитных железобетонных конструкций фундаментных плит,3.6-71-3,Фундаментная плита,на площадке
ВР 10 05 16,,,Демонтаж опалубки монолитных железобетонных конструкций фундаментных плит с подколонниками,3.6-71-4,Фундаментная плита,на площадке
ВР 10 05 17,,,Демонтаж опалубки монолитных железобетонных конструкций фундаментов столбчатых с подколонниками,3.6-71-5,Фундамент столбчатый,на площадке
ВР 10 05 18,,,Монтаж опалубки монолитных железобетонных конструкций стен подземной и цокольной частей здания,3.6-74-1,Стена,на площадке
ВР 10 05 19,,,Монтаж опалубки монолитных железобетонных конструкций колонн подземной и цокольной частей здания,"3.6-74-2
3.6-74-3",Колонна,на площадке
ВР 10 05 20,,,Монтаж опалубки монолитных железобетонных конструкций перекрытия подземной и цокольной частей здания,3.6-74-4,Перекрытие,на площадке
ВР 10 05 21,,,Монтаж опалубки монолитных железобетонных конструкций лестничных маршей подземной и цокольной частей здания,3.6-74-5,Лестничный марш,на площадке
ВР 10 05 22,,,Демонтаж опалубки монолитных железобетонных конструкций стен подземной и цокольной частей здания,3.6-75-1,Стена,на площадке
ВР 10 05 23,,,Демонтаж опалубки монолитных железобетонных конструкций колонн подземной и цокольной частей здания,"3.6-75-2
3.6-75-3",Колонна,на площадке
ВР 10 05 24,,,Демонтаж опалубки монолитных железобетонных конструкций перекрытий подземной и цокольной частей здания,3.6-75-4,Перекрытие,на площадке
ВР 10 05 25,,,Демонтаж опалубки монолитных железобетонных конструкций лестничных маршей подземной и цокольной частей здания,3.6-75-5,Лестничный марш,на площадке
ВР 10 10,,Армирование подземной и цокольной частей,,,,
ВР 10 10 01,,,"Установка стальных конструкций, остающихся в теле бетона",3.6-6-6,Стальная конструкция,на площадке
ВР 10 10 02,,,Установка закладных деталей,"3.6-6-7
3.6-6-8
3.6-6-9",Закладная деталь,на площадке
ВР 10 10 03,,,Армирование подстилающих слоев и набетонок,3.6-6-10,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 04,,,Сварка арматуры ванным способом,"3.6-7-1
3.6-7-2
3.6-7-3","Арматурный стержень
Арматурная сетка
Арматурный каркас",на площадке
ВР 10 10 05,,,Установка стержневой стеклокомпозитной арматуры в опалубку монолитной железобетонной обоймы трубы водостока,"3.6-40-1
3.6-40-2
3.6-40-3","Арматурный стержень
",на площадке
