code,level_1,level_2,level_3,level_4
СС 10,Конструктивные системы,,,
СС 10 10,,Фундаменты,,
СС 10 10 10,,,Ленточный,
СС 10 10 10 10,,,,Сборный
СС 10 10 10 20,,,,Монолитный
СС 10 10 20,,,Свайный,
СС 10 10 30,,,Винтовой,
СС 10 10 40,,,Столбчатый,
СС 10 10 50,,,Плитный,
СС 10 20,,Конструктивные системы зданий,,
СС 10 20 10,,,Стеновая система,
СС 10 20 20,,,Каркасная система,
СС 10 20 30,,,Ствольная система,
СС 10 20 40,,,Оболочковая система,
СС 10 20 50,,,Каркасно-стеновая система,
СС 10 20 60,,,Каркасно-ствольная система,
СС 10 20 70,,,Ствольно-стеновая система,
СС 10 20 хх,,,Классы конструктивных систем,
СС 10 20 хх 10,,,,"Ограждающие конструкции - кирпич; несущие - железобетон, сталь, кирпич"
СС 10 20 хх 20,,,,"Ограждающие конструкции - мелкие стеновые ячеистые и слоистые блоки; несущие - железобетон, сталь"
СС 10 20 хх 30,,,,Ограждающие конструкции - кирпич; несущие - древесина
СС 10 20 10 40,,,,Ограждающие конструкции - железобетон; несущие - железобетон в стеновых системах
СС 10 20 20 50,,,,Ограждающие конструкции - железобетон; несущие - железобетон в каркасных системах
СС 10 20 хх 60,,,,Ограждающие конструкции - железобетон; несущие - сталь
СС 10 20 хх 70,,,,"Ограждающие конструкции - тонкий металлический лист и эффективные теплоизоляционные материалы; несущие - железобетон, сталь (кроме ЛСТК)"
СС 10 20 хх 80,,,,"Ограждающие конструкции - стекло, светопрозрачные материалы; несущие - железобетон, сталь (кроме ЛСТК)"
СС 10 20 хх 90,,,,Ограждающие конструкции - древесина; несущие - древесина и другие конструктивные материалы
СС 10 30,,Конструктивные системы сооружений,,
СС 10 30 хх,,,Классы конструктивных систем,
СС 10 30 хх 10,,,,Конструкция из нерудных материалов и бетона
СС 10 30 хх 20,,,,Конструкция из монолитного железобетона
СС 10 30 хх 30,,,,Конструкция из сборного железобетона
СС 10 30 хх 40,,,,Конструкция из конструкционной стали
СС 10 30 хх 50,,,,Конструкция из стальных труб
СС 10 30 хх 60,,,,Конструкция из древесины
СС 10 30 хх 70,,,,Конструкция из кабелей и проводов
СС 10 30 хх 80,,,,Благоустройство прилегающей территории (озеленение)
СС 10 40,,Кровельные системы,,
СС 10 40 10,,,Плоская,
СС 10 40 20,,,Односкатная,
СС 10 40 30,,,Двускатная,
СС 10 40 40,,,Вальмовая четырехскатная,
СС 10 40 50,,,Полувальмовая,
СС 10 40 60,,,Многощипцовая,
СС 10 40 70,,,Шатровая,
СС 10 40 80,,,Мансардная,
СС 10 45,,Система снегозадержания,,
СС 10 50,,Фасадные системы,,
СС 10 50 10,,,ФТКС,
СС 10 50 20,,,НФС,
СС 10 50 30,,,НСФС,
СС 30,Инженерные системы внутренние,,,
СС 30 10,,Система теплоснабжения,,
СС 30 15,,Система холодоснабжения,,
СС 30 15 10,,,Чиллер-фанкойл,
СС 30 15 20,,,Сплит-системы,
СС 30 15 30,,,VRV,
СС 30 15 40,,,Прецизионное кондиционирование,
СС 30 20,,Системы климатизации,,
СС 30 20 10,,,Система отопления,
СС 30 20 10 10,,,,Подающий трубопровод
СС 30 20 10 20,,,,Обратный трубопровод
СС 30 20 20,,,Система общеобменной вентиляции,
СС 30 20 20 10,,,,Приточная вентиляция
СС 30 20 20 20,,,,Вытяжная вентиляция
СС 30 20 20 30,,,,Приточная естественная
СС 30 20 20 40,,,,Вытяжная естественная
СС 30 20 20 50,,,,Рециркуляционная
СС 30 20 25,,,Система технологической вентиляции,
СС 30 20 25 10,,,,Воздухозаборы
СС 30 20 25 20,,,,Выбросы воздуха
СС 30 20 30,,,Система кондиционирования воздуха,
СС 30 25,,Система противодымной защиты,,
СС 30 25 10,,,Противодымная вентиляции,
СС 30 25 10 10,,,,Дымоудаление
СС 30 25 10 20,,,,Подпор воздуха
СС 30 26,,Совмещенные системы общеобменной и противодымной вентиляции,,
СС 30 30,,Системы обеспечения пожарной безопасности,,
СС 30 30 10,,,Система пожарной сигнализации,
СС 30 30 20,,,Система противопожарной защиты,
СС 30 30 30,,,Система пожаротушения,
СС 30 30 30 10,,,,Противопожарный водопровод
СС 30 30 30 20,,,,Противопожарный трубопровод
СС 30 30 40,,,Автоматическое водяное пожаротушение,
СС 30 30 40 10,,,,Дренчерная система пожаротушения
СС 30 30 40 20,,,,Спринклерная система пожаротушения
СС 30 30 40 30,,,,Спринклерная водозаполненная система пожаротушения
СС 30 30 40 40,,,,Спринклерная воздушная система пожаротушения
СС 30 30 40 50,,,,Спринклерная  система пожаротушения с принудительным пуском
СС 30 30 40 60,,,,Спринклерно-дренчерная система пожаротушения
СС 30 30 40 70,,,,Спринклерно-дренчерная система пожаротушения воздушная
СС 30 30 60,,,Система передачи извещений о пожаре,
СС 30 35,,Системы водоснабжения,,
СС 30 35 10,,,Система водоснабжения,
СС 30 35 10 10,,,,Горячее водоснабжение
СС 30 35 10 20,,,,Циркуляционная система водоснабжения
СС 30 35 10 30,,,,Производственное водоснабжение
СС 30 35 10 35,,,,Противопожарное водоснабжение
СС 30 35 10 40,,,,Техническое водоснабжение
СС 30 35 10 50,,,,Хозяйственно-питьевое водоснабжение
СС 30 35 10 60,,,,Холодное водоснабжение
СС 30 40,,Система водоотведения,,
СС 30 40 10,,,Система водоотведения,
СС 30 40 10 10,,,,Система хозяйственно-бытовой канализации
СС 30 40 10 20,,,,Система наружного водостока
СС 30 40 10 30,,,,Система внутреннего водостока
СС 30 40 10 40,,,,Система дождевой канализации
СС 30 40 10 50,,,,Система дренажной канализации
СС 30 40 10 60,,,,Система производственной канализации
СС 30 45,,Система мусороудаления,,
СС 30 45 10,,,Система мусороудаления,
СС 30 48,,Вертикальный  транспорт,,
СС 30 48 10,,,Вертикальный  транспорт,
СС 30 50,,Система электроснабжения,,
СС 30 50 10,,,Питающая сеть,
СС 30 50 20,,,Распределительная сеть,
СС 30 50 30,,,Силовое электрооборудование,
СС 30 50 40,,,Электроосвещение,
СС 30 50 42,,,Система общего освещения,
СС 30 50 45,,,Система комбинированного освещения,
СС 30 50 46,,,Система дежурного освещения,
СС 30 50 47,,,Система аварийного освещения,
СС 30 50 47 10,,,,Освещение безопасности
СС 30 50 47 20,,,,Эвакуационное освещение
СС 30 50 48,,,Система светового ограждения,
СС 30 50 49,,,Система авиационного освещения,
СС 30 50 51,,,Система освещения тоннелей,
СС 30 55,,Системы пожарной безопасности,,
СС 30 55 10,,,Автоматическая пожарная сигнализация АПС,
СС 30 55 20,,, Автоматизация системы противопожарной защиты АПЗ,
СС 30 55 30,,,Система оповещения и управления эвакуацией людей при пожаре СОУЭ,
СС 30 55 40,,,Система автоматического пожаротушения,
СС 30 55 40 10,,,,Автоматические установки газового пожаротушения
