code,level_1,level_2,level_3,level_4,param_1,param_2
ТО 10,Машины для земляных работ,,,,,
ТО 10 10,,Экскаваторы на гусеничном ходу,,,,
ТО 10 10 10,,,Гидравлические,,,
ТО 10 10 10 01,,,,"Экскаваторы на гусеничном ходу гидравлические, объем ковша до 0,25 м3",2.1-1-1,28.92.26.110
ТО 10 10 10 03,,,,"Экскаваторы на гусеничном ходу гидравлические, объем ковша до 0,4 м3",2.1-1-3,28.92.26.110
ТО 10 10 10 04,,,,"Экскаваторы на гусеничном ходу гидравлические, объем ковша до 0,5 м3",2.1-1-4,28.92.26.110
ТО 10 10 10 05,,,,"Экскаваторы на гусеничном ходу гидравлические, объем ковша до 0,65 м3",2.1-1-5,28.92.26.110
ТО 10 10 10 06,,,,"Экскаваторы на гусеничном ходу гидравлические, объем ковша до 0,8 м3",2.1-1-6,28.92.26.110
ТО 10 10 10 07,,,,"Экскаваторы на гусеничном ходу гидравлические, объем ковша до 1,0 м3",2.1-1-7,28.92.26.110
ТО 10 10 10 09,,,,"Экскаваторы на гусеничном ходу гидравлические, объем ковша до 1,25 м3",2.1-1-9,28.92.26.110
ТО 10 10 10 10,,,,"Экскаваторы на гусеничном ходу гидравлические, объем ковша до 1,6 м3",2.1-1-12,28.92.26.110
ТО 10 10 10 11,,,,"Экскаваторы на гусеничном ходу гидравлические, объем ковша до 1,8 м3",2.1-1-13,28.92.26.110
ТО 10 10 10 12,,,,"Экскаваторы на гусеничном ходу гидравлические, объем ковша до 2,5 м3",2.1-1-14,28.92.26.110
ТО 10 10 20,,,Тросовые,,,
ТО 10 10 20 02,,,,"Экскаваторы на гусеничном ходу тросовые, объем ковша до 1,0 м3",2.1-1-17,28.92.26.110
ТО 10 20,,Экскаваторы на пневмоколесном ходу,,,,
ТО 10 20 10,,,Пневматические,,,
ТО 10 20 10 01,,,,"Экскаваторы на пневмоколесном ходу гидравлические, объем ковша до 0,15 м3",2.1-1-18,28.92.26.110
ТО 10 20 10 02,,,,"Экскаваторы на пневмоколесном ходу гидравлические, объем ковша до 0,25 м3",2.1-1-19,28.92.26.110
ТО 10 20 10 03,,,,"Экскаваторы на пневмоколесном ходу гидравлические, объем ковша до 0,5 м3",2.1-1-20,28.92.26.110
ТО 10 20 10 04,,,,"Экскаваторы на пневмоколесном тракторе гидравлические, объем ковша до 0,25 м3",2.1-1-24,28.92.26.110
